Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Immune Response
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Immune Response
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Myelination, Apoptosis, Immune Response
GO Term: Neural Tube Patterning -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Diencephalon Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Telencephalon Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Subthalamus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Myelination
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Pallium Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Subpallium Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, RNA Spliceosome
GO Term: Rhombomere Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Pons Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellum Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Optic Nerve Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Rhombomere 6 Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Hindbrain Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellum Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellum Structural Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ventricular System Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Fourth Ventricle Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Abducens Nerve Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Optic Nerve Structural Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Myelination
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Rhombomere 5 Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Lateral Ventricle Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Nerve Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Third Ventricle Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nerve Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Developmental Maturation -> Biodomain: Synapse, Proteostasis, Developmental Maturation, Oxidative Stress, Epigenetic
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Striatum Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Putamen Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Limbic System Development -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Amygdala Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Hippocampus Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mammillary Body Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Synapse, Myelination, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Synapse, Myelination, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Glial Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Glial Cell Fate Commitment -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, RNA Spliceosome
GO Term: Glial Cell Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, RNA Spliceosome
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, RNA Spliceosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Immune Response
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Thalamus Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, RNA Spliceosome
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Cell Proliferation In Forebrain -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Hypothalamus Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Forebrain Neuroblast Division -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Apoptosis
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Epigenetic
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Neural Tube Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Telencephalon Regionalization -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Epigenetic
GO Term: Pituitary Gland Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Adenohypophysis Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Neurohypophysis Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Habenula Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
