Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, APP Metabolism, Proteostasis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Proteostasis
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Synapse, APP Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Signaling, APP Metabolism
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, APP Metabolism
GO Term: Respiratory Electron Transport Chain -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism, Proteostasis
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Signal Transduction, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Termination Of Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Signaling -> Biodomain: Synapse, Oxidative Stress, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Signaling -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Negative Regulation Of Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Signal Release -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Tau Homeostasis
GO Term: Trapp Complex -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Establishment Of Cell Polarity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Maintenance Of Cell Polarity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Apoptosis
GO Term: Ccr4-Not Complex -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Myofibril -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Z Disc -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Proteostasis, Synapse, Structural Stabilization, APP Metabolism, Oxidative Stress
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Lamellipodium -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Actin Filament-Based Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Cell Projection Organization -> Biodomain: Synapse, Proteostasis, Cell Cycle, Tau Homeostasis, Apoptosis
GO Term: Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Lamellipodium Assembly -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Microvillus Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Oxidative Stress
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Microspike Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Actin Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Actin Filament Polymerization -> Biodomain: Synapse, Proteostasis, Actin Metabolism, Oxidative Stress, Apoptosis
GO Term: Actin Filament Depolymerization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Actin Filament Fragmentation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Actin Modification -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Actin Filament-Based Movement -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Muscle Filament Sliding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Muscle Filament Sliding
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Cell Junction -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Cell-Substrate Junction -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Hemidesmosome -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Desmosome -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Insulin Processing -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Insulin Processing
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Peptide Hormone Secretion -> Biodomain: Proteostasis, APP Metabolism, Synapse, Lipid Metabolism, Immune Response
GO Term: Insulin Secretion -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis, Immune Response
GO Term: Hemopoiesis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Membrane Coat -> Biodomain: Synapse, Endolysosome, APP Metabolism, Proteostasis, Autophagy
GO Term: Clathrin Coat -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Synapse, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Oxidative Stress
GO Term: Ap-1 Adaptor Complex -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ap-2 Adaptor Complex -> Biodomain: Synapse, Endolysosome, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Ap-4 Adaptor Complex -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Clathrin Vesicle Coat -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Copi Vesicle Coat -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Copii Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Clathrin Adaptor Complex -> Biodomain: Vasculature, Synapse, APP Metabolism, Proteostasis, Autophagy
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Synapse, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Transport Vesicle -> Biodomain: Synapse, APP Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Synapse
GO Term: Coated Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Copi-Coated Vesicle -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Synapse
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Secretory Granule -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Proteostasis
GO Term: Cell Differentiation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Regulation Of Cell Adhesion -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Pancreatic Juice Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Endolysosome, Immune Response
GO Term: Platelet Activation -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Vasculature
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Troponin C Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response
GO Term: Filopodium -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, Immune Response
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Synapse, Immune Response, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Synapse
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Melatonin Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Immune Response, Tau Homeostasis
GO Term: Regulation Of Blood Coagulation -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, APP Metabolism
GO Term: Extracellular Matrix Organization -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Collagen Fibril Organization -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Synapse, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Immune Response, APP Metabolism
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Proteostasis, Immune Response, Synapse, Oxidative Stress, Endolysosome
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Immune Response
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, APP Metabolism, Autophagy
GO Term: Hyaluronan Metabolic Process -> Biodomain: Proteostasis, Immune Response, Synapse, Oxidative Stress, APP Metabolism
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Synapse, APP Metabolism, Autophagy
GO Term: Hyaluronan Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Synapse, APP Metabolism, Immune Response
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Keratinocyte Differentiation -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Autophagy, APP Metabolism
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Erythrocyte Differentiation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Platelet Formation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Vasculature
GO Term: Basophil Differentiation -> Biodomain: Immune Response, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Structural Stabilization
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Apolipoprotein Receptor Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Immune Response
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Oxidative Stress, Proteostasis
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Oxidative Stress, Nitric-Oxide Synthase Regulator Activity, Immune Response, APP Metabolism, Proteostasis
GO Term: Female Sex Determination -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Male Sex Determination -> Biodomain: Unknown, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Myofibril Assembly -> Biodomain: Proteostasis, Apoptosis, Synapse, Autophagy, Structural Stabilization
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Proteostasis, Muscle Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Carbohydrate Binding -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
GO Term: Polysaccharide Binding -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Growth Hormone Secretion -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Immune Response, Neurodegeneration, Proteostasis, Synapse
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, Proteostasis
GO Term: Lim Domain Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Lrr Domain Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Clathrin Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Autophagy, Structural Stabilization
GO Term: Regulation Of Ossification -> Biodomain: Ossification, Structural Stabilization, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Ossification -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Cell Cycle, Immune Response
GO Term: Bone Mineralization -> Biodomain: Metal Binding and Homeostasis, Calcium Homeostasis, Immune Response, Structural Stabilization, Apoptosis
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Dynein Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Apoptosis, APP Metabolism
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Synapse, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Oxidative Stress
