Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Autophagy, RNA Metabolism
GO Term: Gobp Protein Import Into Mitochondrial Matrix -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Apoptosis
GO Term: Gobp Regulation Of Dna Templated Dna Replication Initiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Cell Cycle
GO Term: Gobp Megakaryocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Cell Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Ubiquitin Dependent Erad Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Maturation Of Ssu Rrna -> Biodomain: RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Intracellular Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Exocrine Pancreas Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Immune System and Inflammation, Cell Adhesion and Interaction
GO Term: Gobp Endocrine Pancreas Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Immune System and Inflammation, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Rrna Pseudouridine Synthesis -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Rrna 3 End Processing -> Biodomain: Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Epigenetic Regulation
GO Term: Gobp Regulation Of Axon Diameter -> Biodomain: Neurodevelopment and Neuronal Differentiation, Axonogenesis, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Post Translational Protein Targeting To Membrane Translocation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Replication Fork Processing -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Defense Response -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Killing Of Cells Of Another Organism -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Protein Destabilization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Autophagy
GO Term: Gobp Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Protein Autophosphorylation -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Autophagy
GO Term: Gobp Negative Regulation Of Nf Kappab Transcription Factor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Synaptic Transmission Gabaergic -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Intracellular Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Phospholipase A2 Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Phospholipase A2 Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Type I Interferon Production -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Maintenance Of Protein Location In Cell -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Protein Exit From Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Protein Transport Within Lipid Bilayer -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Interferon Beta Production -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Interleukin 17 Production -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Apoptosis
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Apoptosis, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Apoptosis
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, DNA Repair
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Cellular Response To Heat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Apoptosis, Epigenetic Regulation
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Proteins Metabolism and Trafficking
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Nail Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Ascending Aorta Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Dorsal Aorta Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Vascular Development, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Aorta Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery, Immune System and Inflammation
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Interstrand Cross Link Repair -> Biodomain: DNA Repair, Neurodevelopment and Neuronal Differentiation, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Sodium Ion Export Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Signal Transduction
GO Term: Gobp Ire1 Mediated Unfolded Protein Response -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Erad Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Apoptosis, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Protein Refolding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Fluid Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Epigenetic Regulation, Apoptosis
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, RNA Metabolism
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Ribosome Biogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Cell Adhesion and Interaction
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, RNA Metabolism
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Signal Transduction
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Protein Metabolism and Trafficking
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Apoptosis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Lipoprotein Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Apoptosis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, DNA Repair, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
