Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Oxidative Stress, Lipid Metabolism, APP Metabolism, Immune Response, Autophagy
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Synapse
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Regulation Of Phosphate Transport -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Transport Along Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, APP Metabolism, Proteostasis
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Immune Response, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Autophagy, Immune Response
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Synapse
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Endomembrane System -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism, Endolysosome
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Astrocyte Development -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Microglia Development -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Glial Cell Proliferation -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Schwann Cell Proliferation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Gliogenesis -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Neuroblast Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Notochord Formation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Neural Crest Formation -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Mesenchymal Cell Development -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Proteostasis
GO Term: Neural Crest Cell Development -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Neural Crest Cell Differentiation -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Schwann Cell Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Synapse, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Synapse, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Schwann Cell Development -> Biodomain: Synapse, Immune Response, Proteostasis, Myelination, Apoptosis
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Immune Response, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Dopamine Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Glutamate Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, APP Metabolism
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Postsynaptic Density -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Response To Purine-Containing Compound -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, APP Metabolism
GO Term: Intercalated Disc -> Biodomain: Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: C Zone -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Striated Muscle Tissue Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Proteostasis, Apoptosis, Synapse, Oxidative Stress, Immune Response
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Synapse, Immune Response
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Immune Response
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Immune Response
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Terminal Cisterna -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Terminal Cisterna Lumen -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism, Synapse
GO Term: Smooth Muscle Adaptation -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Regulation Of Somitogenesis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Calcium Homeostasis, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Muscle Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Immune Response
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Skeletal Muscle Satellite Cell Differentiation, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Structural Stabilization
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Immune Response, Autophagy, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Apoptosis, Immune Response
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Autophagy
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Endolysosome
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Muscle Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Response To Inactivity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Immune Response
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Synapse
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Skeletal Myofibril Assembly -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Synapse
GO Term: Response To Muscle Inactivity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Immune Response
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Autophagy
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Synapse
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Muscle Hypertrophy -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Synapse, Immune Response
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Immune Response, Autophagy, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Myotube Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Myotube Cell Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Immune Response
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Immune Response
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Structural Stabilization
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Glucuronosyltransferase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Coreceptor Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Protein Transport -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Metal Binding and Homeostasis
GO Term: Beta3-Adrenergic Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Proteostasis
GO Term: Gastrin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Secretin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Corticotrophin-Releasing Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Thrombin-Activated Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Amidinotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Glycine Amidinotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Dna Integration -> Biodomain: DNA Repair, Epigenetic, Autophagy, Immune Response, Oxidative Stress
GO Term: Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Ion Transport, Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Proton Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Potassium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Silver Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
GO Term: Sodium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Vasculature
GO Term: Calcium Ion Transmembrane Transporter Activity -> Biodomain: Calcium Ion Transmembrane Transporter Activity, Oxidative Stress, Synapse, APP Metabolism, Proteostasis
GO Term: Cadmium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Cobalt Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Ferrous Iron Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
GO Term: Lead Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Proteostasis
GO Term: Magnesium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Molybdate Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Nickel Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Vanadium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
