Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Androgen Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Vitamin D Binding -> Biodomain: Calcium Metabolism, Immune Response, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Retinoid Binding -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Immune Response, Lipid Metabolism
GO Term: 11-Cis Retinal Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: All-Trans Retinal Binding -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism, Immune Response
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Calcium Ion Binding -> Biodomain: Calcium Ion Binding, Oxidative Stress, Synapse, APP Metabolism, Proteostasis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Immune Response, APP Metabolism
GO Term: Protein Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Calmodulin Binding -> Biodomain: Calmodulin Binding, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Collagen Binding -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, APP Metabolism
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, APP Metabolism, Tau Homeostasis
GO Term: Lamin Binding -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Profilin Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Tropomyosin Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Atp Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Gtp Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Macrolide Binding -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
GO Term: Fk506 Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Tau Homeostasis, Oxidative Stress
GO Term: Galactose Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, APP Metabolism, Endolysosome
GO Term: D-Glucose Binding -> Biodomain: Metabolic Homeostasis, Oxidative Stress, APP Metabolism, Lipid Metabolism, Immune Response
GO Term: D-Mannose Binding -> Biodomain: Immune Response, Endolysosome, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Glycosaminoglycan Binding -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Hyaluronic Acid Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Endolysosome
GO Term: Folic Acid Binding -> Biodomain: Folate Metabolism, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Calcium Homeostasis
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Pheromone Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Cellular Component -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Extracellular Region -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Tau Homeostasis
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Apoptosis
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Tau Homeostasis
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Oxidative Stress
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Synapse, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Synapse, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Synapse, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Tau Homeostasis
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Basement Membrane -> Biodomain: Vasculature, Proteostasis, Immune Response, Synapse, Structural Stabilization
GO Term: Laminin-1 Complex -> Biodomain: Synapse, Structural Stabilization, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Laminin-2 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Laminin-3 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, APP Metabolism
GO Term: Laminin-5 Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, APP Metabolism
GO Term: Interstitial Matrix -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, APP Metabolism
GO Term: Extracellular Space -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Nucleus -> Biodomain: Nucleus, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Nuclear Envelope -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Immune Response
GO Term: Nuclear Inner Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Lamin Filament -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, APP Metabolism
GO Term: Nuclear Envelope Lumen -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Annulate Lamellae -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Nuclear Pore -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism
GO Term: Nuclear Lamina -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Synapse, Immune Response
GO Term: Nucleoplasm -> Biodomain: Nuclear Metabolism, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Immune Response, Oxidative Stress
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response
GO Term: Replication Fork -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, DNA Repair, Oxidative Stress
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Proteostasis, RNA Spliceosome, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Rna Polymerase Iii Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Transcription Regulator Complex -> Biodomain: Transcription Regulator Complex, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, Proteostasis, Immune Response, Tau Homeostasis, DNA Repair
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Chromosome -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Telomerase Holoenzyme Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, DNA Repair
GO Term: Polytene Chromosome -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Chiasma -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Recombination Nodule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Late Recombination Nodule -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Tau Homeostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, DNA Repair, Immune Response
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Nucleolus -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Nucleolus Organizer Region -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Rna Polymerase I Complex -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Cytoplasm -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Oxidative Stress
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Oxidative Stress
GO Term: Endosome -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Early Endosome -> Biodomain: Endolysosome, Autophagy, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Vacuole -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis, APP Metabolism
GO Term: Peroxisomal Membrane -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Golgi Apparatus -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Golgi Stack -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Golgi Lumen -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Immune Response
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Golgi-Associated Vesicle -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Synapse, Oxidative Stress
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Immune Response
GO Term: Trans-Golgi Network -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Centrosome -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Centriole -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Cell Cycle
GO Term: Microtubule Organizing Center -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Aster -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Spindle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Actomyosin Contractile Ring -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Polar Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Kinetochore Microtubule -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Cell Cycle
GO Term: Cytosol -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Hemoglobin Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Apoptosis
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Ribosome -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Eukaryotic Translation Elongation Factor 1 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Nascent Polypeptide-Associated Complex -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Cytoskeleton -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Axonemal Dynein Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Muscle Myosin Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Troponin Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Muscle Thin Filament Tropomyosin -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Striated Muscle Myosin Thick Filament -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Striated Muscle Thin Filament -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cytoplasmic Dynein Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress
GO Term: Dynactin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Kinesin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Plus-End Kinesin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism
GO Term: Microtubule -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Microtubule Associated Complex -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Spindle Microtubule -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Axonemal Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Nuclear Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Cytoplasmic Microtubule -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Intermediate Filament -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Neurofilament -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Actin Filament -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Arp2/3 Protein Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Plasma Membrane -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Potassium:Proton Exchanging Atpase Complex -> Biodomain: Ion Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Sodium:Potassium-Exchanging Atpase Complex -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
