Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Transforming Growth Factor Beta Receptor Complex Assembly -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Cell Surface Receptor Protein Tyrosine Phosphatase Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Unknown
GO Term: G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Activation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Unknown, APP Metabolism
GO Term: Adenylate Cyclase-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Negative Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: G Protein-Coupled Receptor Signaling Pathway Coupled To Cgmp Nucleotide Second Messenger -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Calcium Homeostasis, Unknown
GO Term: Phospholipase C-Activating G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Phospholipase C-Activating G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, APP Metabolism, Unknown
GO Term: Phospholipase C-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Unknown, Proteostasis
GO Term: G Protein-Coupled Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Gamma-Aminobutyric Acid Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Tachykinin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Neuropeptide Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Notch Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Notch Receptor Processing -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Unknown
GO Term: Positive Regulation Of Transcription Of Notch Receptor Target -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Tau Homeostasis
GO Term: Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Smoothened Signaling Pathway -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Synapse
GO Term: Patched Ligand Maturation -> Biodomain: Unknown, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Integrin-Mediated Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Osmosensory Signaling Pathway -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Activation Of Nf-Kappab-Inducing Kinase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: I-Kappab Phosphorylation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Unknown
GO Term: Jun Phosphorylation -> Biodomain: Unknown, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cell Surface Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Nitric Oxide Mediated Signal Transduction -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Synapse, Unknown
GO Term: Small Gtpase-Mediated Signal Transduction -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Ras Protein Signal Transduction -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Rho Protein Signal Transduction -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Cell-Cell Signaling -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Neuron-Neuron Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Multicellular Organism Development -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Synapse
GO Term: Gamete Generation -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Germ Cell Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Spermatogenesis -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Spermatogonial Cell Division -> Biodomain: Unknown, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Spermatid Development -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Sperm Axoneme Assembly -> Biodomain: Unknown, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Spermatid Nucleus Differentiation -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Spermatid Nucleus Elongation -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Sperm Individualization -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Female Gamete Generation -> Biodomain: Unknown, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Vitellogenesis -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Oocyte Axis Specification -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Insemination -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Sperm Displacement -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Peptide Pheromone Maturation -> Biodomain: Unknown, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Single Fertilization -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Binding Of Sperm To Zona Pellucida -> Biodomain: Unknown, Immune Response, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acrosome Reaction -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Penetration Of Zona Pellucida -> Biodomain: Unknown, Endolysosome, Autophagy, Immune Response, Structural Stabilization
GO Term: Fusion Of Sperm To Egg Plasma Membrane Involved In Single Fertilization -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Egg Activation -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Pronuclear Fusion -> Biodomain: Unknown, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Unknown, Tau Homeostasis
GO Term: Zygotic Specification Of Dorsal/Ventral Axis -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Endolysosome
GO Term: Zygotic Determination Of Anterior/Posterior Axis, Embryo -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Endolysosome
GO Term: Thorax And Anterior Abdomen Determination -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Determination Of Left/Right Symmetry -> Biodomain: Unknown, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Gastrulation -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Ventral Midline Determination -> Biodomain: Unknown, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Segment Specification -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Compartment Pattern Specification -> Biodomain: Unknown, Structural Stabilization, Immune Response, Cell Cycle, Tau Homeostasis
GO Term: Anterior Compartment Pattern Formation -> Biodomain: Unknown, Proteostasis, Synapse, Immune Response, Apoptosis
GO Term: Posterior Compartment Specification -> Biodomain: Unknown, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Pattern Specification Process -> Biodomain: Unknown, Proteostasis, Synapse, Immune Response, Apoptosis
GO Term: Ectoderm Development -> Biodomain: Unknown, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Nervous System Development -> Biodomain: Synapse, Unknown, Immune Response, Proteostasis, Apoptosis
GO Term: Neuroblast Fate Determination -> Biodomain: Synapse, Unknown, Proteostasis, Immune Response, Apoptosis
GO Term: Glial Cell Fate Determination -> Biodomain: Synapse, Immune Response, Unknown, Proteostasis, Apoptosis
GO Term: Neuroblast Proliferation -> Biodomain: Synapse, Unknown, Neuroblast Proliferation, Immune Response, Apoptosis
GO Term: Negative Regulation Of Neuroblast Proliferation -> Biodomain: Synapse, Apoptosis, Immune Response, Unknown, Proteostasis
GO Term: Axonogenesis -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Unknown
GO Term: Axon Guidance -> Biodomain: Synapse, Unknown, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Axon Target Recognition -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Immune Response
GO Term: Axonal Fasciculation -> Biodomain: Synapse, Proteostasis, Unknown, Axonal Fasciculation, Immune Response
GO Term: Synapse Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Central Nervous System Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Ventral Midline Development -> Biodomain: Unknown, Synapse, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Brain Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Peripheral Nervous System Development -> Biodomain: Synapse, Immune Response, Unknown, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Sensory Organ Development -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Salivary Gland Development -> Biodomain: Unknown, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Salivary Gland Morphogenesis -> Biodomain: Unknown, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Foregut Morphogenesis -> Biodomain: Unknown, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Hindgut Morphogenesis -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Endoderm Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Endodermal Cell Fate Determination -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Midgut Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Visceral Mesoderm-Endoderm Interaction Involved In Midgut Development -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Posterior Midgut Development -> Biodomain: Unknown, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Mesoderm Development -> Biodomain: Unknown, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Ectoderm And Mesoderm Interaction -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Mesodermal Cell Fate Determination -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Mesodermal Cell Fate Specification -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Gonadal Mesoderm Development -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Heart Development -> Biodomain: Unknown, Vasculature, Apoptosis, Immune Response, Structural Stabilization
GO Term: Mesoderm Migration Involved In Gastrulation -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Adult Heart Development -> Biodomain: Unknown, Vasculature, Apoptosis, Immune Response, Structural Stabilization
GO Term: Muscle Organ Development -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Myoblast Fate Determination -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Skeletal Muscle Tissue Development -> Biodomain: Unknown, Synapse, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Myoblast Fusion -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Muscle Cell Fate Determination -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Visceral Muscle Development -> Biodomain: Unknown, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Somatic Muscle Development -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Neuromuscular Junction Development -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Apoptosis
GO Term: Establishment Of Synaptic Specificity At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Sex Determination -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Primary Sex Determination -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Sex Differentiation -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Sex-Chromosome Dosage Compensation -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Female Pregnancy -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Embryo Implantation -> Biodomain: Unknown, Immune Response, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Parturition -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Response To Nutrient -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Respiratory Gaseous Exchange By Respiratory System -> Biodomain: Unknown, Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Digestion -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Body Fluid Secretion -> Biodomain: Unknown, Immune Response, Synapse, Proteostasis, Apoptosis
GO Term: Lactation -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Blood Coagulation -> Biodomain: Immune Response, Unknown, Vasculature, Apoptosis, Oxidative Stress
GO Term: Blood Coagulation, Intrinsic Pathway -> Biodomain: Unknown, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Blood Coagulation, Extrinsic Pathway -> Biodomain: Unknown, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Hemostasis -> Biodomain: Vasculature, Immune Response, Unknown, Apoptosis, Structural Stabilization
GO Term: Sensory Perception -> Biodomain: Synapse, Oxidative Stress, Immune Response, Unknown, Proteostasis
GO Term: Visual Perception -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Phototransduction -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Phototransduction, Visible Light -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Phototransduction, Uv -> Biodomain: Unknown, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Sensory Perception Of Sound -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Sensory Perception Of Chemical Stimulus -> Biodomain: Synapse, Unknown, Immune Response, Oxidative Stress, Proteostasis
GO Term: Sensory Perception Of Smell -> Biodomain: Unknown, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Learning Or Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Learning -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Unknown
GO Term: Short-Term Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Unknown
GO Term: Long-Term Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Mating Behavior -> Biodomain: Unknown, Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Mating -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Copulation -> Biodomain: Unknown, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Female Receptivity -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Rhythmic Behavior -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Circadian Rhythm -> Biodomain: Unknown, Oxidative Stress, Immune Response, Proteostasis, APP Metabolism
GO Term: Ultradian Rhythm -> Biodomain: Unknown, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: Grooming Behavior -> Biodomain: Unknown, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Locomotory Behavior -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: Adult Walking Behavior -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Immune Response
GO Term: Jump Response -> Biodomain: Unknown, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: Feeding Behavior -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Visual Behavior -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Optokinetic Behavior -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Chemosensory Behavior -> Biodomain: Unknown, Immune Response, Synapse, Apoptosis, Oxidative Stress
GO Term: Mechanosensory Behavior -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Chemokine Activity -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Beta-Catenin Binding -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Immune Response
GO Term: Blood Circulation -> Biodomain: Vasculature, Immune Response, Unknown, Apoptosis, Oxidative Stress
GO Term: Regulation Of Heart Contraction -> Biodomain: Unknown, Vasculature, Oxidative Stress, Apoptosis, Immune Response
GO Term: Microtubule Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Unknown
GO Term: G Protein-Coupled Photoreceptor Activity -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Transcription Elongation Factor Complex -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Cyclin/Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Monocarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Metabolic, Oxidative Stress, APP Metabolism, Proteostasis, Unknown
GO Term: Trna Processing -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: High-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Cell Recognition -> Biodomain: Unknown, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Neuron Recognition -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Tau Homeostasis
GO Term: Synaptic Target Recognition -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Motor Neuron Axon Guidance -> Biodomain: Synapse, Unknown, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Axon Guidance Receptor Activity -> Biodomain: Synapse, Unknown, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Enzyme Activator Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Unknown
GO Term: Calcium Sensitive Guanylate Cyclase Activator Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Immune Response, Unknown
GO Term: Male Courtship Behavior -> Biodomain: Unknown, Immune Response, Apoptosis, Synapse, Proteostasis
GO Term: Female Courtship Behavior -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Sensory Organ Boundary Specification -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Unknown
GO Term: Eye Pigment Granule Organization -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Chitin Binding -> Biodomain: Unknown, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Toll Signaling Pathway -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Regulation Of Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Establishment Of Blood-Nerve Barrier -> Biodomain: Vasculature, Immune Response, Unknown, Structural Stabilization, Endolysosome
GO Term: Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Extracellularly Glutamate-Gated Chloride Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Ornithine Decarboxylase Inhibitor Activity -> Biodomain: Unknown, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Guanylate Cyclase Complex, Soluble -> Biodomain: Unknown, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Voltage-Gated Potassium Channel Complex -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Mesodermal Cell Migration -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Translation Termination Factor Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, RNA Spliceosome, Tau Homeostasis
GO Term: N-Acetyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Phosphoric Diester Hydrolase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Unknown
GO Term: Growth Factor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Axo-Dendritic Transport -> Biodomain: Synapse, Proteostasis, Axonal Transport, Unknown, Tau Homeostasis
GO Term: Anterograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Unknown, Autophagy
GO Term: Retrograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Autophagy
GO Term: Spectrin -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Apoptosis
GO Term: Cytoskeletal Protein Binding -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Unknown
GO Term: Cytoskeletal Anchor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Unknown, Structural Stabilization
GO Term: Atp-Dependent Activity, Acting On Dna -> Biodomain: Unknown, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: 5S Rrna Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Protein Localization -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Alcohol Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism, Unknown
GO Term: Galactoside 2-Alpha-L-Fucosyltransferase Activity -> Biodomain: Unknown, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
