Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Centriole Replication -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Cell Cycle
GO Term: Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Male Meiosis Cytokinesis -> Biodomain: Unknown, Cell Cycle, Synapse, Apoptosis, Proteostasis
GO Term: Endomitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Meiosis I -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Homologous Chromosome Pairing At Meiosis -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Synaptonemal Complex Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Reciprocal Meiotic Recombination -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Male Meiotic Nuclear Division -> Biodomain: Unknown, Cell Cycle, Synapse, Apoptosis, Proteostasis
GO Term: Male Meiosis I -> Biodomain: Unknown, Cell Cycle, Synapse, Proteostasis, Apoptosis
GO Term: Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, Unknown, Apoptosis, Synapse, Proteostasis
GO Term: Female Meiosis I -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Meiotic Recombination Nodule Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Female Meiosis Ii -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cell Communication -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Cell Adhesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Neuron Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Cell-Matrix Adhesion -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Calcium-Independent Cell-Matrix Adhesion -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cell Adhesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Establishment Or Maintenance Of Cell Polarity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Cell Surface Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Enzyme-Linked Receptor Protein Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Signal Complex Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Epidermal Growth Factor Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Complex Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Cell Surface Receptor Protein Tyrosine Phosphatase Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Activation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Adenylate Cyclase-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: G Protein-Coupled Receptor Signaling Pathway Coupled To Cgmp Nucleotide Second Messenger -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Phospholipase C-Activating G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Phospholipase C-Activating G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Phospholipase C-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Epigenetic
GO Term: Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: G Protein-Coupled Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Gamma-Aminobutyric Acid Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Tachykinin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Neuropeptide Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Notch Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Notch Receptor Processing -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Transcription Of Notch Receptor Target -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Smoothened Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Patched Ligand Maturation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Integrin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Osmosensory Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Canonical Nf-Kappab Signal Transduction -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Activation Of Nf-Kappab-Inducing Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: I-Kappab Phosphorylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Jnk Cascade -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Unknown
GO Term: Jun Phosphorylation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Cell Surface Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Nitric Oxide Mediated Signal Transduction -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Small Gtpase-Mediated Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Ras Protein Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Rho Protein Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Cell-Cell Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Neuron-Neuron Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Multicellular Organism Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Gamete Generation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Germ Cell Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Spermatogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Spermatogonial Cell Division -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Spermatid Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sperm Axoneme Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Spermatid Nucleus Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Spermatid Nucleus Elongation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Sperm Individualization -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Female Gamete Generation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Vitellogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Oocyte Axis Specification -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Insemination -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sperm Displacement -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Peptide Pheromone Maturation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Single Fertilization -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Binding Of Sperm To Zona Pellucida -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acrosome Reaction -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Penetration Of Zona Pellucida -> Biodomain: Unknown, Endolysosome, Apoptosis, Synapse, Proteostasis
GO Term: Fusion Of Sperm To Egg Plasma Membrane Involved In Single Fertilization -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Egg Activation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Pronuclear Fusion -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Zygotic Specification Of Dorsal/Ventral Axis -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Zygotic Determination Of Anterior/Posterior Axis, Embryo -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Thorax And Anterior Abdomen Determination -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Determination Of Left/Right Symmetry -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gastrulation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ventral Midline Determination -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Segment Specification -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Compartment Pattern Specification -> Biodomain: Synapse, Proteostasis, Unknown, Epigenetic, RNA Spliceosome
GO Term: Anterior Compartment Pattern Formation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Posterior Compartment Specification -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Pattern Specification Process -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Ectoderm Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Nervous System Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Neuroblast Fate Determination -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Glial Cell Fate Determination -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Immune Response
GO Term: Neuroblast Proliferation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Neuroblast Proliferation -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, RNA Spliceosome
GO Term: Axonogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Oxidative Stress
GO Term: Axon Guidance -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Axon Target Recognition -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress
GO Term: Axonal Fasciculation -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress
GO Term: Synapse Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Central Nervous System Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Ventral Midline Development -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Brain Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Peripheral Nervous System Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Organ Development -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Salivary Gland Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Salivary Gland Morphogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Foregut Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hindgut Morphogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Endoderm Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Endodermal Cell Fate Determination -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Midgut Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Visceral Mesoderm-Endoderm Interaction Involved In Midgut Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Posterior Midgut Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mesoderm Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Ectoderm And Mesoderm Interaction -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Mesodermal Cell Fate Determination -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mesodermal Cell Fate Specification -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Gonadal Mesoderm Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Immune Response
GO Term: Heart Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mesoderm Migration Involved In Gastrulation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Adult Heart Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Muscle Organ Development -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Mitochondrial Metabolism
GO Term: Myoblast Fate Determination -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Skeletal Muscle Tissue Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Myoblast Fusion -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Muscle Cell Fate Determination -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Mitochondrial Metabolism
GO Term: Visceral Muscle Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Somatic Muscle Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Neuromuscular Junction Development -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Establishment Of Synaptic Specificity At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Sex Determination -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Primary Sex Determination -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sex Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sex-Chromosome Dosage Compensation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Female Pregnancy -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Embryo Implantation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Parturition -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Nutrient -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Respiratory Gaseous Exchange By Respiratory System -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Digestion -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Body Fluid Secretion -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Lactation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Blood Coagulation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Blood Coagulation, Intrinsic Pathway -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Blood Coagulation, Extrinsic Pathway -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Hemostasis -> Biodomain: Unknown, Immune Response, Apoptosis, Synapse, Structural Stabilization
GO Term: Sensory Perception -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Epigenetic
GO Term: Visual Perception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Phototransduction -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phototransduction, Visible Light -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Phototransduction, Uv -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Sensory Perception Of Sound -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Perception Of Chemical Stimulus -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Immune Response
GO Term: Sensory Perception Of Smell -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Immune Response
GO Term: Learning Or Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Learning -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Short-Term Memory -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Long-Term Memory -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Mating Behavior -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mating -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Copulation -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Female Receptivity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Rhythmic Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Circadian Rhythm -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Ultradian Rhythm -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Grooming Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Locomotory Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Adult Walking Behavior -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Jump Response -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Feeding Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Visual Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Optokinetic Behavior -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Chemosensory Behavior -> Biodomain: Synapse, Unknown, Proteostasis, Immune Response, Apoptosis
GO Term: Mechanosensory Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Chemokine Activity -> Biodomain: Immune Response, Unknown, Synapse, Oxidative Stress, Proteostasis
GO Term: Beta-Catenin Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Blood Circulation -> Biodomain: Unknown, Vasculature, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Heart Contraction -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Microtubule Binding -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Tau Homeostasis
GO Term: G Protein-Coupled Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Transcription Elongation Factor Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Cyclin/Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
