node,nodeID,root node,root node ID,biodomain_1,biodomain_2,biodomain_3,biodomain_4,biodomain_5
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,GO:0030020,molecular_function,GO:0003674,Structural Stabilization,Cell Adhesion and Interaction,System and Developmental Process,Response to Stimulus,Molecular Transport and Homeostasis
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE,GO:0030021,molecular_function,GO:0003674,Structural Stabilization,Cell Adhesion and Interaction,System and Developmental Process,Response to Stimulus,Protein Metabolism and Trafficking
GOMF_EXTRACELLULAR_MATRIX_CONSTITUENT_CONFERRING_ELASTICITY,GO:0030023,molecular_function,GO:0003674,Structural Stabilization,Cell Adhesion and Interaction,System and Developmental Process,Response to Stimulus,Molecular Transport and Homeostasis
GOMF_SIGNALING_RECEPTOR_COMPLEX_ADAPTOR_ACTIVITY,GO:0030159,molecular_function,GO:0003674,Signal Transduction,Protein Metabolism and Trafficking,Cell Adhesion and Interaction,Molecular Transport and Homeostasis,Response to Stimulus
GOMF_LRR_DOMAIN_BINDING,GO:0030275,molecular_function,GO:0003674,Cell Adhesion and Interaction,Immune System and Inflammation,Signal Transduction,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_TESTOSTERONE_DEHYDROGENASE_NAD_P_ACTIVITY,,,,Lipid Metabolism,Molecular Transport and Homeostasis,Signal Transduction,Response to Stimulus,Protein Metabolism and Trafficking
GOMF_PROTEIN_PHOSPHATASE_2B_BINDING,GO:0030346,molecular_function,GO:0003674,Signal Transduction,Protein Metabolism and Trafficking,Immune System and Inflammation,Response to Stimulus,System and Developmental Process
GOMF_NUCLEAR_RECEPTOR_COACTIVATOR_ACTIVITY,,,,Transcription and Translation Machinery,Epigenetic Regulation,Signal Transduction,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_ANKYRIN_BINDING,GO:0030506,molecular_function,GO:0003674,Structural Stabilization,Protein Metabolism and Trafficking,Cell Adhesion and Interaction,Intracellular Trafficking and Organelle Dynamics,Signal Transduction
GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN,GO:0030527,molecular_function,GO:0003674,Epigenetic Regulation,Transcription and Translation Machinery,DNA Repair,Cell Cycle,Structural Stabilization
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,GO:0030545,molecular_function,GO:0003674,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Protein Metabolism and Trafficking,System and Developmental Process
GOMF_BETA_2_MICROGLOBULIN_BINDING,GO:0030881,molecular_function,GO:0003674,Immune System and Inflammation,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Signal Transduction,Cell Adhesion and Interaction
GOMF_MITOCHONDRION_TARGETING_SEQUENCE_BINDING,GO:0030943,molecular_function,GO:0003674,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Signal Transduction
GOMF_RECEPTOR_TYROSINE_KINASE_BINDING,GO:0030971,molecular_function,GO:0003674,Signal Transduction,Immune System and Inflammation,Cell Adhesion and Interaction,Apoptosis,System and Developmental Process
GOBP_HISTONE_DEMETHYLATION,,,,Epigenetic Regulation,Protein Metabolism and Trafficking,Transcription and Translation Machinery,DNA Repair,Response to Stimulus
GOBP_HISTONE_DEUBIQUITINATION,,,,Epigenetic Regulation,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Signal Transduction,Response to Stimulus
GOBP_PROTEIN_DESUMOYLATION,GO:0016926,biological_process,GO:0008150,Protein Metabolism and Trafficking,Epigenetic Regulation,Signal Transduction,Transcription and Translation Machinery,Response to Stimulus
GOBP_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS,GO:0016973,biological_process,GO:0008150,Molecular Transport and Homeostasis,RNA Metabolism,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Transcription and Translation Machinery
GOBP_PROTEIN_IMPORT,GO:0017038,biological_process,GO:0008150,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,System and Developmental Process
GOBP_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING,GO:0017121,biological_process,GO:0008150,Lipid Metabolism,Molecular Transport and Homeostasis,Apoptosis,Cell Adhesion and Interaction,Intracellular Trafficking and Organelle Dynamics
GOBP_PEPTIDYL_LYSINE_METHYLATION,GO:0018022,biological_process,GO:0008150,Protein Metabolism and Trafficking,Epigenetic Regulation,Transcription and Translation Machinery,Signal Transduction,Response to Stimulus
GOBP_PEPTIDYL_LYSINE_TRIMETHYLATION,GO:0018023,biological_process,GO:0008150,Epigenetic Regulation,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Response to Stimulus,Signal Transduction
GOBP_PEPTIDYL_LYSINE_DIMETHYLATION,GO:0018027,biological_process,GO:0008150,Epigenetic Regulation,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Signal Transduction,Response to Stimulus
GOBP_PEPTIDE_CROSS_LINKING,GO:0018149,biological_process,GO:0008150,Protein Metabolism and Trafficking,Structural Stabilization,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,GO:0018193,,,Protein Metabolism and Trafficking,Epigenetic Regulation,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_PEPTIDYL_LYSINE_MODIFICATION,GO:0018205,,,Epigenetic Regulation,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Signal Transduction,Molecular Transport and Homeostasis
GOBP_PEPTIDYL_THREONINE_MODIFICATION,GO:0018210,,,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus,Epigenetic Regulation,Molecular Transport and Homeostasis
GOBP_PEPTIDYL_TYROSINE_MODIFICATION,GO:0018212,,,Signal Transduction,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Response to Stimulus,Epigenetic Regulation
GOBP_PEPTIDYL_L_CYSTEINE_S_PALMITOYLATION,GO:0018230,biological_process,GO:0008150,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Lipid Metabolism,Signal Transduction,Molecular Transport and Homeostasis
GOBP_PROTEIN_N_LINKED_GLYCOSYLATION_VIA_ASPARAGINE,GO:0018279,biological_process,GO:0008150,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Lipid Metabolism,System and Developmental Process
GOBP_PEPTIDYL_LYSINE_ACETYLATION,GO:0018394,biological_process,GO:0008150,Epigenetic Regulation,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus,System and Developmental Process
GOBP_ETHER_METABOLIC_PROCESS,GO:0018904,,,Lipid Metabolism,Molecular Transport and Homeostasis,System and Developmental Process,Protein Metabolism and Trafficking,Response to Stimulus
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:0018958,biological_process,GO:0008150,Lipid Metabolism,Protein Metabolism and Trafficking,Response to Stimulus,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_VIRAL_TRANSCRIPTION,GO:0019083,biological_process,GO:0008150,Transcription and Translation Machinery,Response to Stimulus,RNA Metabolism,Signal Transduction,System and Developmental Process
GOBP_REPRODUCTIVE_BEHAVIOR,GO:0019098,biological_process,GO:0008150,System and Developmental Process,Response to Stimulus,Signal Transduction,Cell Adhesion and Interaction,Neurotransmission and Synaptic Regulation
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,GO:0019216,biological_process,GO:0008150,Lipid Metabolism,Signal Transduction,Epigenetic Regulation,Molecular Transport and Homeostasis,Response to Stimulus
GOBP_REGULATION_OF_STEROID_METABOLIC_PROCESS,GO:0019218,biological_process,GO:0008150,Lipid Metabolism,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus
GOBP_REGULATION_OF_VASOCONSTRICTION,GO:0019229,biological_process,GO:0008150,Response to Stimulus,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process,Cell Adhesion and Interaction
GOBP_RESPONSE_TO_PHEROMONE,GO:0019236,biological_process,GO:0008150,Signal Transduction,Response to Stimulus,Transcription and Translation Machinery,System and Developmental Process,Molecular Transport and Homeostasis
GOBP_FUCOSE_CATABOLIC_PROCESS,GO:0019317,,,Lipid Metabolism,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process,Protein Metabolism and Trafficking
GOBP_CYCLOOXYGENASE_PATHWAY,,,,Signal Transduction,Immune System and Inflammation,Response to Stimulus,Lipid Metabolism,System and Developmental Process
GOBP_GALACTOLIPID_METABOLIC_PROCESS,GO:0019374,,,Lipid Metabolism,Metabolism,System and Developmental Process,Structural Stabilization,Molecular Transport and Homeostasis
GOBP_GALACTOLIPID_BIOSYNTHETIC_PROCESS,GO:0019375,,,Lipid Metabolism,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,System and Developmental Process
GOBP_ALDITOL_METABOLIC_PROCESS,GO:0019400,,,Lipid Metabolism,System and Developmental Process,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus
GOBP_UREA_METABOLIC_PROCESS,,,,System and Developmental Process,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Response to Stimulus
GOBP_ANTIFUNGAL_HUMORAL_RESPONSE,GO:0019732,biological_process,GO:0008150,Immune System and Inflammation,Response to Stimulus,Molecular Transport and Homeostasis,Signal Transduction,System and Developmental Process
GOBP_NITROGEN_UTILIZATION,GO:0019740,biological_process,GO:0008150,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus,Protein Metabolism and Trafficking,Signal Transduction
GOBP_SECONDARY_METABOLIC_PROCESS,GO:0019748,biological_process,GO:0008150,Response to Stimulus,System and Developmental Process,Lipid Metabolism,Molecular Transport and Homeostasis,Transcription and Translation Machinery
GOBP_PEPTIDE_CROSS_LINKING_VIA_CHONDROITIN_4_SULFATE_GLYCOSAMINOGLYCAN,,,,Structural Stabilization,Cell Adhesion and Interaction,Lipid Metabolism,Response to Stimulus,System and Developmental Process
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,GO:0019886,biological_process,GO:0008150,Immune System and Inflammation,Response to Stimulus,Cell Adhesion and Interaction,Signal Transduction,Protein Metabolism and Trafficking
GOBP_CHARGED_TRNA_AMINO_ACID_MODIFICATION,,,,RNA Metabolism,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Molecular Transport and Homeostasis,Epigenetic Regulation
GOBP_SPINAL_CORD_MOTOR_NEURON_DIFFERENTIATION,GO:0021522,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Structural Stabilization,Neurotransmission and Synaptic Regulation,Signal Transduction
GOBP_SOMATIC_MOTOR_NEURON_DIFFERENTIATION,GO:0021523,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Neurotransmission and Synaptic Regulation,Structural Stabilization,Cell Adhesion and Interaction
GOBP_CELL_PROLIFERATION_IN_HINDBRAIN,GO:0021534,,,System and Developmental Process,Neurodevelopment and Neuronal Differentiation,Cell Cycle,Structural Stabilization,Signal Transduction
GOBP_DIENCEPHALON_DEVELOPMENT,GO:0021536,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Neurotransmission and Synaptic Regulation,Epigenetic Regulation,Signal Transduction
GOBP_RHOMBOMERE_DEVELOPMENT,GO:0021546,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Structural Stabilization,Cell Adhesion and Interaction,Signal Transduction
GOBP_AMYGDALA_DEVELOPMENT,,,,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Response to Stimulus,Structural Stabilization,Signal Transduction
GOBP_GLIAL_CELL_DEVELOPMENT,GO:0021782,biological_process,GO:0008150,Gliogenesis and Glial Differentiation,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Response to Stimulus
GOBP_BRANCHIOMOTOR_NEURON_AXON_GUIDANCE,GO:0021785,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,Neurotransmission and Synaptic Regulation,System and Developmental Process,Cell Adhesion and Interaction,Signal Transduction
GOBP_THALAMUS_DEVELOPMENT,GO:0021794,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Neurotransmission and Synaptic Regulation,Cell Adhesion and Interaction,Structural Stabilization
GOBP_HYPOTHALAMUS_DEVELOPMENT,GO:0021854,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Molecular Transport and Homeostasis,Signal Transduction,Response to Stimulus
GOBP_FOREBRAIN_NEURON_DEVELOPMENT,GO:0021884,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Neurotransmission and Synaptic Regulation,Cell Adhesion and Interaction,Signal Transduction
GOBP_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION,GO:0021895,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,Neurotransmission and Synaptic Regulation,System and Developmental Process,Cell Cycle,Signal Transduction
GOBP_HINDBRAIN_TANGENTIAL_CELL_MIGRATION,GO:0021934,biological_process,GO:0008150,Neurodevelopment and Neuronal Differentiation,System and Developmental Process,Cell Adhesion and Interaction,Signal Transduction,Response to Stimulus
GOMF_INTERLEUKIN_6_RECEPTOR_BINDING,GO:0005138,molecular_function,GO:0003674,Immune System and Inflammation,Signal Transduction,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process
GOMF_INTERLEUKIN_12_RECEPTOR_BINDING,GO:0005143,molecular_function,GO:0003674,Immune System and Inflammation,Signal Transduction,Response to Stimulus,Cell Adhesion and Interaction,Molecular Transport and Homeostasis
GOMF_INTERLEUKIN_1_RECEPTOR_BINDING,GO:0005149,molecular_function,GO:0003674,Immune System and Inflammation,Signal Transduction,Cell Adhesion and Interaction,Response to Stimulus,Transcription and Translation Machinery
GOMF_INSULIN_RECEPTOR_BINDING,GO:0005158,molecular_function,GO:0003674,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Protein Metabolism and Trafficking,System and Developmental Process
GOMF_NERVE_GROWTH_FACTOR_RECEPTOR_BINDING,GO:0005163,molecular_function,GO:0003674,Neurotransmission and Synaptic Regulation,Signal Transduction,Neurodevelopment and Neuronal Differentiation,Immune System and Inflammation,Response to Stimulus
GOMF_NEUROTROPHIN_RECEPTOR_BINDING,GO:0005165,molecular_function,GO:0003674,Neurotransmission and Synaptic Regulation,Neurodevelopment and Neuronal Differentiation,Signal Transduction,Molecular Transport and Homeostasis,System and Developmental Process
GOMF_INTEGRIN_BINDING,GO:0005178,molecular_function,GO:0003674,Cell Adhesion and Interaction,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,System and Developmental Process
GOMF_HORMONE_ACTIVITY,GO:0005179,molecular_function,GO:0003674,Signal Transduction,System and Developmental Process,Molecular Transport and Homeostasis,Response to Stimulus,Protein Metabolism and Trafficking
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,GO:0005201,molecular_function,GO:0003674,Structural Stabilization,Cell Adhesion and Interaction,System and Developmental Process,Response to Stimulus,Protein Metabolism and Trafficking
GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS,GO:0005212,molecular_function,GO:0003674,Structural Stabilization,System and Developmental Process,Response to Stimulus,Protein Metabolism and Trafficking,Cell Adhesion and Interaction
GOMF_CALCIUM_CHANNEL_REGULATOR_ACTIVITY,GO:0005246,molecular_function,GO:0003674,Signal Transduction,Neurotransmission and Synaptic Regulation,Molecular Transport and Homeostasis,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics
GOMF_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:0005310,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Lipid Metabolism,Response to Stimulus,Protein Metabolism and Trafficking
GOMF_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:0005337,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Signal Transduction,Immune System and Inflammation,Response to Stimulus
GOMF_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:0005372,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics,Signal Transduction,System and Developmental Process
GOMF_COPPER_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:0005375,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Response to Stimulus,System and Developmental Process,Intracellular Trafficking and Organelle Dynamics
GOMF_ZINC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:0005385,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Response to Stimulus
GOMF_P_TYPE_CALCIUM_TRANSPORTER_ACTIVITY,GO:0005388,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Signal Transduction,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics
GOMF_SOLUTE_INORGANIC_ANION_ANTIPORTER_ACTIVITY,GO:0005452,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Mitochondrial Function and Metabolism,Response to Stimulus,Signal Transduction
GOMF_ANDROGEN_BINDING,GO:0005497,molecular_function,GO:0003674,Signal Transduction,Steroid and Lipid Metabolism,Molecular Transport and Homeostasis,Transcription and Translation Machinery,Response to Stimulus
GOMF_FATTY_ACID_BINDING,GO:0005504,molecular_function,GO:0003674,Lipid Metabolism,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_CALCIUM_ION_BINDING,GO:0005509,molecular_function,GO:0003674,Signal Transduction,Neurotransmission and Synaptic Regulation,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Response to Stimulus
GOMF_COLLAGEN_BINDING,GO:0005518,molecular_function,GO:0003674,Cell Adhesion and Interaction,Structural Stabilization,System and Developmental Process,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING,GO:0005520,molecular_function,GO:0003674,Signal Transduction,Molecular Transport and Homeostasis,Response to Stimulus,Protein Metabolism and Trafficking,System and Developmental Process
GOMF_TROPOMYOSIN_BINDING,GO:0005523,molecular_function,GO:0003674,Structural Stabilization,Protein Metabolism and Trafficking,Cell Adhesion and Interaction,Response to Stimulus,System and Developmental Process
GOMF_MANNOSE_BINDING,,,,Immune System and Inflammation,Lipid Metabolism,Molecular Transport and Homeostasis,Response to Stimulus,Protein Metabolism and Trafficking
GOMF_GLYCOSAMINOGLYCAN_BINDING,GO:0005539,molecular_function,GO:0003674,Cell Adhesion and Interaction,Molecular Transport and Homeostasis,Signal Transduction,Structural Stabilization,Response to Stimulus
GOMF_FOLIC_ACID_BINDING,GO:0005542,molecular_function,GO:0003674,Nucleic Acid Metabolism,Molecular Transport and Homeostasis,Nutrient Metabolism,Metabolic Process,Protein Metabolism and Trafficking
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING,GO:0005546,molecular_function,GO:0003674,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Lipid Metabolism,Molecular Transport and Homeostasis,Response to Stimulus
GOMF_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING,GO:0005547,molecular_function,GO:0003674,Signal Transduction,Intracellular Trafficking and Organelle Dynamics,Lipid Metabolism,Molecular Transport and Homeostasis,Response to Stimulus
GOMF_CHEMOKINE_ACTIVITY,GO:0008009,molecular_function,GO:0003674,Immune System and Inflammation,Response to Stimulus,Cell Adhesion and Interaction,Signal Transduction,Molecular Transport and Homeostasis
GOMF_N_ACETYLTRANSFERASE_ACTIVITY,GO:0008080,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Epigenetic Regulation,Transcription and Translation Machinery,Response to Stimulus,Signal Transduction
GOMF_GROWTH_FACTOR_ACTIVITY,GO:0008083,molecular_function,GO:0003674,Signal Transduction,Response to Stimulus,Cell Cycle,Molecular Transport and Homeostasis,System and Developmental Process
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY,GO:0008093,molecular_function,GO:0003674,Structural Stabilization,Cell Adhesion and Interaction,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,System and Developmental Process
GOMF_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY,GO:0008106,molecular_function,GO:0003674,Lipid Metabolism,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus
GOMF_UBIQUINOL_CYTOCHROME_C_REDUCTASE_ACTIVITY,GO:0008121,molecular_function,GO:0003674,Mitochondrial Function and Metabolism,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Signal Transduction,Response to Stimulus
GOMF_ACETYLESTERASE_ACTIVITY,GO:0008126,molecular_function,GO:0003674,Lipid Metabolism,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Response to Stimulus,Molecular Transport and Homeostasis
GOMF_PROTEIN_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY,GO:0008138,molecular_function,GO:0003674,Signal Transduction,Protein Metabolism and Trafficking,Epigenetic Regulation,Response to Stimulus,Molecular Transport and Homeostasis
GOMF_N_METHYLTRANSFERASE_ACTIVITY,GO:0008170,molecular_function,GO:0003674,Epigenetic Regulation,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Signal Transduction,Molecular Transport and Homeostasis
GOMF_O_METHYLTRANSFERASE_ACTIVITY,GO:0008171,molecular_function,GO:0003674,Epigenetic Regulation,Protein Metabolism and Trafficking,RNA Metabolism,Molecular Transport and Homeostasis,Transcription and Translation Machinery
GOMF_RNA_METHYLTRANSFERASE_ACTIVITY,GO:0008173,molecular_function,GO:0003674,RNA Metabolism,Epigenetic Regulation,Transcription and Translation Machinery,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis
GOMF_TRNA_METHYLTRANSFERASE_ACTIVITY,GO:0008175,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Transcription and Translation Machinery,RNA Metabolism,Molecular Transport and Homeostasis,Response to Stimulus
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_RNA,GO:0008186,molecular_function,GO:0003674,RNA Metabolism,Mitochondrial Function and Metabolism,Protein Metabolism and Trafficking,Transcription and Translation Machinery,Molecular Transport and Homeostasis
GOMF_EUKARYOTIC_INITIATION_FACTOR_4E_BINDING,GO:0008190,molecular_function,GO:0003674,Transcription and Translation Machinery,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Signal Transduction,Response to Stimulus
GOMF_METALLOENDOPEPTIDASE_INHIBITOR_ACTIVITY,GO:0008191,molecular_function,GO:0003674,Response to Stimulus,Protein Metabolism and Trafficking,Signal Transduction,Immune System and Inflammation,Molecular Transport and Homeostasis
GOMF_PHOSPHATIDATE_PHOSPHATASE_ACTIVITY,GO:0008195,molecular_function,GO:0003674,Lipid Metabolism,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism
GOMF_FERRIC_IRON_BINDING,GO:0008199,molecular_function,GO:0003674,Molecular Transport and Homeostasis,Mitochondrial Function and Metabolism,Lipid Metabolism,Protein Metabolism and Trafficking,Response to Stimulus
GOMF_HEPARIN_BINDING,GO:0008201,molecular_function,GO:0003674,Cell Adhesion and Interaction,Molecular Transport and Homeostasis,Signal Transduction,Structural Stabilization,Response to Stimulus
GOMF_METALLOPEPTIDASE_ACTIVITY,GO:0008237,molecular_function,GO:0003674,Protein Metabolism and Trafficking,Signal Transduction,Immune System and Inflammation,Response to Stimulus,System and Developmental Process
GOMF_PROTEIN_METHYLTRANSFERASE_ACTIVITY,GO:0008276,molecular_function,GO:0003674,Epigenetic Regulation,Protein Metabolism and Trafficking,Signal Transduction,Transcription and Translation Machinery,Response to Stimulus
GOMF_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY,GO:0008330,molecular_function,GO:0003674,Signal Transduction,Protein Metabolism and Trafficking,Epigenetic Regulation,Response to Stimulus,Transcription and Translation Machinery
GOCC_LOW_DENSITY_LIPOPROTEIN_PARTICLE,GO:0034362,cellular_component,GO:0005575,Lipid Metabolism,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Protein Metabolism and Trafficking,System and Developmental Process
GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GO:0034364,cellular_component,GO:0005575,Lipid Metabolism,Molecular Transport and Homeostasis,System and Developmental Process,Response to Stimulus,Intracellular Trafficking and Organelle Dynamics
GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GO:0034366,cellular_component,GO:0005575,Lipid Metabolism,Molecular Transport and Homeostasis,Intracellular Trafficking and Organelle Dynamics,Mitochondrial Function and Metabolism,System and Developmental Process
GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE,GO:0034385,,,Lipid Metabolism,Molecular Transport and Homeostasis,System and Developmental Process,Structural Stabilization,Intracellular Trafficking and Organelle Dynamics
GOCC_PWP2P_CONTAINING_SUBCOMPLEX_OF_90S_PRERIBOSOME,GO:0034388,cellular_component,GO:0005575,Transcription and Translation Machinery,RNA Metabolism,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Structural Stabilization
GOCC_CENTRIOLAR_SATELLITE,GO:0034451,cellular_component,GO:0005575,Intracellular Trafficking and Organelle Dynamics,Cell Cycle,Protein Metabolism and Trafficking,Structural Stabilization,System and Developmental Process
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX,GO:0034663,cellular_component,GO:0005575,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Structural Stabilization,Response to Stimulus
GOCC_METHYLOSOME,GO:0034709,cellular_component,GO:0005575,Epigenetic Regulation,RNA Metabolism,Protein Metabolism and Trafficking,Intracellular Trafficking and Organelle Dynamics,System and Developmental Process
GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX,GO:0035097,cellular_component,GO:0005575,Epigenetic Regulation,Transcription and Translation Machinery,Protein Metabolism and Trafficking,DNA Repair,Cell Cycle
GOCC_PRC1_COMPLEX,GO:0035102,cellular_component,GO:0005575,Epigenetic Regulation,Transcription and Translation Machinery,Structural Stabilization,System and Developmental Process,Signal Transduction
GOCC_MICROTUBULE_PLUS_END,GO:0035371,cellular_component,GO:0005575,Intracellular Trafficking and Organelle Dynamics,Cell Cycle,Structural Stabilization,Response to Stimulus,Molecular Transport and Homeostasis
GOCC_AZUROPHIL_GRANULE_MEMBRANE,GO:0035577,cellular_component,GO:0005575,Immune System and Inflammation,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Protein Metabolism and Trafficking,Response to Stimulus
GOCC_SPECIFIC_GRANULE_MEMBRANE,GO:0035579,cellular_component,GO:0005575,Immune System and Inflammation,Intracellular Trafficking and Organelle Dynamics,Molecular Transport and Homeostasis,Response to Stimulus,Protein Metabolism and Trafficking
