[0] Autophagy Of Mitochondrion → Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization
[236] Trif Dependent Toll Like Receptor Signaling Pathway → Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Structural Stabilization
[237] Regulation Of Urine Volume → Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
[238] Positive Regulation Of Urine Volume → Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
[239] Renal Sodium Excretion → Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
[240] Homologous Recombination → DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
[241] Nail Development → Vasculature, Structural Stabilization, Myelination, Immune Response, Epigenetic
[242] Ascending Aorta Development → Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Apoptosis
[243] Dorsal Aorta Development → Vasculature, Mitochondrial Metabolism, Structural Stabilization, Immune Response, Lipid Metabolism
[244] Aorta Morphogenesis → Vasculature, Mitochondrial Metabolism, Structural Stabilization, Immune Response, Apoptosis
[245] Dorsal Aorta Morphogenesis → Vasculature, Structural Stabilization, Immune Response, APP Metabolism, Autophagy
[246] Skeletal Muscle Cell Differentiation → Vasculature, Synapse, Structural Stabilization, Immune Response, Myelination
[247] Response To Topologically Incorrect Protein → Proteostasis, Autophagy, DNA Repair, Oxidative Stress, Epigenetic
[248] Alpha Linolenic Acid Metabolic Process → Lipid Metabolism, Oxidative Stress, Immune Response, APP Metabolism, Autophagy
[249] Rna Guanine N7 Methylation → RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
[250] Cellular Response To Increased Oxygen Levels → Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Endolysosome
[251] Response To Increased Oxygen Levels → Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Proteostasis
[252] Interstrand Cross Link Repair → DNA Repair, Proteostasis, Oxidative Stress, Cell Cycle, Epigenetic
[253] Intestinal Stem Cell Homeostasis → Vasculature, Immune Response, Structural Stabilization, Proteostasis, Myelination
[254] Sodium Ion Export Across Plasma Membrane → Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Synapse, Lipid Metabolism
[255] Ire1 Mediated Unfolded Protein Response → Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Immune Response
[256] Erad Pathway → Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress
[257] Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway → Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Structural Stabilization
[258] Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway → Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
[259] Viral Rna Genome Replication → Viral Rna Genome Replication, Immune Response, RNA Spliceosome, Proteostasis, Oxidative Stress
[260] Regulation Of Growth → Vasculature, Immune Response, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
[261] Snrna Modification → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[262] Protein Refolding → Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
[263] Fluid Transport → Vasculature, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
[264] Epithelial Fluid Transport → Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Autophagy
[265] Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway → Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
[266] Regulation Of Catecholamine Metabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
[267] Strand Invasion → DNA Repair, RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis
[268] Regulation Of Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
[269] Ribosome Biogenesis → Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, DNA Repair
[270] Protection From Natural Killer Cell Mediated Cytotoxicity → Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
[271] Ribosomal Small Subunit Biogenesis → Proteostasis, RNA Spliceosome, Structural Stabilization, DNA Repair, Autophagy
[272] Negative Regulation Of Protein Import Into Nucleus → Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
[273] Dopamine Biosynthetic Process → Lipid Metabolism, Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress
[274] Middle Ear Morphogenesis → Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism
[275] Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein → Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis, Epigenetic
[276] Activation Of Janus Kinase Activity → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
[277] Receptor Metabolic Process → Lipid Metabolism, Synapse, Endolysosome, Immune Response, Vasculature
[278] Negative Regulation Of I Kappab Kinase Nf Kappab Signaling → Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
[279] Apoptotic Cell Clearance → Apoptosis, Immune Response, Autophagy, Proteostasis, Endolysosome
[280] Natural Killer Cell Degranulation → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization
[281] Steroid Hormone Mediated Signaling Pathway → Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism, Epigenetic
[282] Regulation Of Map Kinase Activity → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
[283] Negative Regulation Of Map Kinase Activity → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
[284] Negative Regulation Of Mapk Cascade → Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
[285] Negative Regulation Of Dna Binding Transcription Factor Activity → Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
[286] Mitochondrial Dna Repair → DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[287] Regulation Of Jun Kinase Activity → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
[288] Positive Regulation Of Jun Kinase Activity → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
[289] Negative Regulation Of Jun Kinase Activity → Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
[290] Peroxisomal Transport → Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
[291] Amide Metabolic Process → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis
[292] Linoleic Acid Metabolic Process → Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response
[293] Engulfment Of Apoptotic Cell → Apoptosis, Autophagy, Immune Response, Endolysosome, Proteostasis
[294] Recognition Of Apoptotic Cell → Apoptosis, Autophagy, Immune Response, Proteostasis, Endolysosome
[295] Regulation Of Excretion → Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome
[296] Negative Regulation Of Molecular Function → Proteostasis, Oxidative Stress, Immune Response, Epigenetic, Structural Stabilization
[297] Protein Transmembrane Import Into Intracellular Organelle → Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
[298] Cell Cycle Dna Replication → Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Mitochondrial Metabolism
[299] Modulation By Host Of Viral Process → Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
[300] Positive Regulation By Host Of Viral Process → Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
[301] Modulation By Host Of Viral Genome Replication → Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
[302] Positive Regulation By Host Of Viral Genome Replication → Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
[303] Modulation By Host Of Viral Rna Genome Replication → Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome
[304] Cell Cycle G2 M Phase Transition → Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Mitochondrial Metabolism
[305] Lipoprotein Localization → Lipid Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis, Autophagy
[306] Dna Templated Dna Replication Maintenance Of Fidelity → DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
[307] Glycerolipid Biosynthetic Process → Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
[308] Protein Insertion Into Er Membrane → Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Structural Stabilization
[309] Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome
[310] Positive Thymic T Cell Selection → Immune Response, Vasculature, Synapse, Apoptosis, Myelination
[311] Integrin Biosynthetic Process → Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
[312] Meiotic Chromosome Segregation → Cell Cycle, DNA Repair, Structural Stabilization, Autophagy, Epigenetic
[313] Apical Protein Localization → Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
[314] Maintenance Of Protein Location → Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
[315] Mhc Class I Biosynthetic Process → Vasculature, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
[316] Positive Regulation Of Mhc Class I Biosynthetic Process → Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
[317] Regulation Of Gamma Delta T Cell Differentiation → Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis
[318] Regulation Of Megakaryocyte Differentiation → Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis
[319] Positive Regulation Of Megakaryocyte Differentiation → Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis
[320] Respiratory Burst → Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Endolysosome
[321] Positive Regulation Of Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
[322] Negative Regulation Of Innate Immune Response → Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
[323] Negative Regulation Of Meiotic Nuclear Division → Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
[324] Negative Regulation Of Growth → Cell Cycle, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
[325] Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[326] Positive Regulation Of Striated Muscle Contraction → Vasculature, Synapse, Structural Stabilization, Immune Response, Apoptosis
[327] Adenosine Metabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Tau Homeostasis
[328] Inosine Metabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
[329] Purine Ribonucleoside Catabolic Process → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, DNA Repair, Autophagy
[330] Regulation Of Glucose Import → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
[331] Regulation Of Jnk Cascade → Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
[332] Positive Regulation Of Jnk Cascade → Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
[333] Negative Regulation Of Receptor Signaling Pathway Via Jak Stat → Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
[334] Icosanoid Biosynthetic Process → Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, APP Metabolism
[335] Prostanoid Biosynthetic Process → Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, APP Metabolism
[336] Phosphatidylcholine Metabolic Process → Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
[337] Glycerophospholipid Biosynthetic Process → Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Vasculature
[338] Phosphatidylinositol Metabolic Process → Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
[339] Regulation Of Protein Export From Nucleus → Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
[340] Regulation Of Mitochondrial Membrane Permeability → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[341] Golgi Vesicle Transport → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism
[342] Golgi Vesicle Budding → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
[343] Vesicle Targeting To From Or Within Golgi → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome
[344] Vesicle Targeting Rough Er To Cis Golgi → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome
[345] Golgi Vesicle Fusion To Target Membrane → Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
[346] Negative Regulation Of Receptor Mediated Endocytosis → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
[347] Vesicle Fusion With Golgi Apparatus → Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
[348] Hematopoietic Or Lymphoid Organ Development → Vasculature, Immune Response, Myelination, Structural Stabilization, APP Metabolism
[349] Pigment Granule Maturation → Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization, Immune Response
[350] Otolith Development → Vasculature, Structural Stabilization, Synapse, Myelination, Immune Response
[351] Forebrain Morphogenesis → Vasculature, Synapse, Myelination, Structural Stabilization, APP Metabolism
[352] Formation Of Anatomical Boundary → Structural Stabilization, Vasculature, Myelination, Immune Response, Epigenetic
[353] Amyloid Beta Metabolic Process → APP Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
[354] Negative Regulation Of Defense Response To Virus → Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
[355] Negative Regulation Of Phagocytosis → Immune Response, Endolysosome, Autophagy, Oxidative Stress, Structural Stabilization
[356] Protein Stabilization → Proteostasis, Structural Stabilization, Autophagy, DNA Repair, Oxidative Stress
[357] White Fat Cell Differentiation → Lipid Metabolism, Vasculature, Immune Response, Structural Stabilization, Myelination
[358] Leukocyte Tethering Or Rolling → Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis
[359] Microtubule Severing → Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
[360] Regulation Of Membrane Protein Ectodomain Proteolysis → Endolysosome, Proteostasis, Apoptosis, Synapse, Lipid Metabolism
[361] Negative Regulation Of Membrane Protein Ectodomain Proteolysis → Proteostasis, Synapse, Structural Stabilization, Endolysosome, APP Metabolism
[362] Chaperone Cofactor Dependent Protein Refolding → Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
[363] Hepoxilin Metabolic Process → Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, APP Metabolism
[364] Positive Regulation Of Actin Nucleation → Structural Stabilization, Synapse, Proteostasis, Myelination, Autophagy
[365] Chaperone Mediated Protein Complex Assembly → Proteostasis, Autophagy, Endolysosome, Synapse, Structural Stabilization
[366] Nk T Cell Activation → Immune Response, Vasculature, Synapse, Apoptosis, Oxidative Stress
[367] Protein Insertion Into Membrane → Structural Stabilization, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
[368] Maintenance Of Location → Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
[369] Positive Regulation Of Oxidoreductase Activity → Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism
[370] Kinetochore Assembly → Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Autophagy
[371] Kinetochore Organization → Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Autophagy
[372] Regulation Of Neurotrophin Trk Receptor Signaling Pathway → Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
[373] Regulation Of Cytosolic Calcium Ion Concentration → Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[374] Positive Regulation Of Mitochondrial Calcium Ion Concentration → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
[375] Positive Regulation Of Histone H3 K9 Methylation → Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response
[376] Response To Camp → Immune Response, Synapse, Oxidative Stress, Vasculature, Lipid Metabolism
[377] Proteolysis Involved In Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
[378] Norepinephrine Uptake → Synapse, Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism
[379] Maintenance Of Location In Cell → Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Myelination
[380] Maintenance Of Centrosome Location → Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
[381] Protein Delipidation → Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
[382] Biological Process Involved In Interaction With Symbiont → Immune Response, Vasculature, Synapse, Oxidative Stress, Structural Stabilization
[383] Response To Misfolded Protein → Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
[384] Modulation By Host Of Symbiont Process → Immune Response, Oxidative Stress, Endolysosome, Autophagy, Vasculature
[385] Negative Regulation Of Protein Kinase B Signaling → Proteostasis, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
[386] Establishment Of Pigment Granule Localization → Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization, Proteostasis
[387] Catecholamine Uptake Involved In Synaptic Transmission → Synapse, Immune Response, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
[388] Glutamate Reuptake → Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
[389] Positive Regulation Of Telomerase Activity → DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
[390] Positive Regulation Of Chromosome Segregation → Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
[391] Asymmetric Neuroblast Division → Synapse, Myelination, Structural Stabilization, Immune Response, Proteostasis
[392] Sodium Ion Homeostasis → Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
[393] Sertoli Cell Proliferation → Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis
[394] Bergmann Glial Cell Differentiation → Myelination, Synapse, Immune Response, Structural Stabilization, APP Metabolism
[395] Convergent Extension → Structural Stabilization, Myelination, Immune Response, Apoptosis, Autophagy
[396] Convergent Extension Involved In Gastrulation → Structural Stabilization, Myelination, Immune Response, Apoptosis, Autophagy
[397] Convergent Extension Involved In Organogenesis → Structural Stabilization, Myelination, Vasculature, Immune Response, Autophagy
[398] Regulation Of Syncytium Formation By Plasma Membrane Fusion → Synapse, Structural Stabilization, Immune Response, Autophagy, Mitochondrial Metabolism
[399] Regulation Of Glial Cell Proliferation → Vasculature, Immune Response, Myelination, Structural Stabilization, APP Metabolism
[400] Regulation Of Respiratory Burst → Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
[401] Cardiac Epithelial To Mesenchymal Transition → Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism
[402] Bronchus Development → Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism
[403] Positive Regulation Of Cardiac Muscle Contraction → Vasculature, Synapse, Mitochondrial Metabolism, Apoptosis, Immune Response
[404] Regulation Of Chromosome Condensation → Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
[405] Placenta Blood Vessel Development → Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Autophagy
[406] Branch Elongation Involved In Ureteric Bud Branching → Vasculature, Structural Stabilization, Myelination, Immune Response, APP Metabolism
[407] Labyrinthine Layer Blood Vessel Development → Vasculature, Immune Response, Structural Stabilization, Apoptosis, Myelination
[408] Blood Vessel Endothelial Cell Differentiation → Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Autophagy
[409] Arterial Endothelial Cell Differentiation → Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Autophagy
[410] Establishment Of Blood Brain Barrier → Vasculature, Immune Response, Structural Stabilization, Endolysosome, Oxidative Stress
[411] Chaperone Mediated Protein Folding → Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
[412] Regulation Of Proteasomal Protein Catabolic Process → Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response
[413] Establishment Or Maintenance Of Bipolar Cell Polarity → Synapse, Structural Stabilization, Myelination, Immune Response, Autophagy
[414] Notch Signaling Involved In Heart Development → Vasculature, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
[415] Chaperone Mediated Autophagy → Autophagy, Proteostasis, Endolysosome, Apoptosis, Immune Response
[416] Selective Autophagy → Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
[417] Process Utilizing Autophagic Mechanism → Autophagy, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
[418] Meiosis I Cell Cycle Process → Cell Cycle, DNA Repair, Epigenetic, Autophagy, Mitochondrial Metabolism
[419] Intracellular Protein Transmembrane Transport → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
[420] Chromosome Organization Involved In Meiotic Cell Cycle → Cell Cycle, DNA Repair, Epigenetic, Autophagy, Mitochondrial Metabolism
[421] Regulation Of Stress Activated Protein Kinase Signaling Cascade → Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism
[422] Lens Fiber Cell Differentiation → Myelination, Structural Stabilization, Synapse, Immune Response, Epigenetic
[423] Histone H2A K63 Linked Deubiquitination → Proteostasis, Epigenetic, DNA Repair, Autophagy, RNA Spliceosome
[424] Positive Regulation Of Vitamin D Receptor Signaling Pathway → Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Epigenetic
[425] Response To Interleukin 2 → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization
[426] Phosphorylation Of Rna Polymerase Ii C Terminal Domain → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
[427] Regulation Of Protein Exit From Endoplasmic Reticulum → Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
[428] Positive Regulation Of Protein Exit From Endoplasmic Reticulum → Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
[429] Protein Localization To Endoplasmic Reticulum → Proteostasis, Autophagy, Endolysosome, Structural Stabilization, RNA Spliceosome
[430] Dna Conformation Change → DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
[431] Resolution Of Recombination Intermediates → DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
[432] Ribonucleoprotein Complex Localization → RNA Spliceosome, Proteostasis, Synapse, Structural Stabilization, Epigenetic
[433] Cellular Response To Electrical Stimulus → Synapse, Vasculature, Immune Response, Structural Stabilization, Oxidative Stress
[434] Cellular Response To Lithium Ion → Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Lipid Metabolism, Endolysosome
[435] Cellular Response To Cgmp → Vasculature, Immune Response, Oxidative Stress, Synapse, Structural Stabilization
[436] Cellular Response To Steroid Hormone Stimulus → Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Epigenetic
[437] Cellular Response To Estradiol Stimulus → Lipid Metabolism, Immune Response, Oxidative Stress, Epigenetic, Vasculature
[438] Cellular Response To Testosterone Stimulus → Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
[439] Regulation Of Histone H3 K14 Acetylation → Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
[440] Protein Localization To Chromosome Centromeric Region → Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Autophagy
[441] Cellular Response To Acidic Ph → Oxidative Stress, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
[442] Cellular Response To Sterol Depletion → Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Autophagy
[443] Ectodermal Placode Development → Vasculature, Synapse, Myelination, Structural Stabilization, Immune Response
[444] Protein Transmembrane Transport → Endolysosome, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
[445] Tail Anchored Membrane Protein Insertion Into Er Membrane → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Epigenetic
[446] Negative Regulation Of Protein Serine Threonine Kinase Activity → Proteostasis, Apoptosis, Immune Response, Structural Stabilization, Epigenetic
[447] Maintenance Of Protein Localization In Organelle → Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
[448] Establishment Of Protein Localization To Endoplasmic Reticulum → Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Epigenetic
[449] Maintenance Of Protein Location In Mitochondrion → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
[450] T Cell Extravasation → Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
[451] Protein K6 Linked Ubiquitination → Proteostasis, DNA Repair, Autophagy, Immune Response, Oxidative Stress
[452] Endothelin Receptor Signaling Pathway → Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome
[453] Regulation Of Protein Deubiquitination → Proteostasis, DNA Repair, Autophagy, Epigenetic, Immune Response
[454] Copii Coated Vesicle Budding → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
[455] C 5 Methylation Of Cytosine → Epigenetic, DNA Repair, Proteostasis, Oxidative Stress, APP Metabolism
[456] Establishment Of Epithelial Cell Polarity → Structural Stabilization, Myelination, Immune Response, Autophagy, Epigenetic
[457] Establishment Of Planar Polarity Involved In Neural Tube Closure → Myelination, Synapse, Structural Stabilization, Immune Response, APP Metabolism
[458] Positive Regulation Of Triglyceride Metabolic Process → Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[459] Regulation Of Metaphase Plate Congression → Cell Cycle, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Apoptosis
[460] Positive Regulation Of Histone H4 Acetylation → Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
[461] Negative Regulation Of Histone H4 Acetylation → Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response
[462] Positive Regulation Of Inclusion Body Assembly → Proteostasis, Structural Stabilization, Autophagy, Synapse, APP Metabolism
[463] Negative Regulation Of Calcium Ion Import → Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis
[464] Regulation Of Osteoclast Proliferation → Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
[465] Positive Regulation Of Intracellular Protein Transport → Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
[466] Negative Regulation Of Intracellular Protein Transport → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome
[467] Regulation Of Dna Templated Dna Replication → Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
[468] Stress Induced Premature Senescence → Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Cell Cycle
[469] Intracellular Glutamate Homeostasis → Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
[470] Regulation Of Membrane Permeability → Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Immune Response
[471] Telomeric Loop Disassembly → DNA Repair, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
[472] Endothelial Cell Matrix Adhesion → Vasculature, Structural Stabilization, Immune Response, Endolysosome, Autophagy
