Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Deneddylase Activity -> Biodomain: Proteostasis,Synapse,Autophagy,Epigenetic,Unknown
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Unknown
GO Term: Sumo Transferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, DNA Repair, Unknown
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism
GO Term: Aspartoacylase Activity -> Biodomain: Myelination, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Polyamine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Spermidine Binding -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Unknown
GO Term: Putrescine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Unknown
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Stem Cell Population Maintenance -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Unknown
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cytolysis -> Biodomain: Apoptosis, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Isoprenoid Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Rrna Binding -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Unknown
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Mitochondrial Metabolism
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Unknown, Synapse, Proteostasis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Unknown, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Iga Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Unknown, Proteostasis
GO Term: Ige Binding -> Biodomain: Immune Response, Unknown, Unknown, Unknown, Unknown
GO Term: Igg Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Organelle Inner Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Epigenetic
GO Term: Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Kinesin Binding -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Extrinsic Component Of Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Enzyme Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Protein Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Structural Stabilization
GO Term: Protein Domain Specific Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Apoptosis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis,Epigenetic,Synapse,RNA Spliceosome,Autophagy
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Unknown
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Oxidative Stress
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Unknown
GO Term: Sexual Reproduction -> Biodomain: Unknown, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Unknown
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Unknown
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Synapse, Proteostasis
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Epigenetic
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Unknown, Vasculature, Mitochondrial Metabolism, Cell Cycle
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Unknown
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Diacylglycerol Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Symbiont-Containing Vacuole -> Biodomain: Unknown, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Unknown, Synapse, Proteostasis, Autophagy
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Unknown
GO Term: Neural Fold Bending -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Unknown, Cell Cycle
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Unknown
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Unknown
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Unknown
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Synapse, Unknown
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Unknown,Synapse,Epigenetic,Cell Cycle,DNA Repair
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Unknown, Myelination
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Unknown, Cell Cycle
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Epigenetic
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Unknown, Cell Cycle
GO Term: Pons Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Epigenetic, Autophagy
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Unknown
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, RNA Spliceosome, Myelination, Structural Stabilization, Proteostasis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Developmental Process, Unknown
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Rhombomere 2 Development -> Biodomain: Structural Stabilization,Synapse,Cell Cycle,Myelination,Unknown
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Myelination, Synapse
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Myelination, Synapse
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Epigenetic
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Endolysosome, Myelination, Unknown, Synapse
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization,Unknown,Cell Cycle,Apoptosis,Myelination
GO Term: Abducens Nerve Formation -> Biodomain: Unknown,Synapse,Structural Stabilization,Myelination,Cell Cycle
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Facial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Immune Response
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Oculomotor Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Unknown, Cell Cycle
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Unknown, Endolysosome, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Unknown, Autophagy, Myelination
GO Term: Optic Nerve Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Optic Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Epigenetic, Unknown
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Unknown
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Unknown, Endolysosome
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Unknown, Endolysosome
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Unknown, Cell Cycle
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Cell Cycle, Myelination
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Unknown
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Epigenetic, RNA Spliceosome, Unknown
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Unknown
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Synapse, Unknown, Cell Cycle, Endolysosome
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Third Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Unknown
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Unknown
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Endolysosome
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Autophagy
GO Term: Developmental Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Unknown
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Autophagy
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Immune Response
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Unknown, Cell Cycle, Autophagy
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Immune Response
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Putamen Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Unknown, Synapse, Cell Cycle, Myelination
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Epigenetic, Autophagy
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Myelination
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination,Synapse,Cell Cycle,Epigenetic,Structural Stabilization
