Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Golgi Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Golgi Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Cytoplasmic Side Of Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Otolith Morphogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Otolith Formation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heterotetrameric Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Rab Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Regulation Of Rab Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Ral Protein Signal Transduction -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Ral Protein Signal Transduction -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Rap Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Synapse
GO Term: Regulation Of Rap Protein Signal Transduction -> Biodomain: Immune Response, Vasculature, Cell Cycle, Synapse, Myelination
GO Term: Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Immune Response
GO Term: Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Detection Of Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Detection Of Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Response To Bacterial Lipoprotein -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Response To Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Muramyl Dipeptide -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Detection Of Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Detection Of Muramyl Dipeptide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Detection Of Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Muramyl Dipeptide Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Vasculature
GO Term: Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Maintenance Of Protein Location In Cell -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Endosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, APP Metabolism
GO Term: Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Somite Rostral/Caudal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Response To Retinoic Acid -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Microvillus Organization -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Microvillus Length -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cellular Component Size -> Biodomain: Proteostasis, Autophagy, Synapse, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Cell Projection Size -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Cell Cycle, Proteostasis
GO Term: Cortical Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Sulfiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Curi Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Ribonucleoside Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, DNA Repair
GO Term: Purine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Pyrimidine Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Pyrimidine Ribonucleotide Binding -> Biodomain: Metal Binding and Homeostasis, RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis
GO Term: Adenyl Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Structural Stabilization
GO Term: Adenyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Guanyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Apoptosis, DNA Repair
GO Term: Datp Binding -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Dgtp Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Response To Progesterone -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Vitamin K -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: 5'-3' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Golgi Cisterna Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Er-Dependent Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Growth Cone Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Multivesicular Body Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Ruffle Membrane -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Trans-Golgi Network Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Neuron Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendrite Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin-Responsive Compartment -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Transport Into Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: B Cell Receptor Transport Into Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Chemokine Receptor Transport Out Of Membrane Raft -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Regulation Of Chemokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Epigenetic
GO Term: Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Chemokine Production -> Biodomain: Immune Response, Inflammation, Cell Signaling, Cytokine Activity, Cell Communication
GO Term: Negative Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Hepatocyte Growth Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-11 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Communication, Signal Transduction
GO Term: Negative Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Signaling, Regulatory Processes, Inflammation, Cytokine Signaling
GO Term: Negative Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Interleukin-27 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Communication, Signal Transduction
GO Term: Negative Regulation Of Interleukin-7 Production -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Chemokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Fractalkine Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Viral Processes, Signal Transduction, Cytokine Signaling, Inflammatory Response
GO Term: Positive Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Vasculature, Proteostasis
GO Term: Positive Regulation Of Interleukin-15 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Vasculature
GO Term: Positive Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Signaling, Transcriptional Regulation, Inflammation, Cell Communication
GO Term: Positive Regulation Of Interleukin-22 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lymphotoxin A Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Endolysosome, Proteostasis
GO Term: Copper-Dependent Protein Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Epigenetic, Endolysosome
GO Term: Piccolo Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair, Endolysosome
GO Term: Bile Acid Secretion -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Super Elongation Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Regulation Of Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Monocarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Saturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Unsaturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ribosome Disassembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Lead Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, Synapse, Immune Response
GO Term: Positive Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Synapse, Apoptosis, Oxidative Stress, Immune Response
GO Term: Gtpase Activating Protein Binding -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Endolysosome, Autophagy
GO Term: Heterotrimeric G-Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Uropod Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Endolysosome
GO Term: Smn Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Swi5-Sfr1 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Low-Density Lipoprotein Receptor Particle Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Dna Ligase Iv Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Lacrimal Gland Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Neuronal Cell Body Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Sterol Response Element Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Autophagy, Epigenetic
GO Term: Negative Regulation Of Epinephrine Secretion -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Epinephrine Secretion -> Biodomain: Synapse, Vasculature, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Tumor Necrosis Factor Receptor Superfamily Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Autophagy, Synapse, Apoptosis, Cell Cycle
