Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Microtubule-Based Transport -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Chromosome, Subtelomeric Region -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Trna 5'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii C-Terminal Domain Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Somato-Dendritic Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Mitochondrial [2Fe-2S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Estrogen Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Presynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Extrinsic Component Of Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Serotonergic Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Recycling Endosome Localization Within Postsynapse -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Presynaptic Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Vasculature
GO Term: Synaptic Signaling By Nitric Oxide -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: Postsynaptic Specialization Membrane Of Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Presynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynapse Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Presynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Retrograde Trans-Synaptic Signaling By Endocanabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Synaptic Membrane Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Zinc Ion Import Into Synaptic Vesicle -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Structural Constituent Of Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Presynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Postsynaptic Intermediate Filament Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Presynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Postsynaptic Spectrin-Associated Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Trans-Synaptic Signaling By Bdnf -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Cerebellar Golgi Cell To Granule Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Extrinsic Component Of Synaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Caveola Neck -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Vesicle Fusion To Plasma Membrane -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Secretory Vesicle -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Synaptic Vesicle Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Supramolecular Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Tau Homeostasis
GO Term: Polymeric Cytoskeletal Fiber -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Vesicle Cytoskeletal Trafficking -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Dense Core Granule Cytoskeletal Transport -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Presynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Postsynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Presynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Structural Stabilization, DNA Repair
GO Term: G Protein-Coupled Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Synaptic Vesicle Endosomal Processing -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Presynaptic Cytosolic Calcium Concentration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Calcium Ion Binding Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Synaptic Signaling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Trans-Synaptic Signaling -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Structural Stabilization
GO Term: Synaptic Signaling Via Neuropeptide -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Perisynaptic Space -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Trans-Synaptic Signaling By Trans-Synaptic Complex -> Biodomain: Synapse, Cell Adhesion, Neuronal Signaling, Proteostasis, Structural Stabilization
GO Term: Trans-Synaptic Signaling, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Trans-Synaptic Signaling By Trans-Synaptic Complex, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Maintenance Of Synapse Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Synaptic Membrane Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Maintenance Of Postsynaptic Density Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Modification Of Synaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Chemical Synaptic Transmission, Postsynaptic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Calcium Ion Binding Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamatergic Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Protein Catabolic Process At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Protein Catabolic Process At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Translation At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Regulation Of Translation At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neurotransmitter Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ligand-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Action Potential Firing Rate -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Mitochondrial Metabolism, Oxidative Stress
GO Term: Microtubule Plus-End Directed Mitotic Chromosome Migration -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Action Potential Firing Pattern -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Microtubule Lateral Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Action Potential Initiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Action Potential Firing Threshold -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Protein Localization To Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Matrix Side Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Postsynaptic Specialization Of Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Postsynaptic Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Postsynaptic Specialization Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport, Endosome To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Anterograde Axonal Protein Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Retrograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Tau Homeostasis
GO Term: Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cell Cortex Region -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Skeletal Muscle Contraction By Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ficolin-1-Rich Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Cytolytic Granule Membrane -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Protein Histidine Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Nucleolar Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Epigenetic, Cell Cycle, Proteostasis
GO Term: Estrogen 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Estrogen 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Protein Folding Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Acyl-L-Homoserine-Lactone Lactonohydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Proline Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Nadh-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Beta,Beta-Carotene-9',10'-Cleaving Oxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Homocarnosine Synthase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Heparan Sulfate N-Deacetylase Activity -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Cell Adhesion and Signaling, Barrier Function, Immune Response
GO Term: Dermatan 2-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Farnesylcysteine Lyase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Very-Long-Chain (3R)-3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase (Nad+)/C4-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Immune Response
GO Term: Protein-Ribulosamine 3-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Protein-Fructosamine 3-Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Cortisol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Epigenetic
GO Term: Trna-Dihydrouridine16 Synthase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna-Dihydrouridine17 Synthase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Trna-Dihydrouridine20 Synthase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna-Dihydrouridine47 Synthase Activity -> Biodomain: Structural Stabilization, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna-Dihydrouridine20A Synthase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Trna-Dihydrouridine20B Synthase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: 1,8-Cineole 2-Exo-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: 11-Cis-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Polyprenol Reductase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Mycophenolic Acid Acyl-Glucuronide Esterase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Decanoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trna-4-Demethylwyosine Synthase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Trna 4-Demethylwyosine Alpha-Amino-Alpha-Carboxypropyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna(Phe) (7-(3-Amino-3-Carboxypropyl)Wyosine37-C2)-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Oxidative Stress
GO Term: Peptide Chain Release Factor N(5)-Glutamine Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Endolysosome, Structural Stabilization
GO Term: [Protein]-3-O-(N-Acetyl-D-Glucosaminyl)-L-Serine/L-Threonine O-N-Acetyl-Alpha-D-Glucosaminase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-Man:Man(2)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Nadph Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Very-Long-Chain Enoyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sphingolipid C4-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis
GO Term: Alcohol-Forming Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 16-Hydroxypalmitate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trna-Uridine 2-Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome
GO Term: Itpase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Fructose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Leukotriene C4 Gamma-Glutamyl Transferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: 17-Hydroxyprogesterone 21-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Intestinal Hexose Absorption -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Mcrd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Amyloid-Beta Complex -> Biodomain: APP Metabolism, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Trna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Rna 5'-Cap (Guanine-N7)-Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Cytoskeletal Protein-Membrane Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: 2-Oxoglutaramate Amidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: (4S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Inflammation, Wound Healing, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-3,5-Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Vesicle Docking -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Gly-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Neuron Projection Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Neuron Projection Retraction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Trna Pseudouridine Synthase Activity -> Biodomain: Structural Stabilization, RNA Spliceosome, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Neuron Projection Fasciculation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
