Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Male Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Female Meiosis Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Mitotic Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Mitotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Mitotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Mitotic Nuclear Membrane Reassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Traversing Start Control Point Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Metaphase/Anaphase Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Apoptosis, DNA Repair
GO Term: Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Mitotic G2 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Male Meiosis Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endomitotic Cell Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Homologous Chromosome Pairing At Meiosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Synaptonemal Complex Assembly -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Male Meiotic Nuclear Division -> Biodomain: Cell Cycle, Meiosis, Gametogenesis, Spermatogenesis, Chromosome Segregation
GO Term: Male Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Female Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Meiotic Recombination Nodule Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Female Meiosis Ii -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Endolysosome, Proteostasis
GO Term: Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Myelination
GO Term: Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Myelination
GO Term: Neuron Cell-Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Calcium-Independent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Negative Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Vasculature, Cell Cycle
GO Term: Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cell Surface Receptor Signaling Pathway -> Biodomain: Signal Transduction, Immune Response, Apoptosis, Vasculature, Proteostasis
GO Term: Enzyme-Linked Receptor Protein Signaling Pathway -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Vasculature, Synapse
GO Term: Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Epigenetic
GO Term: Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Cell Surface Receptor Signaling, Intracellular Signaling, Cell Communication, Cell Proliferation
GO Term: Signal Complex Assembly -> Biodomain: Signal Transduction, Protein Complexes, Intracellular Signaling, Cell Communication, Molecular Assembly
GO Term: Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Epidermal Growth Factor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Apoptosis
GO Term: Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Cell Surface Receptor Protein Tyrosine Phosphatase Signaling Pathway -> Biodomain: Synapse, Immune Response, Cell Cycle, Apoptosis, Epigenetic
GO Term: G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neuronal Signaling, Cell Communication, Immune Response, Cell Proliferation
GO Term: G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Signal Transduction, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Signaling, Cell Cycle, Intracellular Signaling, Ion Channel Regulation
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Activation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Epigenetic
GO Term: Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Adenylate Cyclase-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Epigenetic, Vasculature, Apoptosis, Proteostasis
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Adenylate Cyclase Activity -> Biodomain: Signal Transduction, Synapse, Metabolism, Gene Expression, Immune Response
GO Term: Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Mitochondrial Metabolism, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: G Protein-Coupled Receptor Signaling Pathway Coupled To Cgmp Nucleotide Second Messenger -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Phospholipase C-Activating G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phospholipase C-Activating G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Phospholipase C-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: G Protein-Coupled Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Epigenetic, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Autophagy
GO Term: Gamma-Aminobutyric Acid Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tachykinin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Neuropeptide Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Vasculature
GO Term: Notch Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Notch Receptor Processing -> Biodomain: Proteostasis, APP Metabolism, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Transcription Of Notch Receptor Target -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic, Vasculature
GO Term: Patched Ligand Maturation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Epigenetic, Immune Response, Vasculature, Autophagy
GO Term: Osmosensory Signaling Pathway -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Activation Of Nf-Kappab-Inducing Kinase Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: I-Kappab Phosphorylation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Jnk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Jun Phosphorylation -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Epigenetic
GO Term: Cell Surface Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Epigenetic, Vasculature, Cell Cycle, Autophagy
GO Term: Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Signal Transduction, Cell Growth And Proliferation, Apoptosis, Epigenetic
GO Term: Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Small Gtpase-Mediated Signal Transduction -> Biodomain: Immune Response, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Synapse
GO Term: Cell-Cell Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Neuron-Neuron Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Multicellular Organism Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Immune Response
GO Term: Gamete Generation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, RNA Spliceosome
GO Term: Germ Cell Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Spermatogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Spermatogonial Cell Division -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Spermatid Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Sperm Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Spermatid Nucleus Differentiation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Spermatid Nucleus Elongation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Sperm Individualization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Female Gamete Generation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Vitellogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic, Structural Stabilization
GO Term: Oocyte Axis Specification -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Insemination -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Sperm Displacement -> Biodomain: Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Peptide Pheromone Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Single Fertilization -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Binding Of Sperm To Zona Pellucida -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Acrosome Reaction -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Penetration Of Zona Pellucida -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Fusion Of Sperm To Egg Plasma Membrane Involved In Single Fertilization -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Egg Activation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Pronuclear Fusion -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Apoptosis, Epigenetic
GO Term: Zygotic Specification Of Dorsal/Ventral Axis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Zygotic Determination Of Anterior/Posterior Axis, Embryo -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Thorax And Anterior Abdomen Determination -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Determination Of Left/Right Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Gastrulation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, DNA Repair
GO Term: Ventral Midline Determination -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Segment Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Compartment Pattern Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Anterior Compartment Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Posterior Compartment Specification -> Biodomain: Developmental Biology, Pattern Specification, Morphogenesis, Cell Differentiation, Segmentation
GO Term: Pattern Specification Process -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Vasculature, Synapse
GO Term: Ectoderm Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Apoptosis
GO Term: Neuroblast Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Glial Cell Fate Determination -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Autophagy
GO Term: Negative Regulation Of Neuroblast Proliferation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Axon Target Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Axonal Fasciculation -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Central Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Ventral Midline Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Apoptosis
GO Term: Brain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Peripheral Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Immune Response, Vasculature
GO Term: Sensory Organ Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Salivary Gland Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Foregut Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Hindgut Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Endoderm Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Endodermal Cell Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Midgut Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Visceral Mesoderm-Endoderm Interaction Involved In Midgut Development -> Biodomain: Developmental Biology, Morphogenesis, Cell Signaling, Digestive System, Embryogenesis
GO Term: Posterior Midgut Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Mesoderm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Ectoderm And Mesoderm Interaction -> Biodomain: Cell-Cell Signaling, Developmental Biology, Vasculature, Structural Stabilization, Epigenetic
GO Term: Mesodermal Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, DNA Repair
GO Term: Mesodermal Cell Fate Specification -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Gonadal Mesoderm Development -> Biodomain: Reproductive System, Developmental Biology, Germ Layer Development, Epigenetic, Cell Cycle
GO Term: Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Mesoderm Migration Involved In Gastrulation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Adult Heart Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Muscle Organ Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Myoblast Fate Determination -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Skeletal Muscle Tissue Development -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Myoblast Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Muscle Cell Fate Determination -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Visceral Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Somatic Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Establishment Of Synaptic Specificity At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sex Determination -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Primary Sex Determination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Sex Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Structural Stabilization
GO Term: Sex-Chromosome Dosage Compensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Female Pregnancy -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Embryo Implantation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Parturition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Respiratory Gaseous Exchange By Respiratory System -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Body Fluid Secretion -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Synapse
GO Term: Lactation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Blood Coagulation -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Blood Coagulation, Intrinsic Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Blood Coagulation, Extrinsic Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Hemostasis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Sensory Perception -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Visual Perception -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Phototransduction -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Phototransduction, Visible Light -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Phototransduction, Uv -> Biodomain: Synapse, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Sensory Perception Of Sound -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
