Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse, Unknown
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Synapse,Lipid Metabolism,Proteostasis,Endolysosome,Oxidative Stress
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Unknown
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Epigenetic
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Ketohexokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Lactose Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Unknown
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Unknown
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Synapse, Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Malic Enzyme Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Synapse
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Autophagy
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic,RNA Spliceosome,Synapse,Proteostasis,Unknown
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Unknown
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Synapse, Proteostasis
GO Term: Tyrosinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown, Metal Binding and Homeostasis
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Nuclease Activity -> Biodomain: Synapse, Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Endonuclease Activity -> Biodomain: Synapse, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: Rna Endonuclease Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Ribonuclease A Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Endolysosome, Epigenetic
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Unknown, RNA Spliceosome, Proteostasis
GO Term: Ribonuclease Iii Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Ribonuclease P Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Exonuclease Activity -> Biodomain: Synapse, Proteostasis, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Phosphodiesterase I Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Endolysosome
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Unknown, Cell Cycle
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Unknown
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: DNA Repair, Apoptosis, Endolysosome, Proteostasis, Unknown
GO Term: Rna Exonuclease Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Unknown
GO Term: Rna Nuclease Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Unknown
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Unknown
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Unknown
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Proteostasis,Endolysosome,Autophagy,Lipid Metabolism,Synapse
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Unknown, Synapse, Oxidative Stress
GO Term: Alpha-Amylase Activity -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Beta-Galactosidase Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Chitinase Activity -> Biodomain: Immune Response, Unknown, Proteostasis, Endolysosome, Autophagy
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Unknown
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Unknown
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Unknown
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Unknown, Synapse
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Proteostasis, Autophagy
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Unknown
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Unknown, Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Structural Stabilization
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis,Unknown,Synapse,Endolysosome,Autophagy
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Unknown
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Unknown, Oxidative Stress
GO Term: Phosphomannomutase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Unknown
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Oxidative Stress
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Phospholipase C Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phospholipase D Activity -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Unknown
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown, Synapse
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Unknown, Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, Unknown, Epigenetic, Proteostasis
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Unknown, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Synapse, Unknown
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Unknown, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Unknown
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Unknown
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Unknown
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Synapse, Myelination, Epigenetic, Immune Response, Proteostasis
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Unknown
GO Term: Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Protein Histidine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Synapse, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Unknown, Cell Cycle
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
