Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Brown Fat Cell Proliferation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: White Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Actin Polymerization-Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Hepatocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Hepatocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Beta-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cellular Heat Acclimation -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Immune Response, Vasculature, Autophagy, Epigenetic
GO Term: Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Cell Growth, Cell Differentiation, Cell Survival, Cell Cycle
GO Term: Negative Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Immune Response, Autophagy, Epigenetic, Oxidative Stress
GO Term: Erk5 Cascade -> Biodomain: Cell Cycle, Oxidative Stress, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Regulation Of Erk5 Cascade -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Erk5 Cascade -> Biodomain: Cell Cycle, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Endosome To Plasma Membrane Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Exocytic Vesicle -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Dna Cytosine Deamination -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Immune Response
GO Term: Harderian Gland Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Transcription Export Complex 2 -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Detection Of Lipoteichoic Acid -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Nadp+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadph Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nad+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nadh Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidation-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Carbamoyl Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Co-Smad Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: I-Smad Binding -> Biodomain: Signal Transduction, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: R-Smad Binding -> Biodomain: Signal Transduction, Cell Signaling, Cell Growth And Differentiation, Transcription Regulation, Development
GO Term: Cellular Response To Cold -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dna-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Nonhomologous End Joining Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Dna Ligase Iii-Xrcc1 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Shc-Egfr Complex -> Biodomain: Signal Transduction, Receptor Complex, MAPK Cascade, Cell Growth, Cell Proliferation
GO Term: Grb2-Egfr Complex -> Biodomain: Cell Cycle, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Integrin Alphaiib-Beta3 Complex -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Mad-Max Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Oligodendrocyte Progenitor Proliferation -> Biodomain: Cell Cycle, Myelination, Synapse, Structural Stabilization, Proteostasis
GO Term: Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Elongin Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cellular Detoxification Of Nitrogen Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Prolactin Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Thyroid-Stimulating Hormone Secretion -> Biodomain: Endocrine, Protein Secretion, Regulated Secretion, Signaling Pathways, Neuropeptide Signaling
GO Term: Saga-Type Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Plus-End Specific Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Tubulin-Dependent Atpase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Rrna Base Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Rrna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Nuclear-Transcribed Mrna Catabolic Process, 3'-5' Exonucleolytic Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Non-Stop Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Immune Response
GO Term: Detection Of Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Leukocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Neutrophil Aggregation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: T Cell Aggregation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Synapse, Apoptosis
GO Term: Oligosaccharide Binding -> Biodomain: Glycosylation, Carbohydrate Binding, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: High-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Death Domain Binding -> Biodomain: Apoptosis, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Cak-Ercc2 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Ercc4-Ercc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Steroid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Trna Threonylcarbamoyladenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Platelet Aggregation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Protein Kinase C Signaling -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: K63-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, DNA Repair
GO Term: Brca1-A Complex -> Biodomain: DNA Repair, Genome Stability, Proteostasis, Cell Cycle, Epigenetic
GO Term: Brca1-B Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Brca1-C Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Protein K63-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, DNA Repair, Immune Response, Autophagy, Endolysosome
GO Term: Oleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Linoleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Platinum Ion -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Linoleic Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Pebow Complex -> Biodomain: Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic
GO Term: Endoribonuclease Activity, Cleaving Sirna-Paired Mrna -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Autophagy, Apoptosis
GO Term: Brisc Complex -> Biodomain: Proteostasis, DNA Repair, Immune Response, Autophagy, Apoptosis
GO Term: Nicotinic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-3-Complexin Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Interleukin-1 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Pcna-P21 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Protein Secretion By Platelet -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Metal Binding and Homeostasis, Immune Response, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Vitamin D Receptor Signaling, Receptor Signaling, Regulation of Signaling, Nuclear Receptor Signaling, Hormone Signaling
GO Term: Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Metallodipeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cadmium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Risc-Loading Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Dna 5-Methylcytosine Dioxygenase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cell-Cell Adhesion Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Dendrite Self-Avoidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Centromeric Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Histone H3R2 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H2Ar3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Grb2-Sos Complex -> Biodomain: Signal Transduction, Receptor Mediated Signaling, Cell Growth and Proliferation, Intracellular Transport, Endocytosis
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Zymogen Granule Exocytosis -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: (S)-2-(5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamido) Succinate Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Proteasome Binding -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Endolysosome, Oxidative Stress
GO Term: Transepithelial Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Transepithelial Ammonium Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Vitamin D3 Metabolic Process -> Biodomain: Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Vitamin D Response Element Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Protein Modification By Small Protein Removal -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, Epigenetic
GO Term: Formin-Nucleated Actin Cable Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Nonfunctional Rrna Decay -> Biodomain: Proteostasis, Autophagy, Endolysosome, RNA Spliceosome, Apoptosis
GO Term: Haus Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: High-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Sensory Epithelium Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Inflammation, Cell Cycle, Endolysosome, Immune System
GO Term: Response To Interleukin-2 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Interleukin-4 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Interleukin-12 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Response To Interleukin-15 -> Biodomain: Immune Response, Cell Cycle, Inflammation, Apoptosis, Autophagy
GO Term: Response To Interleukin-18 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hypoxanthine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Hypoxanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Inositol 1,4,5 Trisphosphate Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Apoptosis, Vasculature
GO Term: Glutaminyl-Trnagln Biosynthesis Via Transamidation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Proteasome Regulatory Particle Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Seminal Clot Liquefaction -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature
GO Term: Macropinocytic Cup -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: P-Tefb Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: 5-Hydroxymethyl-Dump N-Hydrolase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Fhf Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Activin Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Type I Activin Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Immune Response, Synapse
GO Term: Type Ii Activin Receptor Binding -> Biodomain: Signaling, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Bmp Receptor Binding -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Immune Response, Vasculature
GO Term: Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Inner Mucus Layer -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Outer Mucus Layer -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Sodium-Dependent Organic Cation Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Mismatch Repair Involved In Maintenance Of Fidelity Involved In Dna-Dependent Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Isgf3 Complex -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Cholesterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Bmp Receptor Complex -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Vasculature, Metal Binding and Homeostasis
GO Term: L-Leucine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Cyclic Nucleotide Transport -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Autophagy
GO Term: Camp Transport -> Biodomain: Immune Response, Vasculature, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cgmp Transport -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ampylase Activity -> Biodomain: Proteostasis, Autophagy, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Protein-Glycine Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein-Glycine Ligase Activity, Initiating -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Protein-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Tubulin-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Tau Homeostasis, Autophagy
GO Term: Response To Interleukin-6 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Vasculature
GO Term: C2H2 Zinc Finger Domain Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Interleukin-23 Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Interleukin-35 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
