Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Female Meiosis Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Mitotic Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Mitotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Mitotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Mitotic Nuclear Membrane Reassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Traversing Start Control Point Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Metaphase/Anaphase Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Mitotic G2 Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Unknown, Unknown, Unknown
GO Term: Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Male Meiosis Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Endomitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Unknown, Apoptosis, Structural Stabilization
GO Term: Homologous Chromosome Pairing At Meiosis -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Unknown
GO Term: Synaptonemal Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Synapse
GO Term: Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Male Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Synapse
GO Term: Male Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Epigenetic
GO Term: Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Unknown, Apoptosis
GO Term: Female Meiosis I -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Unknown
GO Term: Meiotic Recombination Nodule Assembly -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Female Meiosis Ii -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Unknown
GO Term: Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Proteostasis
GO Term: Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Neuron Cell-Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Calcium-Independent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Negative Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Synapse, Proteostasis
GO Term: Enzyme-Linked Receptor Protein Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Synapse
GO Term: Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Vasculature
GO Term: Signal Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Epigenetic
GO Term: Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Epidermal Growth Factor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Vasculature, Immune Response, Epigenetic, Apoptosis, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Complex Assembly -> Biodomain: Proteostasis, Immune Response, Vasculature, Cell Cycle, Autophagy
GO Term: Cell Surface Receptor Protein Tyrosine Phosphatase Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Vasculature
GO Term: G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Signal Transduction, Neuronal Signaling, Receptor Signaling, Metabolism, Cardiovascular Signaling
GO Term: Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Synapse, Immune Response, Lipid Metabolism
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Activation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Adenylate Cyclase-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signaling, Receptor Signaling, Cyclic Nucleotide Signaling, G Protein-Coupled Receptor Signaling, Intracellular Signaling
GO Term: Negative Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Unknown, Autophagy, Apoptosis
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Receptor Signaling Pathway Coupled To Cgmp Nucleotide Second Messenger -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Synapse
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Phospholipase C-Activating G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Phospholipase C-Activating G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Phospholipase C-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle
GO Term: Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Vasculature
GO Term: G Protein-Coupled Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Vasculature, Unknown, Autophagy
GO Term: Gamma-Aminobutyric Acid Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Unknown, Structural Stabilization, Vasculature, Endolysosome
GO Term: Tachykinin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Neuropeptide Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Notch Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Notch Receptor Processing -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Transcription Of Notch Receptor Target -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Patched Ligand Maturation -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Osmosensory Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Activation Of Nf-Kappab-Inducing Kinase Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: I-Kappab Phosphorylation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Jnk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Jun Phosphorylation -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Cell Surface Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Small Gtpase-Mediated Signal Transduction -> Biodomain: Signal Transduction, Cytoskeleton, Vasculature, Immune Response, Apoptosis
GO Term: Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress, Vasculature
GO Term: Cell-Cell Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Epigenetic
GO Term: Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Neuron-Neuron Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Multicellular Organism Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Gamete Generation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Germ Cell Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Spermatogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Spermatogonial Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Spermatid Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Sperm Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Spermatid Nucleus Differentiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Spermatid Nucleus Elongation -> Biodomain: Structural Stabilization, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Sperm Individualization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Female Gamete Generation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Mitochondrial Metabolism, DNA Repair
GO Term: Vitellogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Oocyte Axis Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Insemination -> Biodomain: Unknown, Cell Cycle, Immune Response, Apoptosis, Autophagy
GO Term: Sperm Displacement -> Biodomain: Unknown, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Peptide Pheromone Maturation -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Single Fertilization -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Endolysosome
GO Term: Binding Of Sperm To Zona Pellucida -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Synapse, Cell Cycle
GO Term: Acrosome Reaction -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Penetration Of Zona Pellucida -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Apoptosis
GO Term: Fusion Of Sperm To Egg Plasma Membrane Involved In Single Fertilization -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Egg Activation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Pronuclear Fusion -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Zygotic Specification Of Dorsal/Ventral Axis -> Biodomain: Developmental Process, Cell Differentiation, Morphogenesis, Signal Transduction, Gene Expression
GO Term: Zygotic Determination Of Anterior/Posterior Axis, Embryo -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Thorax And Anterior Abdomen Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis, Structural Stabilization
GO Term: Determination Of Left/Right Symmetry -> Biodomain: Unknown, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Unknown, DNA Repair
GO Term: Ventral Midline Determination -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Segment Specification -> Biodomain: Developmental Process, Pattern Specification Process, Cell Differentiation, Morphogenesis, Gene Expression and Regulation
GO Term: Compartment Pattern Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Anterior Compartment Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Posterior Compartment Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Pattern Specification Process -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Ectoderm Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Neuroblast Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Glial Cell Fate Determination -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Unknown
GO Term: Neuroblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Negative Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Unknown
GO Term: Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Axon Target Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Axonal Fasciculation -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Synapse Assembly -> Biodomain: Synapse, Neurodevelopment, Structural Stabilization, Synaptic Plasticity, Cell Adhesion
GO Term: Central Nervous System Development -> Biodomain: Cell Cycle, Apoptosis, Myelination, Synapse, Epigenetic
GO Term: Ventral Midline Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Unknown, Cell Cycle
GO Term: Brain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Peripheral Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Sensory Organ Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Apoptosis, Immune Response
GO Term: Salivary Gland Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Endolysosome
GO Term: Foregut Morphogenesis -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Autophagy, Unknown
GO Term: Hindgut Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Endoderm Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Endodermal Cell Fate Determination -> Biodomain: Developmental Biology, Stem Cell Biology, Cell Differentiation, Gene Expression Regulation, Organogenesis
GO Term: Midgut Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Visceral Mesoderm-Endoderm Interaction Involved In Midgut Development -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Endolysosome, Unknown
GO Term: Posterior Midgut Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Ectoderm And Mesoderm Interaction -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Mesodermal Cell Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Immune Response
GO Term: Gonadal Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Heart Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Mesoderm Migration Involved In Gastrulation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Unknown
GO Term: Adult Heart Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization
GO Term: Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Myoblast Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Myoblast Fusion -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism
GO Term: Muscle Cell Fate Determination -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Visceral Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Somatic Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Establishment Of Synaptic Specificity At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Sex Determination -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Primary Sex Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Unknown
GO Term: Sex Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Sex-Chromosome Dosage Compensation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Unknown, Apoptosis
GO Term: Female Pregnancy -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Embryo Implantation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Unknown
GO Term: Parturition -> Biodomain: Vasculature, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Respiratory Gaseous Exchange By Respiratory System -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Digestion -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Body Fluid Secretion -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Lactation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Blood Coagulation, Intrinsic Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Blood Coagulation, Extrinsic Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Hemostasis -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Immune Response
GO Term: Sensory Perception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Visual Perception -> Biodomain: Synapse, Unknown, Unknown, Unknown, Unknown
GO Term: Phototransduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Phototransduction, Visible Light -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Unknown
GO Term: Phototransduction, Uv -> Biodomain: Oxidative Stress, DNA Repair, Synapse, Structural Stabilization, Vasculature
GO Term: Sensory Perception Of Sound -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Oxidative Stress
GO Term: Sensory Perception Of Chemical Stimulus -> Biodomain: Synapse, Sensory Perception, Chemosensation, Neurotransmission, Neuroinflammation
GO Term: Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Learning Or Memory -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Memory -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Short-Term Memory -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Unknown
GO Term: Long-Term Memory -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
