Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle  
DNA Repair  
Epigenetic  
Proteostasis  
Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Epigenetic, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, RNA Spliceosome, DNA Repair
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, RNA Spliceosome, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization  
Proteostasis  
Lipid Metabolism  
Mitochondrial Metabolism  
Oxidative Stress
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Cell Cycle
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Development, Developmental Process, Cellular Process, Cell Death
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination  
Structural Stabilization  
Cell Cycle  
Synapse  
Immune Response
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, RNA Spliceosome
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Structural Stabilization
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Ectodermal Cell Differentiation -> Biodomain: Epigenetic, Synapse, Myelination, Cell Cycle, Structural Stabilization
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis  
Lipid Metabolism  
Structural Stabilization  
Proteostasis  
Endolysosome
GO Term: Acetyltransferase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Myelination, Synapse, Structural Stabilization, Endolysosome
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Vasculature, Immune Response
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Extracellular Matrix Organization, Vasculature, Tissue Repair
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Autophagy, Immune Response, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Structural Stabilization, Immune Response, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Protein Kinase A Signaling -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Autophagy
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Cell Cycle
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Signal Transduction, Regulation, Vasculature, Intracellular Signaling, Response to Stimulus
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Structural Stabilization, Apoptosis
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Vasculature, Chemotaxis
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Autophagy
GO Term: Fibroblast Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Synapse, Vasculature
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Vesicle Trafficking, Cell-Cell Signaling, Cellular Regulation, Protein Complex Assembly
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization  
Cell Cycle  
Apoptosis  
Proteostasis  
Immune Response
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Catabolic Process, Mitochondrial Metabolism
GO Term: Substance P Catabolic Process -> Biodomain: Proteostasis, Immune Response, Synapse, Lipid Metabolism, Apoptosis
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Hormone Levels -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Autophagy, Vasculature
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Chemotaxis, Leukocyte Trafficking, Cell Migration, Vasculature
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Chemotaxis, Cell Migration, Leukocyte Migration, Cytoskeleton Organization
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle  
Structural Stabilization  
Proteostasis  
Autophagy  
Mitochondrial Metabolism
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle  
Autophagy  
Proteostasis  
Epigenetic  
Mitochondrial Metabolism
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Muscle Development, Cell Differentiation, Regulation, Cell Cycle, Developmental Processes
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Circadian, Behavior, Neuronal Signaling, Neurotransmission, Regulation
GO Term: Retina Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Vasculature
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Epigenetic, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: DNA Repair  
Cell Cycle  
Epigenetic  
Proteostasis  
Autophagy
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Immune Response, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Myelination
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis, Synapse
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Myelination
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Calcium Signaling, Cellular Homeostasis, Metal Binding and Homeostasis, Ion Transport and Channels, Structural Stabilization
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Cellular Process, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
