Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: Nuclear Body -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Pml Body -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nuclear Speck -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Growth Hormone-Releasing Hormone Activity -> Biodomain: Hormone Activity, Endocrine Function, Metabolic Regulation, Peptide Hormone Signaling, Cellular Signaling
GO Term: Oxidoreductase Activity, Acting On Ch-Oh Group Of Donors -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Malate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: 4-Oxoproline Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Hydroxypyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Heme Protein As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Quinone Or Similar Compound As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Other Nitrogenous Compounds As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Nad(P) As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Peroxide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 2-Oxoglutarate-Dependent Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Nad(P)H As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Flavonoid 3'-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Pteridine As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Ascorbate As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Oxygen As Acceptor -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Ch Or Ch2 Groups, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Transferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, DNA Repair
GO Term: Transferase Activity, Transferring One-Carbon Groups -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Carboxyl- Or Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Transketolase Or Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle
GO Term: Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aminoacyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Hexosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Pentosyltransferase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Transferase Activity, Transferring Alkyl Or Aryl (Other Than Methyl) Groups -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Spermine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Transferase Activity, Transferring Phosphorus-Containing Groups -> Biodomain: Cell Cycle, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Phosphotransferase Activity, Alcohol Group As Acceptor -> Biodomain: Proteostasis, Phosphorylation, Signal Transduction, Epigenetic, Cell Cycle
GO Term: Phosphotransferase Activity, Phosphate Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Nucleotidyltransferase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, RNA Spliceosome
GO Term: Phosphotransferase Activity, For Other Substituted Phosphate Groups -> Biodomain: Lipid Metabolism, Glycosylation, Structural Stabilization, Endolysosome, Signal Transduction
GO Term: Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 3-Mercaptopyruvate Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Hydrolase Activity, Acting On Ester Bonds -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Thiolester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Triphosphoric Monoester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, DNA Repair, Cell Cycle
GO Term: Hydrolase Activity, Acting On Glycosyl Bonds -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Autophagy, Proteostasis
GO Term: Hydrolase Activity, Hydrolyzing N-Glycosyl Compounds -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Ether Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dipeptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Cysteine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amidines -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Acid Anhydrides, In Phosphorus-Containing Anhydrides -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, DNA Repair
GO Term: Carbon-Carbon Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Carboxy-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Aldehyde-Lyase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Oxo-Acid-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hydro-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Carbon-Sulfur Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: 1-Aminocyclopropane-1-Carboxylate Synthase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphorus-Oxygen Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, DNA Repair, Mitochondrial Metabolism
GO Term: Racemase And Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Intramolecular Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Intramolecular Oxidoreductase Activity, Transposing C=C Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intramolecular Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Intramolecular Phosphotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Ligase Activity -> Biodomain: DNA Repair, Proteostasis, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Ligase Activity, Forming Carbon-Sulfur Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Acid-Thiol Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ligase Activity, Forming Carbon-Nitrogen Bonds -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Acid-Amino Acid Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: Carbon-Nitrogen Ligase Activity, With Glutamine As Amido-N-Donor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Ligase Activity, Forming Carbon-Carbon Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Ligase Activity, Forming Phosphoric Ester Bonds -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Atp Hydrolysis Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Dna Endonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna Endonuclease Activity, Producing 3'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rna Endonuclease Activity Producing 5'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Rna Endonuclease Activity Producing 3'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Immune Response, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Rna Exonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: G Protein-Coupled Acetylcholine Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Follicle-Stimulating Hormone Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Follicle-Stimulating Hormone Complex -> Biodomain: Hormone Activity, Cell Cycle, Proteostasis, Structural Stabilization, Vasculature
GO Term: Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Pyroglutamyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Nuclear Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis
GO Term: Protein Sumoylation -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Epigenetic, DNA Repair, Cell Cycle
GO Term: Protein Desumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Desumoylase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Extracellularly Glycine-Gated Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Extracellularly Glycine-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Glycine-Gated Chloride Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Galactoside Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Short-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Kinesin I Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Kinesin Ii Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Natriuretic Peptide Receptor Activity -> Biodomain: Vasculature, Endolysosome, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Binding Protein Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Alpha-2 Macroglobulin Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Flavin-Dependent Sulfhydryl Oxidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Thiol Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Poly(A)+ Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Lipoate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Alpha-Sialidase Activity -> Biodomain: Endolysosome, Immune Response, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Antibiotic Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Activin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Vasculature
GO Term: Cytochrome Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 3'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Map Kinase Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Myosin Phosphatase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Metal Binding and Homeostasis
GO Term: Myosin Phosphatase Regulator Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Cell Cycle
GO Term: Myosin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Myosin I Binding -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
GO Term: Tbp-Class Protein Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein Import -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: N-Acylsphingosine Amidohydrolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Glycosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Corticotropin-Releasing Hormone Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Peptide Hormone Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Endolysosome, Synapse
GO Term: Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Cofactor 2 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Structural Constituent Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: 6-Phosphogluconolactonase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, DNA Repair, Epigenetic, Cell Cycle
GO Term: Serine Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: 3-Galactosyl-N-Acetylglucosaminide 4-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: S-Methyl-5-Thioadenosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Fatty Acid Amide Hydrolase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Single-Strand Selective Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U6 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Intracellular Cyclic Nucleotide Activated Cation Channel Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Syntaxin-1 Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Purine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Synapse, Epigenetic
GO Term: Oxidative Phosphorylation Uncoupler Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Sodium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Myelination, Structural Stabilization, Proteostasis
