Running with TEMP=0.9, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Translational Termination -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Negative Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Positive Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Catecholamine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Complement Activation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Complement Activation -> Biodomain: Immune Response, Signaling, Innate Immunity, Inflammation, Humoral Immunity
GO Term: Negative Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Exocytosis -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Negative Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Female Receptivity -> Biodomain: Reproductive Behavior, Neurotransmission, Hormonal Signaling, Cell Signaling, Behavioral Response
GO Term: Positive Regulation Of Female Receptivity -> Biodomain: Epigenetic, Lipid Metabolism, Synapse, Myelination, Structural Stabilization
GO Term: Negative Regulation Of Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Growth -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Autophagy, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Synapse, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mitotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Mitotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Growth Rate -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Negative Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Striated Muscle Contraction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Striated Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Carbon Catabolite Regulation Of Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Vasculature
GO Term: Negative Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Regulation Of Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Autophagy, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Proteostasis, Autophagy, Endolysosome, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Regulation Of T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Transcription By Glucose -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Transcription By Glucose -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Phospholipid:Diacylglycerol Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Inositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Adp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Amp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Ctp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Gmp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, DNA Repair
GO Term: Gmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Endolysosome
GO Term: Gtp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Lipid Metabolism, Immune Response
GO Term: Imp Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Itp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Oxidative Stress
GO Term: Itp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Ump Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Utp Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Utp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dgmp Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dgmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Nucleotide Metabolism, DNA Repair, Cell Cycle, Proteostasis
GO Term: Dadp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Camp Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Damp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Autophagy, Cell Cycle
GO Term: Datp Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Datp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dgdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Cgmp Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Synapse, Epigenetic, Autophagy
GO Term: Cgmp Catabolic Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Dgtp Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dtmp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Dttp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Dump Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Dutp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Adenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Adenine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Adenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Epigenetic, Autophagy
GO Term: Adenosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxycytidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Guanine Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hypoxanthine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hypoxanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Inosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Oxidative Stress
GO Term: Thymidine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Thymidine Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Uridine Metabolic Process -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Xanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Deoxyribonucleoside Catabolic Process -> Biodomain: DNA Repair, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Purine Deoxyribonucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine Ribonucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Pyrimidine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Tetrahydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Alcohol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glyceraldehyde-3-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycerol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Glycerol-3-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Aldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Spermidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nor-Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Spermine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Nitric Oxide Metabolic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nitric Oxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Indolalkylamine Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Aflatoxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Aflatoxin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Coumarin Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Stilbene Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Formaldehyde Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Formaldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphocreatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Myelination, Cell Cycle, Oxidative Stress
GO Term: Gluconokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Vasculature, Autophagy
GO Term: Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Immune Response, Autophagy
GO Term: Negative Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Glycerol Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, DNA Repair
GO Term: Positive Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Lateral Inhibition -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Phosphatidylethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Metabolic Process, Phospholipid Metabolism, Intracellular Signaling
GO Term: Diacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Cdp-Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Disaccharide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Acetyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Butyrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Oxobutyrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Gdp-L-Fucose Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization, Autophagy
GO Term: Fructose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Arabinose Metabolic Process -> Biodomain: Carbohydrate Metabolism, Plant Biology, Microbiome, Lipid Metabolism, Immune Response
GO Term: N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Myelination, Immune Response, Proteostasis
GO Term: Cmp-N-Acetylneuraminate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Deoxyribose Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Endolysosome
GO Term: Ribose Phosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Carboxylic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Carboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Udp-Glucuronate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Polynucleotide 3'-Phosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Metal Binding and Homeostasis
GO Term: Atp-Dependent Polydeoxyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Urate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: D-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Organophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Creatinine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Dihydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hexadecanal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Short-Chain Fatty Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Membrane Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Platelet Activating Factor Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Phosphatidylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Phosphatidic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Glycerophospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Glycosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycosphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
