Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Uterine Wall Breakdown -> Biodomain: Vasculature, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Maternal Behavior -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Sperm Ejaculation -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Fibrinolysis -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Ph Domain Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Autophagy
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Apoptosis
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Circadian Rhythm, Neuronal Signaling, Neurotransmission, Behavioral Processes, Circadian Regulation
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Proteostasis, Autophagy, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Eating Behavior -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Drinking Behavior -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Trna 3'-End Processing -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Muscle System, Cell Adhesion and Motility, Cellular Organization and Biogenesis
GO Term: Fucose Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Wnt Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Immune Response
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Pyridoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Tap Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Platelet Dense Granule -> Biodomain: Vasculature, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Cysteine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Tubulin Deacetylase Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Tau Homeostasis
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Xenobiotic Transport -> Biodomain: Immune Response, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Drug Metabolism, Membrane Transport, Toxicology, Pharmacology, Excretory System
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neuromedin U Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Enterobactin Transport -> Biodomain: Iron Homeostasis, Transporter, Nutrient Uptake, Bacterial Metabolism, Host-Pathogen Interaction
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dipeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glucoside Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Apoptosis
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Oxidative Stress
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Tau Homeostasis, Endolysosome
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Lipid Metabolism, Autophagy
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Cell Projection -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Lipid Metabolism
GO Term: Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Proteostasis
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Atp-Dependent Protein Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Chordate Embryonic Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Camera-Type Eye Development -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Gamma-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Nadph Oxidase Complex -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Ribosome Binding -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, RNA Spliceosome
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Neuronal Cell Body -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Isoamylase Complex -> Biodomain: Glycogen Metabolism, Carbohydrate Metabolism, Metabolic Process, Enzyme Complex, Cellular Metabolism
GO Term: Costamere -> Biodomain: Structural Stabilization, Muscle System, Extracellular Matrix Organization, Cell Adhesion, Cytoskeleton Organization
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Immune Response
GO Term: Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Otic Placode Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Thermotaxis -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Extracellular Structure Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Proteostasis
GO Term: Intercellular Bridge Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Megasporocyte Nucleus -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Regulation Of Gtpase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Amino Acid Import -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, DNA Repair
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Replication Fork Arrest -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Synapse
GO Term: Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Neurotrophin Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Inflammatory Response
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Surfactant Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Erythrocyte Enucleation -> Biodomain: Structural Stabilization, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Circadian, Signal Transduction, Epigenetic, Neuroinflammation, Vasculature
GO Term: Acrosomal Matrix -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Acrosomal Lumen -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Anion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Endolysosome
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Amine Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Alcohol Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Tau Homeostasis
