Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Proteostasis, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Extracellular Matrix, Structural Stabilization, Glycobiology, Tissue Barrier, Immune Response
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Tissue Development, Cell Adhesion
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, APP Metabolism
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Endolysosome, Cell Cycle
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Glycosaminoglycan Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Protein Modification, Sulfation, Biosynthesis
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Hyaluronan Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Immune Response, Structural Stabilization, Vasculature, Autophagy
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Erythrocyte Differentiation -> Biodomain: Hematopoiesis, Cell Differentiation, Immune Response, Metabolism, Oxidative Stress
GO Term: Megakaryocyte Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Platelet Formation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Lipid Metabolism, Apoptosis
GO Term: Male Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, RNA Spliceosome
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Polysaccharide Binding -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Growth Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Proteostasis, DNA Repair, Cell Cycle, Epigenetic
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, DNA Repair
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Lim Domain Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Lrr Domain Binding -> Biodomain: Immune Response, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Vasculature, Apoptosis
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Dynein Complex -> Biodomain: Cell Cycle, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Vasculature
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Signaling, Receptor Signaling, Enzyme Activity, Cellular Response, Cell Signaling
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Vasculature
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Deoxynucleotide Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Endolysosome
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Vasculature, Autophagy
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Immune Response
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Carbohydrate Metabolism, Glycosylation, Extracellular Matrix Organization, Cell Surface Receptor Signaling, Innate Immune Response
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Melanocyte Differentiation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Immune Response, Synapse, Endolysosome, Oxidative Stress
GO Term: Stabilization Of Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Lung Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Adrenal Gland Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Molybdopterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Serine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Vasculature
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Inflammatory Response, Signal Transduction, Cell Communication, Cytokine Signaling
GO Term: Sperm Mitochondrion Organization -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lactose Binding -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Autophagy
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Defecation -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Lipid Metabolism
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Site Of Polarized Growth -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Synapse, Autophagy
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peristalsis -> Biodomain: Muscle System, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Trna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Hemoglobin Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Synapse
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Vasculature, Immune Response, Epigenetic
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Adult Behavior -> Biodomain: Synapse, Myelination, Epigenetic, APP Metabolism, Proteostasis
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, DNA Repair
GO Term: Male Genitalia Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Vasculature
GO Term: Female Genitalia Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Apoptosis
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Cell Cycle
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Cell Cycle
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Camp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Cgmp Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Bile Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Extracellular Matrix Organization, Tissue Remodeling, Vasculature, Immune Response
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Pml Body Organization -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Proteostasis, Oxidative Stress
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
