Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Glutamine Secretion -> Biodomain: Amino Acid Metabolism, Secretion, Mitochondrial Metabolism, Nitrogen Compound Metabolism, Metabolism
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Immune Response, Cell Cycle
GO Term: Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Epigenetic, Proteostasis, Endolysosome
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle, RNA Spliceosome
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, RNA Spliceosome, APP Metabolism
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Immune Response, Autophagy, Cell Cycle, Apoptosis
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Developmental Process, Cellular Process, Proteostasis
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination  
Cell Cycle  
Structural Stabilization  
Lipid Metabolism  
Autophagy
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Autophagy, RNA Spliceosome, DNA Repair
GO Term: Epithelial Cell Migration -> Biodomain: Cell Migration, Developmental Process, Cell Motility, Cellular Process, Tissue Development
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Regulation Of Cell Communication -> Biodomain: Cell Cycle, Immune Response, Synapse, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Oxidative Stress, Cell Cycle
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Ectodermal Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Acetyltransferase Activator Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Myelination, Synapse, Structural Stabilization, Endolysosome
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Immune Response
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Immune Response
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Vasculature
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Oxidative Stress
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Vasculature
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Developmental Process, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy, Apoptosis
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Protein Kinase A Signaling -> Biodomain: Signal Transduction, Cellular Regulation, Metabolic Pathways, Gene Expression, Cell Signaling
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Signal Transduction, Kinase Signaling, Intracellular Signaling, Regulation of Cellular Process, Response to Stimulus
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Synapse, Oxidative Stress
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Autophagy
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Autophagy, Epigenetic
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Endolysosome, Myelination
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Myelination, Structural Stabilization
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Reproductive Process, Nucleic Acid Metabolism, Epigenetic
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, DNA Recombination, Apoptosis
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Vesicle Trafficking, Protein Complex Assembly, Secretion, Cell Signaling
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Cell Cycle, Autophagy
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Substance P Catabolic Process -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Vasculature, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Hormone Levels -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Cell Cycle, Vasculature
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Chemotaxis, Cell Migration, Response to Stimulus, Cell Motility
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Cell Motility, Regulation of Immune Response, Cellular Response to Stimulus, Lymphocyte Migration
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle  
Structural Stabilization  
Proteostasis  
Autophagy  
Lipid Metabolism
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Circadian Rhythm, Behavior, Rhythmic Process, Biological Regulation, Multicellular Organismal Process
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Myelination
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Immune Response, Cell Cycle, Autophagy, Vasculature
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Synapse, Immune Response, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Signal Transduction, Calcium Homeostasis, Synapse, Proteostasis, Structural Stabilization
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Immune Response
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Myelination, Vasculature, Endolysosome, Autophagy
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism, Synapse, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Calcium Signaling, Muscle System, Intracellular Signaling, Ion Homeostasis, Cardiovascular System
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Cholesterol Homeostasis, Endolysosome, Lipid Homeostasis, Autophagy
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
