Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Oxidative Stress, Apoptosis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Proteostasis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Immune Response
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Proteostasis, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Proline:Proton Symporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Proteostasis
GO Term: Oxygen Carrier Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis, Immune Response
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Synapse
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Proteostasis
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Endolysosome
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Synapse
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Androgen Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Oxidative Stress, Apoptosis
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Proteostasis
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, APP Metabolism
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Calcium Ion Binding -> Biodomain: Calcium ion binding is critical in Alzheimer's disease due to its role in neuronal signaling dysregulation, mitochondrial dysfunction, and oxidative damage. The top five Biodomains are:  

Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Protein Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Immune Response
GO Term: Calmodulin Binding -> Biodomain: Tau Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, APP Metabolism
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Apoptosis
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Oxidative Stress, Apoptosis
GO Term: Profilin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Gtp Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Macrolide Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fk506 Binding -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Galactose Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: D-Mannose Binding -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Endolysosome, Oxidative Stress
GO Term: Glycosaminoglycan Binding -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Structural Stabilization, Synapse
GO Term: Hyaluronic Acid Binding -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Folic Acid Binding -> Biodomain: Oxidative Stress, Epigenetic, Vasculature, DNA Repair, Mitochondrial Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Calcium Signaling, Synapse, Proteostasis, Endolysosome
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Pheromone Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Cellular Component -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Extracellular Region -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Xv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Iv Trimer -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Viii Trimer -> Biodomain: Vasculature, Structural Stabilization, Extracellular Matrix, Basement Membrane, Cell Adhesion
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Xiv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Basement Membrane -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Laminin-1 Complex -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Laminin-2 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization,Vasculature,Immune Response,Proteostasis,Endolysosome
GO Term: Laminin-5 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Synapse
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Extracellular Space -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Nucleus -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: Nuclear Envelope -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Oxidative Stress, DNA Repair
GO Term: Nuclear Inner Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, DNA Repair
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Envelope Lumen -> Biodomain: Tau Homeostasis, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Annulate Lamellae -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Nuclear Pore -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, APP Metabolism
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Replication Fork -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Dna Replication Factor C Complex -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, Tau Homeostasis, APP Metabolism, Proteostasis, Immune Response
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
GO Term: Transcription Regulator Complex -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic, Immune Response
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, APP Metabolism, Tau Homeostasis
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic,DNA Repair,APP Metabolism,Tau Homeostasis,Proteostasis
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, Synapse
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, Proteostasis, Immune Response, Apoptosis, APP Metabolism
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Anaphase-Promoting Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Tau Homeostasis
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
