Running with TEMP=0.5, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Immune Response
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Oxidative Stress, Immune Response, Apoptosis
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Aspartoacylase Activity -> Biodomain: Myelination, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Polyamine Binding -> Biodomain: Tau Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Putrescine Binding -> Biodomain: Proteostasis, Synapse, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Synapse, Endolysosome
GO Term: Cytolysis -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Immune Response
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Rrna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Tau Homeostasis, Synapse
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Proteostasis
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Synapse
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Protein Kinase Regulator Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Lipid Metabolism
GO Term: Extrinsic Component Of Membrane -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Kinase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Protein Kinase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Phosphatase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Protein Phosphatase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Protein Domain Specific Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Autophagy
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis, DNA Repair
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Lipid Metabolism, Cell Cycle
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Synapse, Oxidative Stress
GO Term: Sexual Reproduction -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, APP Metabolism
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Hemoglobin Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Nervous System Development, Developmental Process, Cell Differentiation, Anatomical Structure Development
GO Term: Neural Fold Elevation Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Immune Response
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Lipid Metabolism
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Myelination
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Myelination, Synapse, Immune Response, Proteostasis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Proteostasis
GO Term: Dorsal Spinal Cord Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Structural Stabilization
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Epigenetic
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Motility, Nervous System Development
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Subthalamus Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Lipid Metabolism
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Neurogenesis, Immune Response, Endolysosome
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Tau Homeostasis
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, APP Metabolism, Lipid Metabolism, Apoptosis
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Myelination, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Autophagy, Synapse
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Pons Development -> Biodomain: Structural Stabilization, Myelination, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Central Nervous System Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Endolysosome
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Myelination, Endolysosome
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Endolysosome
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Nervous System Development, Synapse, Developmental Process, Cell Cycle
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Developmental Process, Cell Death
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Structural Stabilization
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Endolysosome
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Rhombomere 6 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, APP Metabolism
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Tau Homeostasis
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Immune Response
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Epigenetic
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Ventricular System Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Abducens Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Tau Homeostasis, Proteostasis
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Autophagy, Immune Response, Endolysosome
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Autonomic Nervous System, Neurogenesis
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Autophagy
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Immune Response
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Nervous System Development, Myelination, Vasculature
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Immune Response, Autophagy, Endolysosome, Proteostasis
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Nervous System Development, Structural Stabilization, Neurogenesis, Synapse, Myelination
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Immune Response
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Lateral Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Immune Response, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cerebellar Granular Layer Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Proteostasis
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Tau Homeostasis, Autophagy
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Developmental Maturation -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, APP Metabolism
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism, Endolysosome
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Striatum Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Caudate Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Oxidative Stress
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
