Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Viral Translational Frameshifting -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Unknown
GO Term: Viral Translational Termination-Reinitiation -> Biodomain: Proteostasis, Immune Response, Autophagy, RNA Spliceosome, Unknown
GO Term: Transport Of Viral Material Towards Nucleus -> Biodomain: Viral Processes, Intracellular Trafficking, Cellular Entry, Host-Pathogen Interaction, Cellular Localization
GO Term: Establishment Of Integrated Proviral Latency -> Biodomain: DNA Repair, Epigenetic, Immune Response, Apoptosis, Proteostasis
GO Term: Viral Penetration Into Host Nucleus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Intracellular Transport Of Virus -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Proteostasis
GO Term: S-Nitrosoglutathione Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Cul4-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Autophagy, Epigenetic
GO Term: Alcohol-Forming Very Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Unknown
GO Term: Phosphatidylinositol-3,5-Bisphosphate Binding -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Gdp-D-Glucose Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Cellobiose Glucosidase Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Unknown
GO Term: Regulation Of Primary Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Caax-Box Protein Maturation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Amp Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Amp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Proteasome Core Complex Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Cellular Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Intracellular Amino Acid Homeostasis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Cysteine Desulfhydrase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Fertilization -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Hydrogen Peroxide Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy, Proteostasis
GO Term: Response To Phenylpropanoid -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Unknown
GO Term: Entry Into Host Cell By A Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Protein K6-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Cardiac Muscle Cell Action Potential Involved In Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cardiac Muscle Cell Contraction -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Vasculature
GO Term: Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Membrane Repolarization -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Membrane Repolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: Sa Node Cell Action Potential -> Biodomain: Cardiac Conduction, Cardiac Muscle, Electrophysiology, Calcium Signaling, Ion Homeostasis
GO Term: Av Node Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Signaling -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gap Junction Channel Activity Involved In Sa Node Cell-Atrial Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Av Node Cell To Bundle Of His Cell Signaling -> Biodomain: Vasculature, Structural Stabilization, Unknown, Unknown, Unknown
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Signaling -> Biodomain: Unknown, Vasculature, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Calcium:Sodium Antiporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Vasculature
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Depolarization -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication By Electrical Coupling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Unknown, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Membrane Depolarization During Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Membrane Depolarization During Purkinje Myocyte Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Membrane Depolarization During Bundle Of His Cell Action Potential -> Biodomain: Unknown, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Repolarization During Bundle Of His Cell Action Potential -> Biodomain: Unknown, Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Membrane Repolarization During Sa Node Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Av Node Cell To Bundle Of His Cell Communication By Electrical Coupling -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication By Electrical Coupling -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Unknown
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Voltage-Gated Calcium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Voltage-Gated Calcium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Voltage-Gated Calcium Channel Activity Involved Sa Node Cell Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Voltage-Gated Sodium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization
GO Term: Voltage-Gated Sodium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Unknown, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Purkinje Myocyte Action Potential -> Biodomain: Synapse, Unknown, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Voltage-Gated Sodium Channel Activity Involved In Sa Node Cell Action Potential -> Biodomain: Vasculature, Unknown, Metal Binding and Homeostasis, Synapse, Structural Stabilization
GO Term: Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Unknown
GO Term: Cell Communication Involved In Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Synapse, Cell Cycle
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Av Node Cell To Bundle Of His Cell Communication -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Unknown
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Av Node Cell-Bundle Of His Cell Adhesion Involved In Cell Communication -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Bundle Of His Cell-Purkinje Myocyte Adhesion Involved In Cell Communication -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Unknown
GO Term: Gap Junction Channel Activity Involved In Cardiac Conduction Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Unknown
GO Term: Gap Junction Channel Activity Involved In Atrial Cardiac Muscle Cell-Av Node Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Unknown, Proteostasis
GO Term: Gap Junction Channel Activity Involved In Av Node Cell-Bundle Of His Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Unknown
GO Term: Gap Junction Channel Activity Involved In Bundle Of His Cell-Purkinje Myocyte Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Gap Junction Channel Activity Involved In Purkinje Myocyte-Ventricular Cardiac Muscle Cell Electrical Coupling -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Protein Binding Involved In Heterotypic Cell-Cell Adhesion -> Biodomain: Vasculature, Immune Response, Synapse, Myelination, Structural Stabilization
GO Term: Cell Adhesive Protein Binding Involved In Av Node Cell-Bundle Of His Cell Communication -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Cell Cycle
GO Term: Cell Adhesive Protein Binding Involved In Bundle Of His Cell-Purkinje Myocyte Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Unknown
GO Term: Voltage-Gated Potassium Channel Activity Involved In Bundle Of His Cell Action Potential Repolarization -> Biodomain: Unknown, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Voltage-Gated Potassium Channel Activity Involved In Atrial Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Unknown
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Repolarization -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Regulation Of Heart Rate By Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of The Force Of Heart Contraction By Cardiac Conduction -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Phospholipase C-Activating Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Angiotensin-Activated Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Endothelin Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: G Protein-Coupled Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: U2Af Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: L-Histidine Transmembrane Export From Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Unknown, Structural Stabilization
GO Term: L-Histidine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Trna (L-Threonylcarbamoyladenosine(37)-C2) Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Amino Acid Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Unknown
GO Term: Caspase Binding -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle, Immune Response
GO Term: Primitive Streak Formation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Unknown
GO Term: Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Unknown
GO Term: Positive Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Autophagy
GO Term: Positive Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Tau Homeostasis
GO Term: Regulation Of Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Thalamus Size -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Positive Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Positive Regulation Of Ribosome Biogenesis -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Homodimerization Activity -> Biodomain: Proteostasis, Apoptosis, Synapse, Structural Stabilization, Epigenetic
GO Term: Relaxation Of Muscle -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Relaxation Of Skeletal Muscle -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Positive Regulation Of Mapkkk Cascade By Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Tau Homeostasis, Endolysosome
GO Term: Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Ubiquitin-Proteasome System, Immune Response
GO Term: Negative Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Immune Response, Proteostasis
GO Term: Metanephric Cap Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Unknown
GO Term: Positive Regulation Of Metanephric Cap Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Signal Transduction, Cell Signaling, Kinase Signaling, Cell Surface Receptor Signaling, Cell Communication
GO Term: Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Cochlea Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Cochlea Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Unknown, Epigenetic
GO Term: Pancreatic Epsilon Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Vasculature, Structural Stabilization
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Copii-Coated Vesicle Cargo Loading -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copii-Coated Vesicle Budding -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Endosome To Lysosome Transport Of Low-Density Lipoprotein Particle -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Vasculature
GO Term: Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Vesicle-Mediated Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Ester Hydrolysis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Protein-Containing Complex Assembly Involved In Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Mesenchyme Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Epithelium Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Mesendoderm Migration -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Unknown
GO Term: Cell Migration Involved In Mesendoderm Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Actin Filament Branching -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Epithelial Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Actin Cytoskeleton Organization By Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Membrane Fission -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Mitochondrial Membrane Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Establishment Of Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane Involved In Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Intracellular Sphingolipid Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Golgi To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
