Running with TEMP=0.9, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Structural Stabilization, Synapse, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Oxidative Stress, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Structural Stabilization
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Proteostasis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Apoptosis, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Myelination, Apoptosis, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Myelination, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis  
Structural Stabilization  
Synapse  
Proteostasis  
Vasculature
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Autophagy, Oxidative Stress
GO Term: Chloride Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Endolysosome
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Oxidative Stress
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Vasculature
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Immune Response, Epigenetic, Cell Cycle
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Proteostasis
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Endolysosome, Cell Cycle, Epigenetic
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Glycosylation, Metabolism, Transporter Activity, Intracellular Trafficking, Carbohydrate Metabolism
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Oxygen Carrier Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Myelination, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Oxidative Stress, Vasculature
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Apoptosis
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Synapse
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Proteostasis, Vasculature
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, APP Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Androgen Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Structural Stabilization, Immune Response
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Immune Response
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Calcium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Calmodulin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Cell Cycle
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Proteostasis, DNA Repair, Epigenetic, Cell Cycle
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Metal Binding and Homeostasis
GO Term: Gtp Binding -> Biodomain: Cell Cycle, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Macrolide Binding -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Fk506 Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Galactose Binding -> Biodomain: Carbohydrate Metabolism, Small Molecule Binding, Monosaccharide Binding, Carbohydrate Binding, Metabolic Processes
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Mannose Binding -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Glycosaminoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Hyaluronic Acid Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Folic Acid Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pheromone Binding -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Immune Response
GO Term: Cellular Component -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization, Endolysosome
GO Term: Extracellular Region -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix, Tissue Integrity, Cell Periphery, Vasculature
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization  
Vasculature  
Extracellular Matrix Organization  
Tissue Scaffold  
Proteostasis
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Cell Adhesion, Tissue Morphogenesis
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Laminin-2 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Extracellular Space -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Nucleus -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Nuclear Envelope -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Inner Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Nuclear Outer Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Annulate Lamellae -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Apoptosis, DNA Repair
GO Term: Nucleoplasm -> Biodomain: DNA Repair, Epigenetic, Transcription, RNA Spliceosome, Cell Cycle
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
