Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Protein Synthesis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Box C/D Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy, Immune Response
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Endolysosome, Synapse, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Embryonic Axis Specification -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Meiotic Joint Molecule Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Photoreactive Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, DNA Replication & Repair, Chromatin Regulation, Cell Cycle, Protein Complex Assembly
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Chromosome, Centromeric Region -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Chromosome, Telomeric Region -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nuclear Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Nucleosome -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Euchromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Condensed Chromosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Synaptonemal Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Condensin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Lateral Element -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Central Element -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Synapse, Proteostasis
GO Term: Transverse Filament -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Synapse
GO Term: Sex Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: X Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Y Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Origin Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Gins Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Swr1 Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Endolysosome
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Epigenetic
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Signal Transduction, Kinase Activity, Phosphorylation, Inositol Phosphate Metabolism, Lipid Metabolism
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Cell Cycle
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Gamma-Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: P-Body -> Biodomain: Proteostasis, Autophagy, Endolysosome, Epigenetic, Synapse
GO Term: Garp Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Inner Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Outer Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Apoptosis
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Immune Response
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Immune Response
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, DNA Repair
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Rna Polymerase I Core Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulatory Region Rna Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Transcription, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, APP Metabolism
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna-Templated Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Cell Cycle
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Protein Synthesis, Transcription Regulation, RNA Processing, Epigenetic, DNA Repair
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Transcription Coregulator Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Transcription Corepressor Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Transcription Coactivator Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Dna-Binding Transcription Repressor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Dna-Binding Transcription Activator Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Sam Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Pam Complex, Tim23 Associated Import Motor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Guanine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Skeletal System Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Cartilage Condensation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Acetylcholine Catabolic Process In Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Neurotransmission, Metabolism, Enzymatic Activity
GO Term: Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Rna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Dihydronicotinamide Riboside Quinone Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Selenocysteine Incorporation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Opioid Peptide Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: N-Acetylglucosamine 6-O-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Voltage-Gated Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Peptide Amidation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Outer Dense Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Pseudouridine Synthesis -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Structural Stabilization
GO Term: Retinoid Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Microfibril -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Connective Tissue, Cell Adhesion and Migration
GO Term: Lipopolysaccharide Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-21 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cornified Envelope -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Radial Spoke -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Radial Spoke Head -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Autophagy
