Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Response To Transition Metal Nanoparticle -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Response To Gold Nanoparticle -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii C-Terminal Domain Phosphoserine Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor-Ligand Complex -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Anti-Mullerian Hormone Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Preribosome Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Rna 5'-Gamma-Phosphate Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Rna Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Renal Amino Acid Absorption -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Bub1-Bub3 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Cellular Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Atg1/Ulk1 Kinase Complex -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Collagen Type Xxvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix Organization, Tissue Morphogenesis
GO Term: Ire1 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Gap Junction-Mediated Intercellular Transport -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Glucose Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Transporter Complex -> Biodomain: Endolysosome, Autophagy, Vasculature, Immune Response, Lipid Metabolism
GO Term: Terminal Web -> Biodomain: Structural Stabilization, Unknown, Unknown, Unknown, Unknown
GO Term: Butanol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome, Synapse
GO Term: K48-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Ubiquitin-Specific Protease Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Endolysosome
GO Term: Hyaloid Vascular Plexus Regression -> Biodomain: Vasculature, Apoptosis, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Mitotic Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein K33-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Dna Repair Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 3M Complex -> Biodomain: Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Mitochondrial Ribosomal Large Subunit Rrna Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Embryonic Lung Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Embryonic Liver Development -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Embryonic Brain Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Nad+-Protein Mono-Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Antigen Binding -> Biodomain: Immune Response, Proteostasis, Unknown, Synapse, Tau Homeostasis
GO Term: Cgrp Receptor Complex -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Calcitonin Gene-Related Peptide Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Calcitonin Gene-Related Peptide Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Adrenomedullin Binding -> Biodomain: Vasculature, Apoptosis, Proteostasis, Immune Response, Synapse
GO Term: Adrenomedullin Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Replication-Born Double-Strand Break Repair Via Sister Chromatid Exchange -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Brain-Derived Neurotrophic Factor Stimulus -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glyoxalase (Glycolic Acid-Forming) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rzz Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Unknown
GO Term: Ryanodine Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Mitotic Recombination-Dependent Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Stereocilia Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Unknown, Autophagy
GO Term: Mirna Transport -> Biodomain: Synapse, Immune Response, Epigenetic, Myelination, Autophagy
GO Term: Peroxisomal Importomer Complex -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Matrix Protein Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Lipid Metabolism
GO Term: Prirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Upper Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Unknown
GO Term: U6 2'-O-Snrna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Map Kinase Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Unknown
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Nitrosative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Peptidyl-Threonine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: F-Box Domain Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: U1 Snrnp Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Unknown
GO Term: U2 Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response, Epigenetic
GO Term: Exon-Exon Junction Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Linear Polyubiquitin Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Parkin-Fbxw7-Cul1 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: L-Type Voltage-Gated Calcium Channel Complex -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Mitochondrion-Endoplasmic Reticulum Membrane Tethering -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Transferrin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Leptin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Endolysosome, Synapse
GO Term: Omegasome -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Protein Autosumoylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Mtrec Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Response To Ultrasound -> Biodomain: Oxidative Stress, Structural Stabilization, Apoptosis, Proteostasis, Immune Response
GO Term: Mrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Exon-Exon Junction Subcomplex Mago-Y14 -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Dense Core Granule Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vesicle Trafficking
GO Term: Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Mitotic Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Ckm Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Unknown, DNA Repair
GO Term: Cry-Per Complex -> Biodomain: Epigenetic, Unknown, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Clock-Bmal Transcription Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Single-Stranded 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Pyrimidine Nucleotide Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Bone Regeneration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Glycosylphosphatidylinositol-Mannosyltransferase I Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: Phospholipid-Translocating Atpase Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Dom34-Hbs1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Neuron Projection Maintenance -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Myelination
GO Term: Fructose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Unknown
GO Term: Mitochondrial Manganese Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial S-Adenosyl-L-Methionine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Mitochondrial Atp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Alpha-Ketoglutarate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Hsp90-Cdc37 Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Epigenetic, Autophagy
GO Term: I(Kach) Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Proteostasis, Vasculature, Structural Stabilization, Immune Response
GO Term: Udp-N-Acetylglucosamine Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism
GO Term: Gdp-Mannose Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Tert-Rmrp Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mitochondrial L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Perinuclear Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Phospholipase D Activator Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Cardiac Troponin Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Unknown
GO Term: Atf4-Creb1 Transcription Factor Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Atf1-Atf4 Transcription Factor Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Unknown
GO Term: Protein K69-Linked Ufmylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Mast Cell Secretagogue Receptor Activity -> Biodomain: Immune Response, Inflammation, Endolysosome, Proteostasis, Autophagy
GO Term: Aip1-Ire1 Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: 3' Overhang Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dark Adaptation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ire1-Traf2-Ask1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Glutamate-Cysteine Ligase Regulator Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cytoplasmic Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Chop-Atf4 Complex -> Biodomain: Epigenetic, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Anpr-A Receptor Complex -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Unknown
GO Term: Chop-Atf3 Complex -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Mitochondrial Outer Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mitochondrial Inner Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Phospholamban Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Ire1-Rack1-Pp2A Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Proximal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Vasculature, Epigenetic
GO Term: Response To Iron Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: C/Ebp Complex -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Autophagy
GO Term: Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response, Autophagy
GO Term: Calprotectin Complex -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: S100A8 Complex -> Biodomain: Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: S100A9 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Nkx-2.5 Complex -> Biodomain: Epigenetic, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Anxa2-P11 Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Pcsk9-Ldlr Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Pcsk9-Anxa2 Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Golgi Cis Cisterna Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Medial Cisterna Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi Trans Cisterna Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Response To Melanocyte-Stimulating Hormone -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Csf1-Csf1R Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Dna Double-Strand Break Attachment To Nuclear Envelope -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ush2 Complex -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Protein Depalmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Palmitoleoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Palmitoleyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Nucleolar Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Vasculature, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Mad1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Unknown
GO Term: Conditioned Place Preference -> Biodomain: Learning and Memory, Addiction, Neurobiology, Behavioral Neuroscience, Neuropharmacology
GO Term: Presynaptic Active Zone Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Beta-Catenin-Icat Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Hfe-Transferrin Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Survivin Complex -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Mrna Cds Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Axonemal Central Apparatus -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Axonemal Central Pair Projection -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Dapk1-Calmodulin Complex -> Biodomain: Apoptosis, Autophagy, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Cytoplasmic Periphery Of The Nuclear Pore Complex -> Biodomain: Structural Stabilization, RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis
GO Term: Galectin Complex -> Biodomain: Immune Response, Apoptosis, Vasculature, Structural Stabilization, Autophagy
GO Term: Lsm1-7-Pat1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Mitotic Spindle Assembly Checkpoint Mad1-Mad2 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Apoptosis
GO Term: Vcp-Nsfl1C Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Titin-Telethonin Complex -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Cell Cycle, Autophagy
GO Term: Response To Manganese-Induced Endoplasmic Reticulum Stress -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Pseudouridine 5'-Phosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Mitochondrial Metabolism, Proteostasis
GO Term: Granulosa Cell Proliferation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Microvesicle -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Protein Sialylation -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Earp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Cellular Detoxification -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Microtubule End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Mitotic Spindle Microtubule Depolymerization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Ubiquitin-Like Ligase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Ubiquitin Ligase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Unknown
GO Term: Mitotic Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Osmolarity-Sensing Monoatomic Cation Channel Activity -> Biodomain: Ion Homeostasis, Cell Signaling, Membrane Transport, Electrolyte Balance, Cell Volume Regulation
GO Term: Growth Cone Lamellipodium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Arrestin Family Protein Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Myofibroblast Contraction -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Proximal Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Small Intestine Smooth Muscle Contraction -> Biodomain: Muscle Function, Gastrointestinal System, Calcium Signaling, Neuronal Signaling, Vasculature
GO Term: Clathrin-Dependent Extracellular Exosome Endocytosis -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Response To Angiotensin -> Biodomain: Vasculature, Signaling Pathways, Endocrine, Renal Processes, Cardiovascular System
GO Term: Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Glycoprotein Ib-Ix-V Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Cytoplasmic Side Of Dendritic Spine Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Tyrosine Kinase Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Response To Water-Immersion Restraint Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Dsdna -> Biodomain: Immune Response, DNA Repair, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Hh Target Transcription Factor Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Gli-Sufu Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Dorsal Root Ganglion Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Cellular Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Basolateral Part Of Cell -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism, Unknown
GO Term: Ligand-Gated Ion Channel Signaling Pathway -> Biodomain: Synapse, Apoptosis, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Endoplasmic Reticulum Tubular Network Membrane Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mwp Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Unknown
GO Term: Growth Cone Filopodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
