Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Embryonic Heart Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Neural Crest Cell Migration Involved In Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Outflow Tract Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Membranous Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Muscular Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Animal Organ Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Apoptosis
GO Term: Endocardium Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Endocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cardiac Conduction System Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Atrioventricular Node Development -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle
GO Term: Sinoatrial Node Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Purkinje Myocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Mitochondrial Metabolism
GO Term: Bundle Of His Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Atrioventricular Bundle Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Vasculature
GO Term: Purkinje Myocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coronary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Heart Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Atrioventricular Valve Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Sinoatrial Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Mitral Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Tricuspid Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Aortic Valve Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Pulmonary Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Heart Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Aortic Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Atrioventricular Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Coronary Sinus Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Mitral Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Pulmonary Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Sinoatrial Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Tricuspid Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Proteostasis, Cell Cycle
GO Term: Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aortic Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Atrioventricular Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitral Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Pulmonary Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tricuspid Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Endocardial Cushion Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiac Chamber Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Cardiac Ventricle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Atrium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Cardiac Atrium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Cardiac Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Cardiac Right Atrium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Cardiac Left Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Cardiac Right Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiac Left Ventricle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Vasculature
GO Term: Cardiac Right Ventricle Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Left Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Right Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Ventricular Trabecula Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Right Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Atrial Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Vasculature
GO Term: Ventricular Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Sinus Venosus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiac Chamber Ballooning -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cardiac Muscle Tissue Growth Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Apoptosis, Mitochondrial Metabolism
GO Term: Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Regulation Of Membrane Depolarization -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Cardioblast Anterior-Lateral Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Apoptosis
GO Term: Cardioblast Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Autophagy
GO Term: Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Notch Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cell Migration Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Endocardial Cushion Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle
GO Term: Apoptotic Process Involved In Endocardial Cushion Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Cardiac Septum Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Ventricular Septum Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Atrial Septum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Septum Primum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Septum Secundum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Atrial Septum Primum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Atrial Septum Secundum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Atrial Ventricular Junction Remodeling -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Type B Pancreatic Cell Differentiation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Vasculature, Proteostasis, Epigenetic
GO Term: Pancreatic A Cell Differentiation -> Biodomain: Endocrine System, Developmental Biology, Cell Differentiation, Hormone Signaling, Metabolic Processes
GO Term: Pancreatic D Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Pancreatic A Cell Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Apoptosis, Autophagy
GO Term: Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Pancreatic A Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Type B Pancreatic Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Pancreatic Pp Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Extracellular Matrix, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Amino Acid Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Keratinocyte Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Corneocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Corneocyte Desquamation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Developmental Biology, Structural Stabilization, Cell Cycle, Organ Morphogenesis, Cellular Processes
GO Term: Cilium Movement -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proepicardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Proepicardium Cell Migration Involved In Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Autophagy, Apoptosis, Immune Response
GO Term: Pulmonary Myocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cardiac Function, Circulatory System Development, Muscle Development
GO Term: Epithelial Cilium Movement Involved In Extracellular Fluid Movement -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Cilium Movement -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Regulation Of Cilium Beat Frequency -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Noradrenergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Noradrenergic Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Noradrenergic Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Brainstem Development -> Biodomain: Myelination, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Lamellipodium Assembly Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Establishment Of Cell Polarity Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Cell-Matrix Adhesion Involved In Ameboidal Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Apoptosis
GO Term: Sphingosine-1-Phosphate Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Apical Constriction -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Vasculature, Cell Cycle
GO Term: Regulation Of Copii Vesicle Coating -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Optic Vesicle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Mitochondrial Metabolism, Cell Cycle
GO Term: Retinal Pigment Epithelium Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Epigenetic
GO Term: Optic Cup Formation Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Optic Cup Structural Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Synapse
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity Involved In Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Endochondral Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Growth Plate Cartilage Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Growth Plate Cartilage Axis Specification -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Growth -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Growth Plate Cartilage Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Vasculature
GO Term: Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Molecular Function -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, DNA Repair
GO Term: Nucleic Acid Binding -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Minor Groove Of Adenine-Thymine-Rich Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Bent Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Damaged Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Dna Replication Origin Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Dna Clamp Loader Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Double-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Double-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Left-Handed Z-Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Satellite Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Nuclear Steroid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Transcription Elongation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, RNA Spliceosome
GO Term: Transcription Coregulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Coactivator Activity -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Transcription Corepressor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Telomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis
GO Term: Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Helicase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response
GO Term: Double-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Autophagy, Proteostasis
GO Term: Double-Stranded Rna Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Single-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Autophagy
GO Term: Mrna Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Mrna 3'-Utr Binding -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Structural Constituent Of Ribosome -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle
GO Term: Translation Initiation Factor Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Translation Elongation Factor Activity -> Biodomain: Protein Synthesis, Translation Machinery, Proteostasis, Ribosome, Autophagy
GO Term: Translation Release Factor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Synapse
GO Term: Peptidyl-Prolyl Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Immune Response, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Disulfide Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Microtubule Motor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Actin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Actin Monomer Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Actin Monomer Sequestering Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Lysozyme Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Vasculature, Immune Response
GO Term: Antigen Binding -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Apoptosis
GO Term: Catalytic Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Immune Response
GO Term: Alpha-N-Acetylneuraminate Alpha-2,8-Sialyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Proteostasis, Immune Response
GO Term: Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Structural Stabilization
GO Term: Beta-1,4-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Glycoprotein, N-Glycan Biosynthesis, Glycan Metabolism, Cellular Processing
GO Term: Beta-N-Acetylglucosaminylglycopeptide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Immune Response, Autophagy
GO Term: Beta-Carotene 15,15'-Dioxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Beta-Galactoside Alpha-2,6-Sialyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome
