Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Imidazolonepropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Intramolecular Hydroxytransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Hyaluronan Synthase Activity -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Synapse
GO Term: Glucuronosyl-N-Acetylglucosaminyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, APP Metabolism
GO Term: N-Acetylglucosaminyl-Proteoglycan 4-Beta-Glucuronosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: N-Acetylgalactosaminyl-Proteoglycan 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Lactosylceramide 4-Alpha-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Glycosphingolipid Metabolism, Glycosylation, Membrane Trafficking, Cell Membrane Biogenesis
GO Term: Acyloxyacyl Hydrolase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Arachidonate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Aspartate-Trna(Asn) Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Glutamate-Trna(Gln) Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, RNA Spliceosome
GO Term: Glutaminyl-Trna Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Protein-Glutamine Glutaminase Activity -> Biodomain: Proteostasis, Epigenetic, Immune Response, Autophagy, Apoptosis
GO Term: 1,5-Anhydro-D-Fructose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Gdp-L-Fucose Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: 4-Hydroxymandelate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Quinine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Methylarsonate Reductase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Delta14-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Delta24-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Proteostasis
GO Term: Propionyl-Coa C2-Trimethyltridecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Acetyl-Coa C-Myristoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: 5-Oxo-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Proteostasis
GO Term: 5-Hydroxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: 5(S)-Hydroxyperoxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Autophagy
GO Term: Testosterone 6-Beta-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Chondroitin Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Dermatan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Chondroitin Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Myelination, Vasculature
GO Term: Dermatan Sulfate Proteoglycan Metabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Carbohydrate Metabolism, Protein Metabolism, Sulfur Compound Metabolic Processes, Extracellular Matrix Organization
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Rna Transport -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Synapse, Epigenetic
GO Term: N-Acetylgalactosamine 4-Sulfate 6-O-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Flavin Adenine Dinucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, DNA Repair, Proteostasis
GO Term: Regulation Of Homocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Homocysteine Metabolic Process -> Biodomain: Amino Acid Metabolism, Sulfur Compound Metabolism, One-Carbon Metabolism, Methionine Cycle, Cellular Metabolism
GO Term: Positive Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Apoptosis
GO Term: Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Autophagy
GO Term: Nuclear Androgen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Af-2 Domain Binding -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Af-1 Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, APP Metabolism, Cell Cycle
GO Term: Regulation Of Mrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Synapse
GO Term: Negative Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Regulation of Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Dna Binding Domain Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Lbd Domain Binding -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Galactose 3-O-Sulfotransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature
GO Term: Proteoglycan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Lipid Metabolism, Proteostasis
GO Term: Ww Domain Binding -> Biodomain: Proteostasis, Signal Transduction, Structural Stabilization, Epigenetic, Autophagy
GO Term: Card Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Protein Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Protein Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Synapse, Vasculature
GO Term: Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Vasculature, Epigenetic
GO Term: Positive Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Synapse, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Negative Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Synapse, Apoptosis, Vasculature
GO Term: Rs Domain Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Synapse
GO Term: Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, APP Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Neurogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neurogenesis -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Epigenetic, Tau Homeostasis
GO Term: Positive Regulation Of Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Vasculature
GO Term: Regulation Of Axonogenesis -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Rna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Cocaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Advanced Glycation End-Product Receptor Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Rage Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Detoxification Of Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Developmental Process -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Synapse
GO Term: Regulation Of Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Synapse, Cell Cycle
GO Term: Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Synapse Structure Or Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Synaptic Transmission -> Biodomain: Synapse, Cell Signaling, Neuronal Signaling, Neuronal Activity, Neurotransmission
GO Term: Regulation Of Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gaba Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphoserine Residue Binding -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Phosphothreonine Residue Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Cell Cycle
GO Term: Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Stabilization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Peptide Antigen Stabilization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Defense Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Defense Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Defense Response To Fungus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyruvate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cell Adhesion Molecule Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Extracellular Matrix Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Cell Cycle
GO Term: Progesterone Receptor Signaling Pathway -> Biodomain: Steroid Hormone Signaling, Transcription Regulation, Cell Growth and Development, Metabolism, Gene Expression
GO Term: Regulation Of Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Negative Regulation Of Calcium-Mediated Signaling -> Biodomain: Synapse, Apoptosis, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Calcium-Mediated Signaling -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Signal Transduction, Cell Activation, Cell Differentiation
GO Term: Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of B Cell Activation -> Biodomain: Immune Response, Immune Regulation, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of B Cell Activation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: White Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nervous System Process -> Biodomain: Synapse, Myelination, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Body Fluid Levels -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Musculoskeletal Movement -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Voluntary Musculoskeletal Movement -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Musculoskeletal Movement, Spinal Reflex Action -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Neuromuscular Process Controlling Posture -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Neuromuscular Process Controlling Balance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cognition -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Multicellular Organismal-Level Water Homeostasis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Intestinal Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature
GO Term: Sensory Processing -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Determination Of Affect -> Biodomain: Synapse, Epigenetic, Myelination, Proteostasis, Lipid Metabolism
GO Term: Cobalt Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Leukocyte Adhesive Activation -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Diapedesis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Neuromuscular Process -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Detection Of Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Detection Of Light Stimulus Involved In Visual Perception -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Sensory Perception Of Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Cell Cycle, Myelination, Structural Stabilization
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Sensory System, Neurotransmission, Signal Transduction, Ion Transport
GO Term: Sensory Perception Of Salty Taste -> Biodomain: Synapse, Neuronal Signaling, Sensory Function, Neuronal Function, Metal Binding and Homeostasis
GO Term: Sensory Perception Of Sour Taste -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Sensory Perception Of Umami Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Positive Chemotaxis -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemotaxis -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Autophagy
GO Term: Negative Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Induction Of Negative Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Induction Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Pigment Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Pigment Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sensory Perception Of Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Sensory Perception Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Sensory Perception Of Mechanical Stimulus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Thermoception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
