Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Glutaminyl-Peptide Cyclotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Nuclear Body -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Pml Body -> Biodomain: Immune Response, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Nuclear Speck -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Growth Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Ch-Oh Group Of Donors -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Malate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: 4-Oxoproline Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hydroxypyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Heme Protein As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Quinone Or Similar Compound As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Other Nitrogenous Compounds As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Nad(P) As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Peroxide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 2-Oxoglutarate-Dependent Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Nad(P)H As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Flavonoid 3'-Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Pteridine As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Ascorbate As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Metal Ions -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Ch Or Ch2 Groups, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Transferase Activity, Transferring One-Carbon Groups -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Carboxyl- Or Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Transketolase Or Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aminoacyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Vasculature
GO Term: Hexosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Immune Response, Structural Stabilization
GO Term: Pentosyltransferase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Transferase Activity, Transferring Alkyl Or Aryl (Other Than Methyl) Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Myelination
GO Term: Spermine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Transferase Activity, Transferring Phosphorus-Containing Groups -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Phosphotransferase Activity, Alcohol Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Phosphotransferase Activity, Phosphate Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Nucleotidyltransferase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphotransferase Activity, For Other Substituted Phosphate Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: 3-Mercaptopyruvate Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature, Epigenetic
GO Term: Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Hydrolase Activity, Acting On Ester Bonds -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Thiolester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Triphosphoric Monoester Hydrolase Activity -> Biodomain: Immune Response, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Acting On Glycosyl Bonds -> Biodomain: Endolysosome, DNA Repair, Autophagy, Immune Response, Lipid Metabolism
GO Term: Hydrolase Activity, Hydrolyzing N-Glycosyl Compounds -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ether Hydrolase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Cysteine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amidines -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Acting On Acid Anhydrides, In Phosphorus-Containing Anhydrides -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Epigenetic, RNA Spliceosome
GO Term: Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Carbon-Carbon Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Carboxy-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Aldehyde-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Oxo-Acid-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hydro-Lyase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Carbon-Sulfur Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 1-Aminocyclopropane-1-Carboxylate Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Phosphorus-Oxygen Lyase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Racemase And Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Intramolecular Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intramolecular Oxidoreductase Activity, Transposing C=C Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Intramolecular Transferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Intramolecular Phosphotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, DNA Repair
GO Term: Ligase Activity, Forming Carbon-Sulfur Bonds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Acid-Thiol Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ligase Activity, Forming Carbon-Nitrogen Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Acid-Amino Acid Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Apoptosis
GO Term: Carbon-Nitrogen Ligase Activity, With Glutamine As Amido-N-Donor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Ligase Activity, Forming Carbon-Carbon Bonds -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ligase Activity, Forming Phosphoric Ester Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Atp Hydrolysis Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Dna Endonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna Endonuclease Activity, Producing 3'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Rna Endonuclease Activity Producing 5'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Rna Endonuclease Activity Producing 3'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Rna Exonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Acetylcholine Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Follicle-Stimulating Hormone Activity -> Biodomain: Hormone Activity, Reproductive System, Endocrine System, Cell Signaling, Growth Factor Activity
GO Term: Follicle-Stimulating Hormone Complex -> Biodomain: Hormone Activity, Reproductive System, Signal Transduction, Cell Cycle, Glycoprotein Metabolism
GO Term: Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Oxidative Stress
GO Term: Pyroglutamyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Nuclear Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Protein Desumoylation -> Biodomain: Proteostasis, Ubiquitination, Epigenetic, Protein Degradation, Protein Folding and Stabilization
GO Term: Desumoylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Extracellularly Glycine-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Extracellularly Glycine-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Glycine-Gated Chloride Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Galactoside Binding -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Short-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Kinesin I Complex -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Kinesin Ii Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Natriuretic Peptide Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Insulin-Like Growth Factor Binding Protein Complex -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome
GO Term: Alpha-2 Macroglobulin Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Vasculature
GO Term: Flavin-Dependent Sulfhydryl Oxidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Thiol Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Poly(A)+ Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Lipoate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Alpha-Sialidase Activity -> Biodomain: Glycobiology, Lysosomal Function, Metabolism, Cell Surface Interactions, Protein Modification
GO Term: Antibiotic Metabolic Process -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Activin Receptor Activity -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Reproductive Biology, Immune Response, Developmental Processes
GO Term: Cytochrome Complex Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: 3'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Map Kinase Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis, Immune Response
GO Term: Myosin Phosphatase Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Synapse
GO Term: Myosin Phosphatase Regulator Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Myosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Myosin I Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Tbp-Class Protein Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: N-Acylsphingosine Amidohydrolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Glycosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Autophagy, Proteostasis
GO Term: Corticotropin-Releasing Hormone Activity -> Biodomain: Immune Response, Vasculature, Autophagy, Epigenetic, Oxidative Stress
GO Term: Peptide Hormone Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Lipid Metabolism
GO Term: Transcription Repressor Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Negative Cofactor 2 Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Structural Constituent Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: 6-Phosphogluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Serine Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: 3-Galactosyl-N-Acetylglucosaminide 4-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: S-Methyl-5-Thioadenosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Fatty Acid Amide Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Single-Strand Selective Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U6 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Intracellular Cyclic Nucleotide Activated Cation Channel Complex -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Syntaxin-1 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Purine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Structural Stabilization
