Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Golgi Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Golgi Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cytoplasmic Side Of Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Otolith Morphogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Otolith Formation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Unknown, Autophagy
GO Term: Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Heterotetrameric Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Rab Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Regulation Of Rab Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Ral Protein Signal Transduction -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Ral Protein Signal Transduction -> Biodomain: Signal Transduction, GTPase, Kinase/Phosphatase, Cell Cycle, Cell Growth
GO Term: Rap Protein Signal Transduction -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Rap Protein Signal Transduction -> Biodomain: Synapse, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Immune Response
GO Term: Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Detection Of Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Detection Of Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Bacterial Lipoprotein -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Response To Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Vasculature
GO Term: Detection Of Lipopolysaccharide -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Muramyl Dipeptide -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Detection Of Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Muramyl Dipeptide Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Developmental Process -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Synapse, Vasculature
GO Term: Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Maintenance Of Protein Location In Cell -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Endosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Somite Rostral/Caudal Axis Specification -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Response To Retinoic Acid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Autophagy
GO Term: Microvillus Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Microvillus Length -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Regulation Of Cellular Component Size -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Cell Projection Size -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Mitochondrial Metabolism
GO Term: Cortical Endoplasmic Reticulum -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Sulfiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Curi Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Ribonucleoside Binding -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair
GO Term: Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Purine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Pyrimidine Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Pyrimidine Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, DNA Repair, Proteostasis
GO Term: Adenyl Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Adenyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Guanyl Ribonucleotide Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Datp Binding -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Dgtp Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Response To Progesterone -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Response To Vitamin K -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 5'-3' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Golgi Cisterna Membrane -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Er-Dependent Peroxisome Organization -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Growth Cone Membrane -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Multivesicular Body Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Ruffle Membrane -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Trans-Golgi Network Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Neuron Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendrite Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Dendritic Spine Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Insulin-Responsive Compartment -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, APP Metabolism
GO Term: Protein Transport Into Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Unknown
GO Term: B Cell Receptor Transport Into Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis, Unknown
GO Term: Chemokine Receptor Transport Out Of Membrane Raft -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Regulation Of Chemokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Negative Regulation Of Chemokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Hepatocyte Growth Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Autophagy, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Regulation of Immune Processes
GO Term: Negative Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-11 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Communication, Signal Transduction
GO Term: Negative Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Interleukin-27 Production -> Biodomain: Immune Response, Inflammatory Response, Cytokine Signaling, Immunomodulation, Cell Signaling
GO Term: Negative Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Interleukin-7 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Chemokine Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Fractalkine Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Unknown, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Interleukin-15 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-22 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Epigenetic, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Epigenetic, Autophagy
GO Term: Positive Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Positive Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Endolysosome
GO Term: Positive Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Lymphotoxin A Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Copper-Dependent Protein Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Piccolo Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Bile Acid Secretion -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Super Elongation Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, DNA Repair, Proteostasis
GO Term: Monocarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Saturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Unsaturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Ribosome Disassembly -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Lead Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Creb Transcription Factor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Gtpase Activating Protein Binding -> Biodomain: Cell Cycle, Synapse, Immune Response, Vasculature, Autophagy
GO Term: Heterotrimeric G-Protein Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Apoptosis
GO Term: Uropod Organization -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Unknown
GO Term: Smn Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Swi5-Sfr1 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Low-Density Lipoprotein Receptor Particle Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, APP Metabolism
GO Term: Receptor Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dna Ligase Iv Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Lacrimal Gland Development -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Neuronal Cell Body Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Sterol Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Epinephrine Secretion -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Epinephrine Secretion -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Synapse, Unknown
GO Term: Tumor Necrosis Factor Receptor Superfamily Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Autophagy, Proteostasis, Cell Cycle, Apoptosis
