Running with TEMP=0.5, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Nua4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Protein Mannosylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein O-Linked Mannosylation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Endocrine System Development -> Biodomain: Endocrine, Hormone Signaling, Developmental Biology, Cell Differentiation, Organogenesis
GO Term: Exocrine System Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Ethanol Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Mirna-Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Immune Response
GO Term: Mirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Pre-Mirna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Segmentation -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Central Nervous System Segmentation -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Brain Segmentation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Tube Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 2-Kinase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Tau Homeostasis
GO Term: Negative Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Cell Cycle
GO Term: Hair Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Toll-Like Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Peptidyl-Tyrosine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Long-Chain Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Inosine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hypoxanthine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Acetyl-Coa Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Heme Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Autophagy
GO Term: Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Toll-Like Receptor 2-Toll-Like Receptor 6 Protein Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Negative Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Histone Locus Body -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Thymine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Selenocysteine Insertion Sequence Binding -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Synapse
GO Term: Chondroitin Sulfate Proteoglycan Binding -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Chondroitin Sulfate Binding -> Biodomain: Structural Stabilization, Carbohydrate Metabolism, Extracellular Matrix Organization, Cell Adhesion, Developmental Biology
GO Term: Zymogen Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Transepithelial Water Transport -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Carbon Dioxide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Carbon Dioxide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Atp-Gated Ion Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sterol Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Roundabout Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 9 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Helper T Cell Enhancement Of Adaptive Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Histone H3Y41 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3T11 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H3T6 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Autocrine Signaling -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Extracellular Matrix-Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Gluconate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cyclic-Di-Gmp Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Cell Migration Involved In Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Dipeptide Transmembrane Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nickel Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Borate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Response To Interferon-Alpha -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Response To Interferon-Beta -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Interferon-Alpha -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Cellular Response To Interferon-Beta -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Vesicle Cargo Loading -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Vitamin Transmembrane Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Determination Of Pancreatic Left/Right Asymmetry -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Vasculature
GO Term: Positive Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Choriogonadotropin Hormone Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Lipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Chylomicron Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Gastric Emptying -> Biodomain: Vasculature, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Adenine/Guanine Mispair Binding -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Snare Complex Disassembly -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Camp Response Element Binding -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Autophagy, Apoptosis
GO Term: Carnosine Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Synapse
GO Term: Carnosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Mh2 Domain Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Mh1 Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Metanephric Part Of Ureteric Bud Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Oxidative Rna Demethylation -> Biodomain: Oxidative Stress, RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidative Rna Demethylase Activity -> Biodomain: Oxidative Stress, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Broad Specificity Oxidative Dna Demethylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Pr-Dub Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Protein K29-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Monoubiquitinated Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Protein K29-Linked Deubiquitination -> Biodomain: Proteostasis, Epigenetic, Autophagy, Endolysosome, Apoptosis
GO Term: Proline Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Nf-Kappab P50/P65 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Retrograde Transport, Plasma Membrane To Golgi -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Nadh Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Carbohydrate Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: 8-Oxo-7,8-Dihydrodeoxyguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Negative Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Determination Of Left/Right Asymmetry In Nervous System -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Myelination
GO Term: Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Kidney Size -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Epigenetic
GO Term: Regulation Of Pronephros Size -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Regulation Of Metanephros Size -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Autophagy
GO Term: Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Synapse, Apoptosis, Autophagy
GO Term: N-Terminal Peptidyl-Serine Dimethylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, Apoptosis
GO Term: N-Terminal Peptidyl-Serine Trimethylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Histone H4K20 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Azurophil Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Azurophil Granule Lumen -> Biodomain: Endolysosome, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Specific Granule Membrane -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Specific Granule Lumen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Vasculature
GO Term: Sequestering Of Extracellular Ligand From Receptor -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Sequestering Of Bmp In Extracellular Matrix -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Sequestering Of Tgfbeta In Extracellular Matrix -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Signaling Adaptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Autophagy
GO Term: Establishment Of Protein Localization To Extracellular Region -> Biodomain: Proteostasis, APP Metabolism, Synapse, Immune Response, Vasculature
GO Term: Ganglioside Binding -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Myelination
GO Term: Methylthiotransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Trna-2-Methylthio-N(6)-Dimethylallyladenosine(37) Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Trna (N(6)-L-Threonylcarbamoyladenosine(37)-C(2))-Methylthiotransferase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Trna Methylthiolation -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Vasculature, Mitochondrial Metabolism, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Hemopoiesis -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Peptidyl-Cysteine S-Nitrosylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Peptidyl-Cysteine S-Trans-Nitrosylation -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Protein Deglutamylation -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: C-Terminal Protein Deglutamylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Side Chain Deglutamylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein Branching Point Deglutamylation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Ap-2 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Rna Stem-Loop Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Clathrin Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Stress Granule Disassembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Er To Golgi Ceramide Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Intrahepatic Bile Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Renal D-Glucose Absorption -> Biodomain: Transporter Activity, Metabolism, Membrane Transport, Kidney Function, Nutrient Uptake
GO Term: Ceramide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Cd40 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Mitochondrial Prohibitin Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Maintenance Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Response To Stilbenoid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Purine Ribonucleoside Triphosphate Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Exploration Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Mitochondrial Metabolism
GO Term: Locomotory Exploration Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Histone H3R17 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis
GO Term: L-Dopa Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphoanandamide Dephosphorylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Enteric Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Endosome To Melanosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Ap-1 Adaptor Complex Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Ap-3 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Clathrin-Coated Vesicle Cargo Loading, Ap-3-Mediated -> Biodomain: Endolysosome, Synapse, Autophagy, APP Metabolism, Myelination
GO Term: Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Erf1 Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Mon1-Ccz1 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Toll-Like Receptor 4 Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Toll-Like Receptor 2 Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Tirap-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Trif-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Trif-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Tram-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Oligopeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Oligopeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Tricarboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Posterior Lateral Line Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Memory T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Helper T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Helper T Cell Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Sperm Fibrous Sheath -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Chemokine (C-C Motif) Ligand 5 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Macrophage Migration Inhibitory Factor Receptor Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Nos2-Cd74 Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mitochondrial Protein Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitophagy By Internal Vacuole Formation -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Lipid Metabolism
