Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Calcium Homeostasis, Synapse, Ion Homeostasis, Oxidative Stress, Apoptosis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Endolysosome, Lipid Metabolism
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Proline:Proton Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Amino Acid Metabolism, Ion Homeostasis, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Synapse
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Amino Acid Metabolism
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy, Endolysosome
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, APP Metabolism
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress
GO Term: Oxygen Carrier Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Synapse, Proteostasis, Immune Response
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Autophagy
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis, Endolysosome
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Vasculature, Immune Response
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Apoptosis
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Synapse, Immune Response
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Androgen Binding -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Vitamin D Binding -> Biodomain: Immune Response, Proteostasis, Tau Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Synapse, Cell Cycle
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Proteostasis
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Calcium Ion Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse, Proteostasis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Protein Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Immune Response
GO Term: Calmodulin Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Immune Response
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Tau Homeostasis, Epigenetic
GO Term: Profilin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Apoptosis
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Gtp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: Macrolide Binding -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fk506 Binding -> Biodomain: Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Galactose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: D-Mannose Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Glycosaminoglycan Binding -> Biodomain: APP Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Hyaluronic Acid Binding -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Folic Acid Binding -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Autophagy, Synapse, Immune Response, Oxidative Stress
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: APP Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: APP Metabolism,Lipid Metabolism,Endolysosome,Autophagy,Proteostasis
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Synapse
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pheromone Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Cellular Component -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Immune Response
GO Term: Extracellular Region -> Biodomain: APP Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Xv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Fibrillar Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type I Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Iii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Iv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type V Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Vii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Collagen Type Viii Trimer -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Collagen Type Ix Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Collagen Type Xii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, APP Metabolism
GO Term: Collagen Type Xiv Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type X Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Xiii Trimer -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, APP Metabolism, Immune Response, Proteostasis
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Laminin-2 Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Laminin-3 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, APP Metabolism, Vasculature, Immune Response, Proteostasis
GO Term: Extracellular Space -> Biodomain: APP Metabolism, Immune Response, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Nucleus -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Immune Response, Proteostasis
GO Term: Nuclear Envelope -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Nuclear Inner Membrane -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nuclear Envelope Lumen -> Biodomain: Proteostasis, Tau Homeostasis, Endolysosome, DNA Repair, Epigenetic
GO Term: Annulate Lamellae -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Pore -> Biodomain: Tau Homeostasis, Endolysosome, Proteostasis, RNA Spliceosome, Synapse
GO Term: Nuclear Lamina -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Nucleoplasm -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Oxidative Stress
GO Term: Rna Polymerase Iii Complex -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Transcription Regulator Complex -> Biodomain: APP Metabolism, Epigenetic, Proteostasis, Tau Homeostasis, DNA Repair
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Synapse
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Immune Response, Tau Homeostasis
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, APP Metabolism
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Tau Homeostasis, APP Metabolism, Apoptosis
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, APP Metabolism
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis, Epigenetic
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Apoptosis, Proteostasis, DNA Repair
