Running with TEMP=0.5, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Epigenetic, Synapse, Autophagy
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Autophagy, Epigenetic, Oxidative Stress
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Cell Cycle, Epigenetic
GO Term: Sumo Transferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Synapse
GO Term: Polyamine Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Putrescine Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Epigenetic, Vasculature, Proteostasis, Endolysosome
GO Term: Oxygen Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Developmental Process, Synapse, Proteostasis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Apoptosis
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cytolysis -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Epigenetic
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Rrna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, DNA Repair
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Kinesin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Extrinsic Component Of Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Enzyme Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Protein Domain Specific Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, Epigenetic
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Lipid Storage -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Synapse, RNA Spliceosome, Autophagy
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Sexual Reproduction -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Apoptosis
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Endolysosome
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Vasculature
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Endolysosome
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Diacylglycerol Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Neural Fold Elevation Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Neural Fold Bending -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Myelination
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Spinal Cord Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Neuron Differentiation, Structural Stabilization, Cellular Developmental Process, Nervous System Development
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Developmental Process, Neuron Differentiation, Structural Stabilization, Central Nervous System Development
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, RNA Spliceosome
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Autophagy, Endolysosome
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Endolysosome
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Myelination
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Myelination, Synapse
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Pons Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Autophagy, Proteostasis
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Autonomic Nervous System, CNS Development, Neurodevelopment
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Autonomic Nervous System, Structural Stabilization, Autophagy, Epigenetic
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 6 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Hindbrain Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebellum Structural Organization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Epigenetic, Endolysosome, Autophagy, Vasculature
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Epigenetic, Synapse
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Apoptosis
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Epigenetic
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Autophagy
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Sensory Processing, Myelination
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Endolysosome, Autophagy
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Cell Cycle
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Apoptosis
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Epigenetic, Autophagy
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Epigenetic
GO Term: Rhombomere 5 Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Lateral Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Cerebellum Development, Neurogenesis, Neuronal Signaling
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Developmental Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Autophagy
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Myelination, Cell Cycle
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myyelination, Epigenetic
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Myelination
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Autophagy
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Central Nervous System, Neurogenesis, Developmental Process, Forebrain
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
