Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Golgi Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Golgi Calcium Ion Transport -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Cytoplasmic Side Of Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Otolith Morphogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Synapse, Autophagy
GO Term: Otolith Formation -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Heterotetrameric Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Signaling, DNA Repair, Apoptosis, Autophagy
GO Term: Rab Protein Signal Transduction -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Regulation Of Rab Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ral Protein Signal Transduction -> Biodomain: Signal Transduction, Cellular Processes, Cell Signaling, Membrane Trafficking, Cytoskeleton Organization
GO Term: Regulation Of Ral Protein Signal Transduction -> Biodomain: Endolysosome, Autophagy, Synapse, Cell Cycle, Proteostasis
GO Term: Rap Protein Signal Transduction -> Biodomain: Signal Transduction, Proteostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Regulation Of Rap Protein Signal Transduction -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Myelination
GO Term: Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Detection Of Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Detection Of Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Bacterial Lipoprotein -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Muramyl Dipeptide -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Detection Of Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Detection Of Muramyl Dipeptide -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Detection Of Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Muramyl Dipeptide Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Vasculature, Proteostasis
GO Term: Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Maintenance Of Protein Location In Cell -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Endosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Somite Rostral/Caudal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Response To Retinoic Acid -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Microvillus Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Microvillus Length -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cellular Component Size -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Structural Stabilization, Synapse
GO Term: Regulation Of Cell Projection Size -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Cortical Endoplasmic Reticulum -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Sulfiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Curi Complex -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Ribonucleoside Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Purine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Pyrimidine Deoxyribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Pyrimidine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Adenyl Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Adenyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Autophagy, Lipid Metabolism
GO Term: Guanyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Datp Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Dgtp Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Response To Progesterone -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Response To Vitamin K -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: 5'-3' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Golgi Cisterna Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Er-Dependent Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Growth Cone Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Multivesicular Body Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Ruffle Membrane -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Trans-Golgi Network Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Neuron Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendrite Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Dendritic Spine Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Insulin-Responsive Compartment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Protein Transport Into Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: B Cell Receptor Transport Into Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Chemokine Receptor Transport Out Of Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Regulation Of Chemokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Inflammation, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Endolysosome, Apoptosis
GO Term: Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chemokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Hepatocyte Growth Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-11 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Interleukin-27 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Endolysosome, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-7 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Vasculature, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Chemokine Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Fractalkine Production -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Interleukin-15 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Interleukin-22 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Immune Response, Immune Response, Immune Response, Immune Response
GO Term: Positive Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Lymphotoxin A Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Copper-Dependent Protein Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Piccolo Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Super Elongation Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Monocarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Saturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Unsaturated Monocarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ribosome Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Lead Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Gtpase Activating Protein Binding -> Biodomain: Signal Transduction, Protein Binding, Regulatory Mechanisms, Cell Signaling, Protein Activity Regulation
GO Term: Heterotrimeric G-Protein Binding -> Biodomain: Proteostasis, Synapse, Cell Cycle, Vasculature, Immune Response
GO Term: Uropod Organization -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Smn Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Synapse
GO Term: Swi5-Sfr1 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Low-Density Lipoprotein Receptor Particle Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dna Ligase Iv Complex -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Lacrimal Gland Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Neuronal Cell Body Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Sterol Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Epinephrine Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Vasculature, Autophagy
GO Term: Positive Regulation Of Epinephrine Secretion -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Tumor Necrosis Factor Receptor Superfamily Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
