Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Synapse, Vasculature
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Vasculature, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Myelination, Vasculature, Structural Stabilization
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Myelination, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Structural Stabilization
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Myelination
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Vasculature, Immune Response
GO Term: Chloride Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature, Metal Binding and Homeostasis
GO Term: Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Vasculature, Structural Stabilization
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Immune Response
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Endolysosome, Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Proteostasis
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Synapse, Immune Response, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Myelination
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, DNA Repair, Epigenetic
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Oxygen Carrier Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Autophagy, Cell Cycle
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Vasculature
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Autophagy, Myelination
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Myelination, Oxidative Stress
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Endolysosome, Oxidative Stress
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Endolysosome, Oxidative Stress, Immune Response
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic, Structural Stabilization
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Vasculature
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Proteostasis
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Androgen Binding -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Immune Response, Proteostasis
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Immune Response
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Calcium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Detection Of Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Protein Binding -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Cell Cycle
GO Term: Calmodulin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Gtp Binding -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Macrolide Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Fk506 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Galactose Binding -> Biodomain: Carbohydrate Binding, Lipid Metabolism, Immune Response, Proteostasis, Endolysosome
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: D-Mannose Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycosaminoglycan Binding -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism, Immune Response
GO Term: Hyaluronic Acid Binding -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Folic Acid Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Vasculature
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Calcium Signaling, Membrane Trafficking, Synaptic Function, Cell Adhesion
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Odorant Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Pheromone Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cellular Component -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Extracellular Region -> Biodomain: Vasculature, Immune Response, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix, Proteostasis, Tissue Development, Cell Adhesion
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Autophagy
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix, Metal Binding and Homeostasis, Proteostasis
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization  
Vasculature  
Proteostasis  
Metal Binding and Homeostasis  
Lipid Metabolism
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Autophagy
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Apoptosis
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Laminin-2 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix, Cell Adhesion
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Extracellular Space -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Lipid Metabolism
GO Term: Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: Nuclear Envelope -> Biodomain: Structural Stabilization, Endolysosome, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Nuclear Inner Membrane -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Nuclear Outer Membrane -> Biodomain: Structural Stabilization  
Lipid Metabolism  
Cell Cycle  
Proteostasis  
Endolysosome
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, DNA Repair
GO Term: Annulate Lamellae -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Replication Fork -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, RNA Spliceosome
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
