Running with TEMP=0.9, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Gtp Cyclohydrolase I Regulator Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Epigenetic, Proteostasis
GO Term: Elastin Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Negative Regulation Of Elastin Catabolic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Extracellular Matrix Organization, Connective Tissue Disorders
GO Term: Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Definitive Erythrocyte Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Cell Cycle
GO Term: Head Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Head Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Face Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Face Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cytoplasmic Actin-Based Contraction Involved In Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Photoreceptor Inner Segment Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Spleen Trabecula Formation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Bone Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Heart Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Bone Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Bone Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Regulation Of Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Positive Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Response To Ammonium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cranial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Frontal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Synapse
GO Term: Lambdoid Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Sagittal Suture Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Susceptibility To T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Ion Homeostasis, Electrophysiology, Cardiac Function, Cell Signaling, Channel Activity
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Brood Size -> Biodomain: Reproduction, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Innervation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Axonogenesis Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Synapse Assembly Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Smad Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Smad Protein Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Smad Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Epigenetic
GO Term: Growth Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Growth Hormone Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Axonemal Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Penile Erection -> Biodomain: Vasculature, Oxidative Stress, Synapse, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Acetylcholine Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Cardiac Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ventricular Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Atrial Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Growth Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Heart Growth -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Heart Growth -> Biodomain: Cell Cycle, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Peptidyl-Dipeptidase Inhibitor Activity -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Lung Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Lung Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Lung Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Lung Saccule Development -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Primary Lung Bud Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Bronchus Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Bronchus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Bronchiole Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Bronchiole Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Lung Growth -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Trachea Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Synapse
GO Term: Trachea Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Trachea Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Mammary Gland Morphogenesis -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Bud Outgrowth Involved In Lung Branching -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Bud Elongation Involved In Lung Branching -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hindgut Contraction -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Regulation Of Gastric Acid Secretion -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Gastric Acid Secretion -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Digestive System Process -> Biodomain: Digestive System, Metabolism, Proteostasis, Vasculature, Autophagy
GO Term: Right Lung Development -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Left Lung Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Left Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Right Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Lung Lobe Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Activation Of Meiosis Involved In Egg Activation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Prevention Of Polyspermy -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Egg Activation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Cortical Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Cortical Granule -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Flagellated Sperm Motility Involved In Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Acrosomal Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Lung Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Lung Goblet Cell Differentiation -> Biodomain: Proteostasis, Endolysosome, Vasculature, Structural Stabilization, Immune Response
GO Term: Lobar Bronchus Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Lobar Bronchus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Lung-Associated Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Mesenchyme Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Club Cell Differentiation -> Biodomain: Epithelial Integrity, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Lung Epithelial Cell Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Orthogonal Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Planar Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Lateral Sprouting Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Cell Projection Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Lung Induction -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Lung Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Vasculature
GO Term: Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Bud Dilation Involved In Lung Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Lung Development -> Biodomain: Lipid Metabolism, Vasculature, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Type I Pneumocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Type Ii Pneumocyte Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Prostatic Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Prostate Induction -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Primary Prostatic Bud Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Epithelial Cell Proliferation Involved In Prostatic Bud Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Proteostasis
GO Term: Prostate Epithelial Cord Elongation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Prostate Epithelial Cord Arborization Involved In Prostate Glandular Acinus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Secretory Columnal Luminar Epithelial Cell Differentiation Involved In Prostate Glandular Acinus Development -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Squamous Basal Epithelial Stem Cell Differentiation Involved In Prostate Gland Acinus Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Bronchus Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Trachea Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Trachea Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Skeletal Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Diaphragm Development -> Biodomain: Structural Stabilization, Cell Cycle, Muscle System, Vasculature, Proteostasis
GO Term: Respiratory System Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Developmental Growth Involved In Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Developmental Biology, Mitochondrial Metabolism, Autophagy
GO Term: Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Epithelial Tube Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Neuroepithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Termination Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Morphogenesis Of An Epithelial Fold -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Intestinal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Intestinal Epithelial Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Pulmonary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Superior Vena Cava Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Ventral Spinal Cord Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Fate Determination -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Multicellular Organismal-Level Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Nucleoside-Triphosphatase Regulator Activity -> Biodomain: Cell Cycle, Autophagy, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Atpase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Chondroblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Mammary Gland Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Mammary Gland Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Mammary Gland Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Mammary Placode Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Autophagy
GO Term: Lateral Sprouting Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Lateral Sprouting From An Epithelium -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Branch Elongation Of An Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Tube Closure -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Synapse
GO Term: Mammary Gland Fat Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
