Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Oxidative Stress
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, DNA Repair, Epigenetic
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Apoptosis
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Autophagy
GO Term: Polyamine Binding -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, APP Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Putrescine Binding -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis, Lipid Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Apoptosis
GO Term: Oxygen Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Epigenetic
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome, Apoptosis
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, APP Metabolism
GO Term: Cytolysis -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism, Epigenetic
GO Term: Vitamin Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Rrna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cytosine Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Protein Kinase Regulator Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Kinesin Binding -> Biodomain: Proteostasis, APP Metabolism, Synapse, Endolysosome, Tau Homeostasis
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: APP Metabolism, Synapse, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Extrinsic Component Of Membrane -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Enzyme Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Kinase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Protein Kinase Binding -> Biodomain: Tau Homeostasis, APP Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Apoptosis
GO Term: Protein Phosphatase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Immune Response, Synapse
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis, DNA Repair
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Immune Response
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, DNA Repair
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Protein Metabolism, Tau Homeostasis, APP Metabolism
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Sexual Reproduction -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Cytokine Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Tau Homeostasis
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Synapse, Proteostasis
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Synapse, APP Metabolism, Proteostasis, Endolysosome
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, APP Metabolism
GO Term: Hemoglobin Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Apoptosis
GO Term: Neural Fold Elevation Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Neural Fold Bending -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Central Nervous System Development, Developmental Process, Synapse, Cell Cycle
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Myelination, Cell Cycle, Immune Response, Proteostasis, Epigenetic
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Synapse
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Endolysosome
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Neurogenesis and Gliogenesis, Glial Cells, Cell Differentiation
GO Term: Neural Tube Patterning -> Biodomain: Developmental Processes, Neuronal Structure, Structural Stabilization, Cell Differentiation, Epigenetic Regulation
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Diencephalon Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Telencephalon Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Subthalamus Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Apoptosis, Endolysosome
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Endolysosome
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, Proteostasis
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, APP Metabolism, Endolysosome, Tau Homeostasis
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Myelination
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Pons Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellum Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Tau Homeostasis
GO Term: Central Nervous System Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Brain Development, Proteostasis
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Immune Response
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Nervous System Development, Anatomical Structure Development, Developmental Process
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Autophagy
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Immune Response
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Myelination
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Tau Homeostasis
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Myelination
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Tau Homeostasis
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Ventricular System Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Abducens Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Nervous System Development, Cell Death
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Autophagy, Endolysosome, Proteostasis
GO Term: Facial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Tau Homeostasis
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Autophagy
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Autonomic Nervous System, Cell Morphogenesis
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Immune Response
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Nervous System Development, Myelination
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Nervous System Development, Cell Death, Proteostasis
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Apoptosis, Cell Cycle
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Autophagy, Vasculature, Immune Response
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Cell Differentiation, Neurogenesis
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Apoptosis
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Endolysosome
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Autophagy
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Lateral Ventricle Development -> Biodomain: CNS Development, Structural Stabilization, Vasculature, Immune Response, Neurodevelopmental
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Endolysosome
GO Term: Third Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Brain Development, Endolysosome, Immune Response
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Immune Response
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Endolysosome
GO Term: Cerebellar Cortex Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Cerebellar Cortex Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Myelination
GO Term: Developmental Maturation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Locus Ceruleus Development -> Biodomain: Structural Stabilization, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Immune Response
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Hypoglossal Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Cochlear Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Tau Homeostasis, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Myelination
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Caudate Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
