Running with TEMP=0.9, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Platelet-Derived Growth Factor Complex -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Endolysosome
GO Term: Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Cell Adhesion, Signal Transduction, Cytoskeleton Organization
GO Term: Response To Transition Metal Nanoparticle -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Response To Gold Nanoparticle -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Rna Polymerase Ii C-Terminal Domain Phosphoserine Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor-Ligand Complex -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Apoptosis
GO Term: Anti-Mullerian Hormone Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Preribosome Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Rna 5'-Gamma-Phosphate Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Rna Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Renal Amino Acid Absorption -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Bub1-Bub3 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Cellular Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Atg1/Ulk1 Kinase Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Collagen Type Xxvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Ire1 Complex -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Apoptosis, Endolysosome
GO Term: Gap Junction-Mediated Intercellular Transport -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Vasculature
GO Term: Glucose Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Transporter Complex -> Biodomain: Endolysosome, Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Terminal Web -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Butanol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome, Synapse
GO Term: K48-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Ubiquitin-Specific Protease Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Hyaloid Vascular Plexus Regression -> Biodomain: Vasculature, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Mitotic Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein K33-Linked Ubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Dna Repair Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: 3M Complex -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Mitochondrial Ribosomal Large Subunit Rrna Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Embryonic Lung Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Embryonic Liver Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Embryonic Brain Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Nad+-Protein Mono-Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Immune Response
GO Term: Protein Antigen Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cgrp Receptor Complex -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Calcitonin Gene-Related Peptide Binding -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Calcitonin Gene-Related Peptide Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Adrenomedullin Binding -> Biodomain: Vasculature, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Adrenomedullin Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Signaling, Endocrine, Neurotransmission, Immune Response
GO Term: Replication-Born Double-Strand Break Repair Via Sister Chromatid Exchange -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Cellular Response To Brain-Derived Neurotrophic Factor Stimulus -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glyoxalase (Glycolic Acid-Forming) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Rzz Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Ryanodine Receptor Complex -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Mitotic Recombination-Dependent Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Stereocilia Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Mirna Transport -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Endolysosome, Epigenetic
GO Term: Peroxisomal Importomer Complex -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Extracellular Matrix Protein Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Prirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Sirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Proteostasis
GO Term: Upper Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: U6 2'-O-Snrna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Map Kinase Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Nitrosative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Peptidyl-Threonine Autophosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: F-Box Domain Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: U1 Snrnp Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: U2 Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Exon-Exon Junction Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Linear Polyubiquitin Binding -> Biodomain: Proteostasis, Ubiquitin Homeostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: Parkin-Fbxw7-Cul1 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: L-Type Voltage-Gated Calcium Channel Complex -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Mitochondrion-Endoplasmic Reticulum Membrane Tethering -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Transferrin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leptin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Omegasome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Protein Autosumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Mtrec Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Response To Ultrasound -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Mrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Exon-Exon Junction Subcomplex Mago-Y14 -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Dense Core Granule Maturation -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mitotic Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Ckm Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Cry-Per Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Clock-Bmal Transcription Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Single-Stranded 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Pyrimidine Nucleotide Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Bone Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Glycosylphosphatidylinositol-Mannosyltransferase I Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phospholipid-Translocating Atpase Complex -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Dom34-Hbs1 Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Endolysosome
GO Term: Neuron Projection Maintenance -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Autophagy
GO Term: Fructose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Manganese Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial S-Adenosyl-L-Methionine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Mitochondrial Atp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Alpha-Ketoglutarate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Hsp90-Cdc37 Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: I(Kach) Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Apoptosis
GO Term: Udp-N-Acetylglucosamine Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Gdp-Mannose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Tert-Rmrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Epigenetic, Autophagy
GO Term: Potassium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Structural Stabilization, Oxidative Stress
GO Term: Mitochondrial L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Perinuclear Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Phospholipase D Activator Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cardiac Troponin Complex -> Biodomain: Structural Stabilization, Muscle System, Calcium Regulation, Cardiovascular System, Proteostasis
GO Term: Atf4-Creb1 Transcription Factor Complex -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Atf1-Atf4 Transcription Factor Complex -> Biodomain: Proteostasis, Oxidative Stress, Epigenetic, Apoptosis, Autophagy
GO Term: Protein K69-Linked Ufmylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Mast Cell Secretagogue Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Aip1-Ire1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: 3' Overhang Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Dark Adaptation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Ire1-Traf2-Ask1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Glutamate-Cysteine Ligase Regulator Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Cytoplasmic Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Chop-Atf4 Complex -> Biodomain: Epigenetic, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Anpr-A Receptor Complex -> Biodomain: Vasculature, Signaling, Cardiovascular, Receptor Function, Homeostasis
GO Term: Chop-Atf3 Complex -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Mitochondrial Outer Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Mitochondrial Inner Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phospholamban Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Ire1-Rack1-Pp2A Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Synapse
GO Term: Proximal Dendrite -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Response To Iron Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: C/Ebp Complex -> Biodomain: Immune Response, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Calprotectin Complex -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: S100A8 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: S100A9 Complex -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Nkx-2.5 Complex -> Biodomain: Epigenetic, Vasculature, Immune Response, Cell Cycle, Metal Binding and Homeostasis
GO Term: Anxa2-P11 Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Pcsk9-Ldlr Complex -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Vasculature, Autophagy
GO Term: Pcsk9-Anxa2 Complex -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Immune Response
GO Term: Golgi Cis Cisterna Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Golgi Medial Cisterna Membrane -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Golgi Trans Cisterna Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Response To Melanocyte-Stimulating Hormone -> Biodomain: Immune Response, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Csf1-Csf1R Complex -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Dna Double-Strand Break Attachment To Nuclear Envelope -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Ush2 Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Endolysosome
GO Term: Protein Depalmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Palmitoleoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Palmitoleyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Nucleolar Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Mad1 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Conditioned Place Preference -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Presynaptic Active Zone Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Beta-Catenin-Icat Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Hfe-Transferrin Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Survivin Complex -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Mrna Cds Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Axonemal Central Apparatus -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Axonemal Central Pair Projection -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Dapk1-Calmodulin Complex -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cytoplasmic Periphery Of The Nuclear Pore Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Galectin Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lsm1-7-Pat1 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Mitotic Spindle Assembly Checkpoint Mad1-Mad2 Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Vcp-Nsfl1C Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Titin-Telethonin Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Manganese-Induced Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Pseudouridine 5'-Phosphatase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Autophagy
GO Term: Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Microvesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Protein Sialylation -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Lipid Metabolism
GO Term: Earp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Cellular Detoxification -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy, Immune Response
GO Term: Microtubule End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Synapse
GO Term: Mitotic Spindle Microtubule Depolymerization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Ubiquitin-Like Ligase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Ubiquitin Ligase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Mitotic Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Osmolarity-Sensing Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Vasculature, Proteostasis
GO Term: Growth Cone Lamellipodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Arrestin Family Protein Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Vasculature, Immune Response
GO Term: Myofibroblast Contraction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Proximal Neuron Projection -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Small Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Clathrin-Dependent Extracellular Exosome Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Response To Angiotensin -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Glycoprotein Ib-Ix-V Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Cytoplasmic Side Of Dendritic Spine Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Protein Tyrosine Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Immune Response, Structural Stabilization
GO Term: Response To Water-Immersion Restraint Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Cellular Response To Dsdna -> Biodomain: Immune Response, DNA Repair, Apoptosis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Hh Target Transcription Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gli-Sufu Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Dorsal Root Ganglion Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Synapse
GO Term: Cellular Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Basolateral Part Of Cell -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ligand-Gated Ion Channel Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
