Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Maternal Behavior -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Sperm Ejaculation -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Cell Cycle, Vasculature
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Ph Domain Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Circadian, Sleep, Neuronal Signaling, Brain Function
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Synapse, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Eating Behavior -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Drinking Behavior -> Biodomain: Vasculature, Synapse, Myelination, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Vasculature
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Proteostasis
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trna 3'-End Processing -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Gene Expression, Transcription, Cellular Processes, Non-coding RNA
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome, Cell Cycle
GO Term: Fucose Binding -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Structural Stabilization, Autophagy
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Wnt Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Endolysosome, Epigenetic
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pyridoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Tap Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Platelet Dense Granule -> Biodomain: Immune Response, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Vasculature
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cysteine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Amide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Tubulin Deacetylase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Xenobiotic Transport -> Biodomain: Vasculature, Immune Response, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Neuromedin U Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Enterobactin Transport -> Biodomain: Metal Binding and Homeostasis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Endolysosome, Autophagy
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dipeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Glucoside Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle, DNA Repair
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Lipid Metabolism, Synapse
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Tau Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Structural Stabilization
GO Term: Cell Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Neuron Projection -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Atp-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, DNA Repair
GO Term: Chordate Embryonic Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Camera-Type Eye Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Gamma-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Nadph Oxidase Complex -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Epigenetic
GO Term: Ribosome Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Neuronal Cell Body -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Isoamylase Complex -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Costamere -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Synapse, Vasculature
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Otic Placode Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Thermotaxis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Extracellular Structure Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Myelination
GO Term: Intercellular Bridge Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cellular Homeostasis and Stress Response, Cell Cycle Regulation
GO Term: Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: Megasporocyte Nucleus -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Amino Acid Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Replication Fork Arrest -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, APP Metabolism
GO Term: Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Neurotrophin Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Myelination
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Immune Response
GO Term: Surfactant Homeostasis -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Erythrocyte Enucleation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Vasculature
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, DNA Replication, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Epigenetic, Synapse, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Acrosomal Matrix -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Acrosomal Lumen -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Anion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: Transcription, Protein Binding, Transcription Factor Binding, Epigenetic, DNA Repair
GO Term: Amine Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Alcohol Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Oxidative Stress
