Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Proteostasis, Immune Response, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Hemostasis, Wound Healing, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Structural Stabilization
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Proteoglycan Metabolism, Immune Response, Metabolic Pathways, Carbohydrate Metabolism
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Hyaluronan Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Hyaluronan Catabolic Process -> Biodomain: Carbohydrate Metabolism, Extracellular Matrix Organization, Catabolic Process, Endolysosome, Immune Response
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Apoptosis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epithelial Cell, Tissue Development, Developmental Process, Cell Differentiation
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Erythrocyte Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Vasculature
GO Term: Platelet Formation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Autophagy
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Male Sex Determination -> Biodomain: Developmental Process, Reproductive Process, Multicellular Organismal Process, Anatomical Structure Development, Sex Determination
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Muscle Development, Actin Cytoskeleton, Myofibril Assembly
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Carbohydrate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Polysaccharide Binding -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Growth Hormone Secretion -> Biodomain: Proteostasis, Hormone Transport, Signal Release, Cell-Cell Signaling, Vasculature
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Epigenetic
GO Term: Lim Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Epigenetic
GO Term: Lrr Domain Binding -> Biodomain: Structural Stabilization, Immune Response, Synapse, Proteostasis, Autophagy
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Proteostasis, Apoptosis
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Synapse
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization, Autophagy
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Signal Transduction, Enzyme Regulation, Cell Signaling, Apoptosis
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Vasculature
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Synapse, Cell Cycle
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Proteostasis
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress, Autophagy
GO Term: Deoxynucleotide Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Regulation of Cellular Process, Metabolism, Regulation of Biological Process, Cellular Component Organization
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Glycosylation, Macromolecule Metabolism, Carbohydrate Metabolism, Cell Surface, Extracellular Matrix Organization
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Endolysosome
GO Term: Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Melanocyte Differentiation -> Biodomain: Cell Differentiation, Developmental Process, Pigmentation, Epigenetic, Lipid Metabolism
GO Term: Transepithelial Chloride Transport -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Stabilization Of Membrane Potential -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Organ Development, Developmental Process
GO Term: Lung Development -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Adrenal Gland Development -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Myelination, Cell Cycle, Epigenetic
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Myelination
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Extracellular Matrix, Mineralization, Skeletal System, Protein Structure
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Synapse, Cell Cycle
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Apoptosis
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Vasculature, Epigenetic
GO Term: Molybdopterin Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Signaling, Signal Transduction, Inflammation, Apoptosis
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Structural Stabilization
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Surface Receptor Signaling, Signal Transduction
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fructosamine Metabolic Process -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Lactose Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Immune Response
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Immune Response
GO Term: Defecation -> Biodomain: Digestive System, Excretion, System Process, Bodily Process, Digestion
GO Term: Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Myelination
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Site Of Polarized Growth -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Sleep -> Biodomain: Synapse, Immune Response, Autophagy, DNA Repair, Oxidative Stress
GO Term: Peristalsis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Innate Immune Response, Inflammatory Response, Defense Response, Apoptosis
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Methylation -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Hemoglobin Binding -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Metal Binding and Homeostasis, Developmental Biology, Structural Stabilization, Cell Growth and Death, Signal Transduction
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Bmp Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle  
Apoptosis  
Vasculature  
Immune Response  
Structural Stabilization
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Immune Response, Cell Cycle
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Apoptosis
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Vasculature
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Adult Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Developmental Process, Reproductive Process, Anatomical Structure Morphogenesis, Embryonic Morphogenesis, Organ Development
GO Term: Male Genitalia Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, Structural Stabilization
GO Term: Female Genitalia Development -> Biodomain: Reproductive System, Developmental Biology, Organ Development, Sex Differentiation, Anatomical Structure Development
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Vasculature, Autophagy
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Cyclic Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Camp Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Lipid Metabolism, Autophagy
GO Term: Cgmp Binding -> Biodomain: Mitochondrial Metabolism, Vasculature, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Oxidative Stress
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Pml Body Organization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Cell Migration, Response to Stimulus, Chemotaxis, Vasculature
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
