Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Multiple Spine Synapse Organization, Single Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Amyloid-Beta Clearance By Transcytosis -> Biodomain: APP Metabolism, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Amyloid-Beta Clearance By Cellular Catabolic Process -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Glial Cell-Neuron Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Neuron-Glial Cell Signaling -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Regulation Of Microtubule Anchoring At Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Monocyte Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Reactive Gliosis -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Regulation Of Transepithelial Transport -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Regulation Of Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Negative Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Interleukin-37 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Cell-Cell Junction Disassembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Vasculature
GO Term: Negative Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-34 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-32 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Extrasynaptic Signaling Via Gaba -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Poly-Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Fc Receptor-Mediated Immune Complex Endocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Glutathione Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Endolysosome, DNA Repair
GO Term: Protein De-2-Hydroxyisobutyrylase Activity -> Biodomain: Proteostasis, Epigenetic, Unknown, Autophagy, Apoptosis
GO Term: Nad-Dependent Protein Decrotonylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Unknown
GO Term: Nad-Dependent Histone Decrotonylase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Ccacca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Unknown, Unknown, Unknown, Unknown
GO Term: Positive Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Maternal-To-Zygotic Transition Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Sneeze Reflex -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Unknown
GO Term: Leydig Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Sensory Perception Of Itch -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Somatic Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Mitocytosis -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Neuropeptide Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Purine Nucleotide Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Sulfate:Chloride Antiporter Activity -> Biodomain: Endolysosome, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Tmem240-Body -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Unknown, Autophagy
GO Term: Muramyl Dipeptide Kinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Unknown
GO Term: Negative Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, DNA Repair
GO Term: Microfibril Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Macropinosome Membrane -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Multi-Pass Transmembrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Multi-Pass Translocon Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Unknown
GO Term: Surfactant Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Ubiquitin Ligase Complex Scaffold Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Non-Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: G Protein-Coupled Glycine Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Iodide Channel Activity -> Biodomain: Metal Binding and Homeostasis, Unknown, Endolysosome, Vasculature, Immune Response
GO Term: Hypoxia-Inducible Factor-Proline Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Spermatid Cytoplasm Removal During Spermiation Of Flagellated Sperm -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Internal N(7)-Methylguanine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Unknown
GO Term: Internal Mrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Unknown, Metal Binding and Homeostasis, DNA Repair, RNA Spliceosome
GO Term: Spliceosome-Depend Formation Of Circular Rna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Unknown, Immune Response
GO Term: Chordate Pharynx Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Proteostasis
GO Term: Trna (Guanine(10)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Unknown
GO Term: Trna (Guanine(26)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Trna (Adenine(9)-N1)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna (Adenine(58)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Unknown, Proteostasis, Mitochondrial Metabolism
GO Term: Axonemal Microtubule Doublet Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Axonemal A Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse, Cell Cycle
GO Term: Axonemal B Tubule Inner Sheath -> Biodomain: Structural Stabilization, Unknown, Proteostasis, Cell Cycle, Autophagy
GO Term: Trna (Guanine(6)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Unknown, Proteostasis, Mitochondrial Metabolism
GO Term: Trna (Guanine(7)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Unknown, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Bis(Monoacylglycero)Phosphate Synthase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Structural Constituent Of Nuclear Lamina -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Ph-Gated Sodium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Protein-Rna Covalent Cross-Linking Repair -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, DNA Repair, Oxidative Stress
GO Term: Ph-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Oxidative Stress, Vasculature
GO Term: Protein-Dna Covalent Cross-Linking Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Mrna Cap Methyltransferase Rnmt:Ramac Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Sperm Migration Through The Uterotubal Junction -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Bicarbonate Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis, Immune Response
GO Term: Protein-Rna Sequence-Specific Adaptor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Phospholipase C-Activating Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Gdf15-Gfral Signaling Pathway -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Gdf15-Gfral Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Trna Pseudouridine(38-40) Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Trna Pseudouridine(55) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Trna Pseudouridine(13) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna Pseudouridine(38/39) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Branched-Chain Alpha-Ketoacid Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Cd27 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: S-Nitrosoglutathione Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Negative Regulation Of Chromatin Looping -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: 2-Oxoadipate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxoadipate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Magnesium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Dipeptide Uniporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Intestinal Iron Absorption -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Paracellular Transport -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Unknown
GO Term: Phospholipase C Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Paracellular Tight Junction Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Autophagosome-Dependent Secretion -> Biodomain: Autophagy, Endolysosome, Proteostasis, APP Metabolism, Synapse
GO Term: L-Lactate Dehydrogenase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Stereocilium Bundle Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Synapse, Autophagy
GO Term: Polyprenol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dolichal Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Polyprenal Reductase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mitochondrial Disulfide Relay System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Mitochondrion-Mitochondrion Outer Membrane Tether Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Glycine-Gated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Beta-Arrestin-Dependent Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum-Plasma Membrane Adaptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Deacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Rho-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: 3-Demethoxyubiquinone 3-Hydroxylase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: G-Quadruplex Unwinding Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Oligosaccharyltransferase Complex A -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Oligosaccharyltransferase Complex B -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Bile Acid-Gated Sodium Channel Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: U6 Snrna (Guanine-N(2))-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Unknown
GO Term: Intac Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Integrator Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Trna 5-Taurinomethyluridine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Transcription Pausing By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Unknown, Autophagy
GO Term: Rna Polymerase Ii Transcription Initiation Surveillance -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Nadph-Iron-Sulfur [2Fe-2S] Protein Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trna (Guanine(27)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Complement Activation, Gzmk Pathway -> Biodomain: Immune Response, Complement Activation, Apoptosis, Proteostasis, Unknown
GO Term: Stalled Ribosome Sensor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ankyrin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Unknown
GO Term: Ska Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: L-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: L-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Proteinogenic Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Virus-Like Capsid -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Rna Ligase (Gtp) Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lysosome Fission -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Histone Methyltransferase Inhibitor Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: S-Adenosyl-L-Methionine:S-Adenosyl-L-Homocysteine Antiporter Activity -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S2 Phosphatase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S7 Phosphatase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Broad Specificity Neutral L-Amino Acid:Basic L-Amino Acid Antiporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Co-Transcriptional Mrna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Cytosolic Mrna Polyadenylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Co-Transcriptional Rna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Nucleoside Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: K11-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Knl1/Spc105 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Membrane Bending Activity -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: U6 Snrna 2'-O-Ribose Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Unknown
GO Term: Rqc-Trigger Complex -> Biodomain: Proteostasis, Immune Response, Epigenetic, Autophagy, Unknown
GO Term: Mitochondrial Small Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Inositol Phosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Co-Transcriptional Lncrna 3' End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Lncrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Dol-P-Man:Glcn-Acyl-Pi Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Gpi Anchored Protein Biosynthesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Immune Response
GO Term: Dolichol Phosphate Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Vasculature, Proteostasis, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Epigenetic
GO Term: Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Protein Kinase C Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Immune Response
GO Term: Negative Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Immune Response, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
