Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Immune Response, Autophagy
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Glycosaminoglycan Metabolism, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Immune Response, Sulfation, Proteoglycan Biosynthesis, Extracellular Matrix Organization
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Glycan Metabolism, Extracellular Matrix, Carbohydrate Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Vasculature, Lipid Metabolism
GO Term: Hyaluronan Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Vasculature
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Myelination, Lipid Metabolism
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Immune Response, Vasculature, Structural Stabilization, Autophagy
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Erythrocyte Differentiation -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic, Proteostasis
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Platelet Formation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Endolysosome, Epigenetic, Apoptosis, Cell Cycle
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Structural Stabilization, Proteostasis
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Male Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, RNA Spliceosome
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Cell Cycle
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Carbohydrate Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Polysaccharide Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Autophagy
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Growth Hormone Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Cell Cycle, Epigenetic
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Autophagy, Oxidative Stress
GO Term: Lim Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Lrr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis, DNA Repair
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Autophagy, Cell Cycle, Endolysosome, Proteostasis
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Vasculature, Proteostasis
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Autophagy
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Deoxynucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Heparanase Activity -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Autophagy
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Glycosylation, Carbohydrate Metabolism, Extracellular Matrix Organization, Cell Surface Receptor Signaling, Immune Response
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Oxidative Stress
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Melanocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Immune Response, Proteostasis
GO Term: Stabilization Of Membrane Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Lung Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Adrenal Gland Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Myelination
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Molybdopterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, Cell Cycle
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Lactose Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Enzymatic Activity, Metabolic Pathways, Cofactor and Vitamin Metabolism
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Defecation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Immune Response, Cell Cycle
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Site Of Polarized Growth -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Synapse
GO Term: Peristalsis -> Biodomain: Muscle System, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Trna Methylation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Hemoglobin Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Proteostasis, Structural Stabilization
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Proteostasis
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion, Membrane Organization, Cell Morphogenesis
GO Term: Bmp Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Structural Stabilization
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Synapse
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Snorna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome
GO Term: Adult Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Male Genitalia Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Female Genitalia Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Immune Response
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Oxidative Stress
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Neuronal Signaling, Neurodegeneration, Vasculature, Immune Response
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Camp Binding -> Biodomain: Signal Transduction, Intracellular Signaling, Protein Phosphorylation, Epigenetic, Proteostasis
GO Term: Cgmp Binding -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Pml Body Organization -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Epigenetic, Oxidative Stress
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Signaling, Ion Channels, Structural Stabilization, Proteostasis
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
