Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Endolysosome
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Proteostasis, Synapse, Autophagy, Structural Stabilization, Epigenetic
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Proteostasis
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Immune Response, RNA Spliceosome, Apoptosis
GO Term: Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Structural Stabilization, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Oxidative Stress
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Muscle System, Structural Stabilization, Proteostasis, Cell Death
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Ectodermal Cell Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Acetyltransferase Activator Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Extracellular Matrix Organization, Apoptosis
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Vasculature
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Serum Response Element Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Protein Kinase A Signaling -> Biodomain: Signal Transduction, Transcriptional Regulation, Cell Signaling, Metabolic Processes, Post-translational Modification
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Apoptosis
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome, Vasculature
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Neurotransmission, Vesicle Trafficking, Cell Signaling, Exocytosis
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Substance P Catabolic Process -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Autophagy
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Hormone Levels -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Cell Cycle, Oxidative Stress
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Synapse, Apoptosis, Vasculature, Endolysosome
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Immune Response
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Vasculature, Immune Response, Synapse, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Cell Cycle
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Oxidative Stress
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Immune Response
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Immune Response, Epigenetic
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Immune Response
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Epigenetic
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Epigenetic
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Vasculature, Autophagy
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
