Running with TEMP=0.1, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Maternal Behavior -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Sperm Ejaculation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Ph Domain Binding -> Biodomain: Signal Transduction, Lipid Metabolism, Cytoskeleton, Membrane Trafficking, Cell Cycle
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Circadian Rhythm, Sleep, Neurotransmitter Release, Synaptic Signaling, Neuronal Activity
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Epigenetic
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Circadian, Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Tau Homeostasis, Synapse, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Autophagy, Endolysosome, Synapse, Lipid Metabolism
GO Term: Eating Behavior -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Drinking Behavior -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Trna 3'-End Processing -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Transcription, Epigenetic, DNA Repair, Proteostasis
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair, Apoptosis
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Fucose Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, DNA Repair, Vasculature
GO Term: Wnt Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Pyridoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Tap Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Platelet Dense Granule -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Proteostasis
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cysteine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Amide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Transporters, Amino Acid Metabolism, Metabolism, Proteostasis, Endolysosome
GO Term: Tubulin Deacetylase Activity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Proteostasis, Oxidative Stress
GO Term: Xenobiotic Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Endolysosome, Autophagy, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Epigenetic
GO Term: Neuromedin U Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Enterobactin Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Autophagy, Oxidative Stress
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Dipeptide Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Glucoside Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Proteostasis
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Vasculature
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Structural Stabilization
GO Term: Cell Projection -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Synapse, Vasculature
GO Term: Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Atp-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Chordate Embryonic Development -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Gamma-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Nadph Oxidase Complex -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Ribosome Binding -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Epigenetic, Cell Cycle
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Neuronal Cell Body -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cellular Processes, Cell Death Mechanisms, Enzyme Regulation
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Isoamylase Complex -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Costamere -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, DNA Repair
GO Term: Trna Aminoacylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Otic Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Thermotaxis -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Extracellular Structure Organization -> Biodomain: Vasculature, Structural Stabilization, Synapse, Myelination, Immune Response
GO Term: Intercellular Bridge Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, DNA Repair, Oxidative Stress
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Germ Cell Nucleus -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Megasporocyte Nucleus -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Synapse, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Gtpase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Autophagy
GO Term: Amino Acid Import -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Replication Fork Arrest -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Apoptosis, Inflammation, Proteostasis, Endolysosome
GO Term: Neurotrophin Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Cell Cycle, Immune Response, Vasculature, Autophagy, Proteostasis
GO Term: Surfactant Homeostasis -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Erythrocyte Enucleation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Cell Cycle
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Epigenetic, Synapse, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Acrosomal Matrix -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Acrosomal Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Anion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, DNA Repair, Epigenetic
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Amine Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Alcohol Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Immune Response
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Lipid Metabolism
