Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Tau Homeostasis
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, APP Metabolism, Apoptosis
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Immune Response, Vasculature
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Cell Signaling, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Tau Homeostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Oxidative Stress, Synapse
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Proline:Proton Symporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Synapse
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Endolysosome, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Oxygen Carrier Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Endolysosome
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism, Synapse
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Endolysosome, Vasculature, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, APP Metabolism
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Apoptosis, Oxidative Stress
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Oxidative Stress, Synapse, Metal Binding and Homeostasis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Tau Homeostasis, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Synapse
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Oxidative Stress, Immune Response
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Endolysosome, Synapse
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Immune Response, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Proteostasis
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Synapse
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Myelination
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Androgen Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Immune Response
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Proteostasis
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Calcium Ion Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Protein Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Immune Response
GO Term: Calmodulin Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, APP Metabolism
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Autophagy, Proteostasis
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism,Oxidative Stress,Proteostasis,Autophagy,Apoptosis
GO Term: Gtp Binding -> Biodomain: Synapse, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Macrolide Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fk506 Binding -> Biodomain: Proteostasis, Tau Homeostasis, Immune Response, Synapse, Apoptosis
GO Term: Galactose Binding -> Biodomain: Proteostasis,Lipid Metabolism,Mitochondrial Metabolism,Endolysosome,Oxidative Stress
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Endolysosome
GO Term: D-Mannose Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Glycosaminoglycan Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Immune Response, Proteostasis, Endolysosome
GO Term: Hyaluronic Acid Binding -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Folic Acid Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, APP Metabolism
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Phospholipid Transporter Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Tau Homeostasis
GO Term: Pheromone Binding -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Cellular Component -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Extracellular Region -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Fibrinogen Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, APP Metabolism, Endolysosome
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, APP Metabolism
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, APP Metabolism
GO Term: Collagen Type Ii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type Iv Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Collagen Type Viii Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, APP Metabolism
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Collagen Type Xii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, APP Metabolism
GO Term: Collagen Type Xiv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Collagen Type X Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Xiii Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Synapse
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Synapse
GO Term: Basement Membrane -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Laminin-1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Laminin-2 Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Laminin-3 Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Laminin-5 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Synapse, Proteostasis
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Extracellular Space -> Biodomain: APP Metabolism, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Nucleus -> Biodomain: DNA Repair, Epigenetic, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Nuclear Envelope -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Nuclear Inner Membrane -> Biodomain: Tau Homeostasis, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Lamin Filament -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Nuclear Envelope Lumen -> Biodomain: Autophagy, DNA Repair, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Annulate Lamellae -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Nuclear Pore -> Biodomain: Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Replication Fork -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Dna Replication Factor C Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Synapse, DNA Repair
GO Term: Rna Polymerase Iii Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Transcription Regulator Complex -> Biodomain: APP Metabolism, Tau Homeostasis, Epigenetic, Immune Response, Proteostasis
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, Immune Response
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, APP Metabolism, Cell Cycle
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, Proteostasis, Immune Response, DNA Repair, Apoptosis
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Autophagy
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
