Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress, Unknown
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Endolysosome
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Oxidative Stress, Immune Response
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Vasculature, Immune Response
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Unknown
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Myelination, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Calcium Channel Regulator Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Vasculature, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Unknown, Immune Response
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Endolysosome, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Chloride Channel Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Apoptosis, Vasculature
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Endolysosome
GO Term: Calcium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Structural Stabilization, Unknown
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Unknown
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Vasculature, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Myelination
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Myelination, Lipid Metabolism
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Cell Cycle, DNA Repair, Autophagy
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Unknown
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Oxygen Carrier Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Immune Response, DNA Repair
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Carbohydrate Metabolism, Membrane Transport, Intracellular Trafficking, Endolysosome, Lipid Metabolism
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Synapse, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Vasculature, Proteostasis
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Endolysosome, Immune Response
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Immune Response, Apoptosis
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Endolysosome, Autophagy
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Unknown
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Endolysosome, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, APP Metabolism, Immune Response
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Androgen Binding -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Epigenetic, Structural Stabilization
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Oxidative Stress
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Calcium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Immune Response, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Structural Stabilization, Cell Cycle
GO Term: Calmodulin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, DNA Repair
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Gtp Binding -> Biodomain: Cell Cycle, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Macrolide Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fk506 Binding -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Galactose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: D-Mannose Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Glycosaminoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Hyaluronic Acid Binding -> Biodomain: Extracellular Matrix Organization, Cell Adhesion, Angiogenesis, Signal Transduction, Immune Response
GO Term: Folic Acid Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Cell Cycle
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Immune Response, Autophagy
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Immune Response, Structural Stabilization, Endolysosome
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Myelination
GO Term: Odorant Binding -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Unknown
GO Term: Pheromone Binding -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Epigenetic, Unknown
GO Term: Cellular Component -> Biodomain: Unknown, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Extracellular Region -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Unknown
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Metal Binding and Homeostasis
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Unknown
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Unknown
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Unknown, Oxidative Stress
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix Organization, Vasculature, Basement Membrane Organization, Tissue Morphogenesis
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Unknown
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Endolysosome
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Unknown
GO Term: Laminin-2 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Immune Response
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Unknown
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Extracellular Space -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Nucleus -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Structural Stabilization
GO Term: Nuclear Envelope -> Biodomain: Structural Stabilization, Proteostasis, DNA Repair, Cell Cycle, Epigenetic
GO Term: Nuclear Inner Membrane -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Nuclear Outer Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Annulate Lamellae -> Biodomain: Proteostasis, Lipid Metabolism, RNA Spliceosome, Structural Stabilization, Endolysosome
GO Term: Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dna Replication Factor C Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Iii Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism, Immune Response
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Transcription Regulation, DNA Repair, Protein Phosphorylation, Protein Complex Assembly, Epigenetic
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
