Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Translational Termination -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Vasoconstriction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Dna Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Catecholamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Positive Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Female Receptivity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Female Receptivity -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Immune Response
GO Term: Positive Regulation Of Growth -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Epigenetic, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Immune Response, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Immune Response
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Negative Regulation Of Dopamine Metabolic Process -> Biodomain: Neurotransmitter Regulation, Neurotransmitter Metabolism, Synapse, Cell Signaling Pathways, Metabolic Pathways
GO Term: Positive Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Growth Rate -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Striated Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Striated Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Structural Stabilization, Oxidative Stress
GO Term: Carbon Catabolite Regulation Of Transcription -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Embryonic Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Embryonic Development -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Autophagy, Endolysosome, APP Metabolism, Proteostasis
GO Term: Regulation Of T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Transcription By Glucose -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Transcription By Glucose -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Phospholipid:Diacylglycerol Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Inositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Autophagy
GO Term: Adp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Adp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, DNA Repair, Autophagy
GO Term: Amp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ctp Metabolic Process -> Biodomain: Lipid Metabolism, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Gmp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Gmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Gtp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Imp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Itp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Itp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Ump Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Utp Metabolic Process -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Utp Catabolic Process -> Biodomain: RNA Spliceosome, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Dgmp Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Dgmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Dadp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Camp Metabolic Process -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Damp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Datp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Datp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
GO Term: Dgdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Autophagy
GO Term: Cgmp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Cgmp Catabolic Process -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Dgtp Metabolic Process -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Dtmp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Dttp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Dump Catabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Dutp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Adenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Adenine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Adenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Adenosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Deoxycytidine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle
GO Term: Guanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Epigenetic, Oxidative Stress
GO Term: Hypoxanthine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Hypoxanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Inosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Thymidine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Thymidine Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Uridine Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Xanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Catabolic Process -> Biodomain: Nucleobase, Nucleoside and Nucleotide Metabolism, Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Autophagy
GO Term: Purine Deoxyribonucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Purine Ribonucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Pyrimidine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Apoptosis
GO Term: Tetrahydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Alcohol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycerol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerol-3-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Aldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Spermidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nor-Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Spermine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Endolysosome
GO Term: Nitric Oxide Metabolic Process -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Nitric Oxide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Indolalkylamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Aflatoxin Metabolic Process -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Endolysosome
GO Term: Aflatoxin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Coumarin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Stilbene Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Formaldehyde Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Formaldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Glycolate Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Glycolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphocreatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Gluconokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Autophagy
GO Term: Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Metabolic Regulation, Nutrient Transport, Cell Signaling
GO Term: Negative Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Glycerol Biosynthetic Process From Pyruvate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Jnk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Lateral Inhibition -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Immune Response, Apoptosis
GO Term: Smad Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Epigenetic
GO Term: Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Phosphatidylethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Diacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Cdp-Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Disaccharide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Butyrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 2-Oxobutyrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-L-Fucose Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Fructose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Arabinose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Myelination, Proteostasis, Endolysosome
GO Term: Cmp-N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Deoxyribose Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ribose Phosphate Biosynthetic Process -> Biodomain: RNA Spliceosome, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Carboxylic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Carboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Udp-Glucuronate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Polynucleotide 3'-Phosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Atp-Dependent Polydeoxyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Urate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Organophosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Creatinine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dihydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Autophagy
GO Term: Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Hexadecanal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Short-Chain Fatty Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Acylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Membrane Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Platelet Activating Factor Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Autophagy
GO Term: Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Phosphatidic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Glycerophospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Glycosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycosphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Myelination
