Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Synapse, Oxidative Stress
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Endolysosome
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, APP Metabolism
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Cell Cycle
GO Term: Sumo Transferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Aspartoacylase Activity -> Biodomain: Myelination, Lipid Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Polyamine Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Putrescine Binding -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Oxygen Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Apoptosis
GO Term: Stem Cell Population Maintenance -> Biodomain: Epigenetic, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cytolysis -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Isoprenoid Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Rrna Binding -> Biodomain: Proteostasis, Synapse, Autophagy, RNA Spliceosome, Epigenetic
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Epigenetic
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Organelle Inner Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Epigenetic
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Epigenetic
GO Term: Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Kinesin Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Extrinsic Component Of Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Enzyme Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein Kinase Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Protein Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Protein Domain Specific Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, DNA Repair
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Epigenetic
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Synapse, RNA Spliceosome, Structural Stabilization
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Epigenetic
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Synapse
GO Term: Diacylglycerol Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Neural Fold Elevation Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Epigenetic
GO Term: Spinal Cord Development -> Biodomain: Synapse, Nervous System Development, Myelination, Structural Stabilization, Autophagy
GO Term: Spinal Cord Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Proteostasis
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Endolysosome
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Endolysosome
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Developmental Process, Cell Differentiation
GO Term: Rhombomere Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Pons Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Neurogenesis, Developmental Process
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Cell Cycle
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Myelination
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Hindbrain Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellum Structural Organization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ventricular System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Endolysosome, Myelination, Autophagy, Epigenetic
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Autophagy
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Epigenetic
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Developmental Process, Myelination
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Optic Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Nervous System Development, Peripheral Nervous System
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, DNA Repair
GO Term: Lateral Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Third Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Vasculature
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Developmental Biology, Structural Stabilization, Nervous System Development, Cell Cycle
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Epigenetic
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Endolysosome
GO Term: Developmental Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Facial Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Epigenetic
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Putamen Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Myelination
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Endolysosome
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
