Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Proline:Proton Symporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Oxygen Carrier Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Autophagy, Oxidative Stress
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Androgen Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Oxidative Stress, Proteostasis
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: All-Trans Retinal Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Iron Ion Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Calcium Ion Binding -> Biodomain: Synapse, Apoptosis, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Protein Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, RNA Spliceosome
GO Term: Calmodulin Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Synapse
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Profilin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Atp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Gtp Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Macrolide Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Fk506 Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Galactose Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: D-Mannose Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glycosaminoglycan Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Hyaluronic Acid Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Folic Acid Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Phospholipid Transporter Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Pheromone Binding -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Region -> Biodomain: Synapse, Immune Response, Endolysosome, Vasculature, Proteostasis
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Proteostasis
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type Vi Trimer -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Collagen Type Xiv Trimer -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Collagen Type Xvi Trimer -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Synapse
GO Term: Collagen Type Xiii Trimer -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Synapse
GO Term: Basement Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Laminin-1 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Laminin-2 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Laminin-3 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Interstitial Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Extracellular Space -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Nucleus -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Synapse
GO Term: Nuclear Envelope -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nuclear Inner Membrane -> Biodomain: Epigenetic, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Synapse, Autophagy
GO Term: Nuclear Envelope Lumen -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Endolysosome
GO Term: Annulate Lamellae -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Nuclear Pore -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Nuclear Lamina -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Nucleoplasm -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Synapse
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Rna Polymerase Iii Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Cell Cycle
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, DNA Repair
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic,Synapse,Proteostasis,Cell Cycle,RNA Spliceosome
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Synapse, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, DNA Repair
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Synapse, Cell Cycle
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Endolysosome
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Synapse
GO Term: U7 Snrnp -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, DNA Repair
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Structural Stabilization
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Cell Cycle
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Cell Cycle
