Running with TEMP=0.9, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Protein Mannosylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Protein O-Linked Mannosylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Structural Stabilization
GO Term: Endocrine System Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Exocrine System Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Ethanol Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Mirna-Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Mirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Pre-Mirna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Segmentation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Central Nervous System Segmentation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Autophagy
GO Term: Brain Segmentation -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Mitochondrial Metabolism
GO Term: Tube Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 2-Kinase Activity -> Biodomain: Lipid Metabolism, Phosphorylation Processes, Signaling Pathways, Metal Binding and Homeostasis, Endolysosome
GO Term: Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Hair Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Toll-Like Receptor Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Negative Regulation Of Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Peptidyl-Tyrosine Dephosphorylation -> Biodomain: Proteostasis, Synapse, Immune Response, Oxidative Stress, Apoptosis
GO Term: Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Inosine Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Oxidative Stress, Epigenetic
GO Term: Hypoxanthine Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Acetyl-Coa Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heme Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Toll-Like Receptor 2-Toll-Like Receptor 6 Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Autophagy, Oxidative Stress
GO Term: Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Negative Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone Locus Body -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Thymine Transport -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Selenocysteine Insertion Sequence Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Vasculature
GO Term: Chondroitin Sulfate Binding -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Proteostasis
GO Term: Zymogen Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Transepithelial Water Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carbon Dioxide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Carbon Dioxide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Atp-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sterol Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Roundabout Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 9 Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Helper T Cell Enhancement Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Histone H3Y41 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3T11 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3T6 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Autocrine Signaling -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Extracellular Matrix-Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Gluconate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Cyclic-Di-Gmp Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cell Migration Involved In Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Vasculature
GO Term: Nickel Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Borate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Response To Interferon-Alpha -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Interferon-Beta -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cellular Response To Interferon-Alpha -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Interferon-Beta -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Vesicle Cargo Loading -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vitamin Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Determination Of Pancreatic Left/Right Asymmetry -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Choriogonadotropin Hormone Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Chylomicron Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, APP Metabolism, Endolysosome
GO Term: Gastric Emptying -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Adenine/Guanine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Snare Complex Disassembly -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Camp Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Carnosine Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Carnosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Mh2 Domain Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Mh1 Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Metanephric Part Of Ureteric Bud Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Oxidative Rna Demethylation -> Biodomain: Oxidative Stress, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidative Rna Demethylase Activity -> Biodomain: Oxidative Stress, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Broad Specificity Oxidative Dna Demethylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Pr-Dub Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Apoptosis
GO Term: Protein K29-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Monoubiquitinated Protein Deubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Protein K29-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Proline Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nf-Kappab P50/P65 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Retrograde Transport, Plasma Membrane To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Nadh Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Carbohydrate Response Element Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: 8-Oxo-7,8-Dihydrodeoxyguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Determination Of Left/Right Asymmetry In Nervous System -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Intracellular Signal Transduction -> Biodomain: Signal Transduction, Cell Signaling, Kinase Signaling, Phosphorylation, Calcium Signaling
GO Term: Negative Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Kidney Size -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Pronephros Size -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Autophagy
GO Term: Regulation Of Metanephros Size -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Structural Stabilization, Epigenetic
GO Term: Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: N-Terminal Peptidyl-Serine Dimethylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: N-Terminal Peptidyl-Serine Trimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Histone H4K20 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Azurophil Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Azurophil Granule Lumen -> Biodomain: Endolysosome, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Specific Granule Membrane -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Specific Granule Lumen -> Biodomain: Immune Response, Proteostasis, Metal Binding and Homeostasis, Vasculature, Endolysosome
GO Term: Sequestering Of Extracellular Ligand From Receptor -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Sequestering Of Bmp In Extracellular Matrix -> Biodomain: Proteostasis, Extracellular Matrix Organization, Structural Stabilization, Cell Adhesion, Signal Transduction
GO Term: Sequestering Of Tgfbeta In Extracellular Matrix -> Biodomain: Extracellular Matrix, Cell Adhesion, Proteostasis, Signaling Pathways, Structural Stabilization
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Signaling Adaptor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Endolysosome, Synapse
GO Term: Establishment Of Protein Localization To Extracellular Region -> Biodomain: Immune Response, Vasculature, Proteostasis, APP Metabolism, Synapse
GO Term: Ganglioside Binding -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization, Proteostasis
GO Term: Methylthiotransferase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Trna-2-Methylthio-N(6)-Dimethylallyladenosine(37) Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna (N(6)-L-Threonylcarbamoyladenosine(37)-C(2))-Methylthiotransferase Activity -> Biodomain: RNA Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Trna Methylthiolation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism
GO Term: Peptidyl-Cysteine S-Nitrosylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Peptidyl-Cysteine S-Trans-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Protein Deglutamylation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: C-Terminal Protein Deglutamylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Side Chain Deglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Protein Branching Point Deglutamylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ap-2 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Rna Stem-Loop Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Clathrin Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Stress Granule Disassembly -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Er To Golgi Ceramide Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Intrahepatic Bile Duct Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Renal D-Glucose Absorption -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Ceramide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Vasculature, Apoptosis
GO Term: Cd40 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Vasculature
GO Term: Mitochondrial Prohibitin Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Maintenance Of Blood-Brain Barrier -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Stilbenoid -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Purine Ribonucleoside Triphosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair, RNA Spliceosome
GO Term: Exploration Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Tau Homeostasis
GO Term: Locomotory Exploration Behavior -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Histone H3R17 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: L-Dopa Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phosphoanandamide Dephosphorylation -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Enteric Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Endosome To Melanosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Ap-1 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Ap-3 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Clathrin-Coated Vesicle Cargo Loading, Ap-3-Mediated -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Erf1 Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Mon1-Ccz1 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Vesicle Trafficking, Lysosome
GO Term: Toll-Like Receptor 4 Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Toll-Like Receptor 2 Binding -> Biodomain: Immune Response, Inflammation, Signal Transduction, Endolysosome, Autophagy
GO Term: Tirap-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Innate Immune Response, Inflammation, Cytokine Signaling, Lipid Metabolism
GO Term: Trif-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Trif-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Tram-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Oligopeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Oligopeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Tricarboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Posterior Lateral Line Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Memory T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Helper T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Helper T Cell Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Sperm Fibrous Sheath -> Biodomain: Structural Stabilization, Cell Motility, Cytoskeleton Organization, Spermatogenesis, Cellular Component Organization
GO Term: Chemokine (C-C Motif) Ligand 5 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Macrophage Migration Inhibitory Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Nos2-Cd74 Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mitochondrial Protein Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitophagy By Internal Vacuole Formation -> Biodomain: Autophagy, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Inflammatory Response, Endolysosome
GO Term: Hematopoietic Stem Cell Migration -> Biodomain: Hematopoiesis, Cell Motility, Immune Response, Vasculature, Regeneration
