Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Microtubule-Dependent Intracellular Transport Of Viral Material Towards Nucleus -> Biodomain: Cytoskeleton, Viral Processes, Intracellular Trafficking and Transport, Host-Pathogen Interaction, Cellular Structural Organization
GO Term: Ires-Dependent Viral Translational Initiation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Viral Translational Frameshifting -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Viral Translational Termination-Reinitiation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Transport Of Viral Material Towards Nucleus -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Establishment Of Integrated Proviral Latency -> Biodomain: DNA Repair, Epigenetic, Immune Response, Apoptosis, Proteostasis
GO Term: Viral Penetration Into Host Nucleus -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Intracellular Transport Of Virus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: S-Nitrosoglutathione Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cul4-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Alcohol-Forming Very Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Phosphatidylinositol-3,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Gdp-D-Glucose Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellobiose Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Primary Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Caax-Box Protein Maturation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Amp Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Amp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Proteasome Core Complex Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Regulation Of Cellular Response To Stress -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Immune Response, DNA Repair
GO Term: Intracellular Amino Acid Homeostasis -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: L-Cysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Fertilization -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Hydrogen Peroxide Transmembrane Transport -> Biodomain: Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Phenylpropanoid -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Entry Into Host Cell By A Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein K6-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis
GO Term: Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Cardiac Muscle Cell Action Potential Involved In Contraction -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Vasculature, Proteostasis
GO Term: Cardiac Muscle Cell Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Muscle Function, Cardiac Function, Ion Homeostasis, Electrophysiology, Cellular Signaling
GO Term: Voltage-Gated Sodium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Voltage-Gated Calcium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Repolarization -> Biodomain: Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Myelination
GO Term: Membrane Repolarization During Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Vasculature
GO Term: Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Cardiac, Action Potential, Ion Transport, Electrophysiology, Muscle
GO Term: Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Sa Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Synapse, Vasculature
GO Term: Av Node Cell Action Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Gap Junction Channel Activity Involved In Sa Node Cell-Atrial Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Av Node Cell To Bundle Of His Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Signaling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Calcium:Sodium Antiporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Synapse, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Depolarization -> Biodomain: Ion Channel Activity, Electrophysiology, Cardiovascular System, Metal Binding and Homeostasis, Synapse
GO Term: Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Proteostasis
GO Term: Membrane Depolarization During Sa Node Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Membrane Depolarization During Purkinje Myocyte Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Membrane Depolarization During Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Membrane Repolarization During Bundle Of His Cell Action Potential -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Membrane Repolarization During Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Av Node Cell To Bundle Of His Cell Communication By Electrical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Cell Cycle
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Voltage-Gated Calcium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Voltage-Gated Calcium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Voltage-Gated Calcium Channel Activity Involved Sa Node Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Ion Channel, Cardiovascular, Electrophysiology, Cardiac Conduction, Action Potential
GO Term: Voltage-Gated Sodium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Ion Channel Activity, Cardiac Function, Electrophysiology, Structural Stabilization, Synapse
GO Term: Voltage-Gated Sodium Channel Activity Involved In Purkinje Myocyte Action Potential -> Biodomain: Vasculature, Structural Stabilization, Myelination, Synapse, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity Involved In Sa Node Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Cell Communication Involved In Cardiac Conduction -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Av Node Cell To Bundle Of His Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Av Node Cell-Bundle Of His Cell Adhesion Involved In Cell Communication -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Bundle Of His Cell-Purkinje Myocyte Adhesion Involved In Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Epigenetic
GO Term: Gap Junction Channel Activity Involved In Cardiac Conduction Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Gap Junction Channel Activity Involved In Atrial Cardiac Muscle Cell-Av Node Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Gap Junction Channel Activity Involved In Av Node Cell-Bundle Of His Cell Electrical Coupling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Proteostasis, Vasculature
GO Term: Gap Junction Channel Activity Involved In Bundle Of His Cell-Purkinje Myocyte Electrical Coupling -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Gap Junction Channel Activity Involved In Purkinje Myocyte-Ventricular Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Protein Binding Involved In Heterotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Cell Adhesive Protein Binding Involved In Av Node Cell-Bundle Of His Cell Communication -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Cell Adhesive Protein Binding Involved In Bundle Of His Cell-Purkinje Myocyte Communication -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Voltage-Gated Potassium Channel Activity Involved In Bundle Of His Cell Action Potential Repolarization -> Biodomain: Ion Channel, Cardiac Conduction, Electrophysiology, Cardiovascular, Membrane Physiology
GO Term: Voltage-Gated Potassium Channel Activity Involved In Atrial Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Repolarization -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Heart Rate By Cardiac Conduction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Regulation Of The Force Of Heart Contraction By Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Phospholipase C-Activating Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Angiotensin-Activated Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Signal Transduction, Gene Expression Regulation, Cell Growth, Vascular Remodeling
GO Term: Endothelin Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: G Protein-Coupled Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: U2Af Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: L-Histidine Transmembrane Export From Vacuole -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Histidine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Trna (L-Threonylcarbamoyladenosine(37)-C2) Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, RNA Spliceosome
GO Term: Amino Acid Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Caspase Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Primitive Streak Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Synapse
GO Term: Positive Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Structural Stabilization
GO Term: Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Thalamus Size -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Proteostasis
GO Term: Positive Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Positive Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Relaxation Of Muscle -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Relaxation Of Skeletal Muscle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mapkkk Cascade By Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Positive Regulation Of Extracellular Matrix Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, Vasculature
GO Term: Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Autophagy, Apoptosis
GO Term: Metanephric Cap Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Apoptosis
GO Term: Positive Regulation Of Metanephric Cap Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Immune Response
GO Term: Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Immune Response
GO Term: Cochlea Development -> Biodomain: Sensory Organ Development, Structural Stabilization, Synapse, Cell Differentiation, Epigenetic
GO Term: Cochlea Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Pancreatic Epsilon Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Copii-Coated Vesicle Cargo Loading -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copii-Coated Vesicle Budding -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endosome To Lysosome Transport Of Low-Density Lipoprotein Particle -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, APP Metabolism
GO Term: Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Vesicle-Mediated Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Ester Hydrolysis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein-Containing Complex Assembly Involved In Synapse Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Mesenchyme Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Epithelium Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Epigenetic
GO Term: Mesendoderm Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Cell Migration Involved In Mesendoderm Migration -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Actin Filament Branching -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Epithelial Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Actin Cytoskeleton Organization By Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Membrane Fission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Mitochondrial Membrane Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Establishment Of Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane Involved In Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
