Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Mannosylation -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, APP Metabolism, Structural Stabilization
GO Term: Protein O-Linked Mannosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endocrine System Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Exocrine System Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Ethanol Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Mirna-Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Mirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Pre-Mirna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Segmentation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Central Nervous System Segmentation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Brain Segmentation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Tube Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 2-Kinase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Phosphorylation Signaling, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Tau Homeostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Immune Response, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Hair Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Epigenetic
GO Term: Toll-Like Receptor Binding -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Peptidyl-Tyrosine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Long-Chain Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Inosine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Hypoxanthine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Acetyl-Coa Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Heme Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Membrane Transport, Metabolic Processes, Redox Homeostasis, Epigenetic
GO Term: Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Toll-Like Receptor 2-Toll-Like Receptor 6 Protein Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Histone Locus Body -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Thymine Transport -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Selenocysteine Insertion Sequence Binding -> Biodomain: RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Tau Homeostasis
GO Term: Chondroitin Sulfate Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Zymogen Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Transepithelial Water Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Carbon Dioxide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Autophagy
GO Term: Carbon Dioxide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Atp-Gated Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Sterol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Myelination, Autophagy
GO Term: Roundabout Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 9 Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Helper T Cell Enhancement Of Adaptive Immune Response -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Histone H3Y41 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Histone H3T11 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3T6 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Autocrine Signaling -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Extracellular Matrix-Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Gluconate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis
GO Term: Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cyclic-Di-Gmp Binding -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Autophagy
GO Term: Cell Migration Involved In Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nickel Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Borate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Response To Interferon-Alpha -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Interferon-Beta -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Interferon-Alpha -> Biodomain: Immune Response, Autophagy, Proteostasis, Endolysosome, Synapse
GO Term: Cellular Response To Interferon-Beta -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Vesicle Cargo Loading -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Vitamin Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Determination Of Pancreatic Left/Right Asymmetry -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Choriogonadotropin Hormone Receptor Activity -> Biodomain: Hormone Signaling, GPCR Signaling, Reproduction, Cellular Differentiation, Endocrine System
GO Term: Lipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Chylomicron Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Gastric Emptying -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Adenine/Guanine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Snare Complex Assembly -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Snare Complex Disassembly -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Camp Response Element Binding -> Biodomain: Epigenetic, Synapse, Immune Response, Autophagy, Apoptosis
GO Term: Carnosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Carnosine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Mh2 Domain Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Mh1 Domain Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Metanephric Part Of Ureteric Bud Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Oxidative Rna Demethylation -> Biodomain: Oxidative Stress, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidative Rna Demethylase Activity -> Biodomain: Oxidative Stress, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Broad Specificity Oxidative Dna Demethylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Pr-Dub Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Protein K29-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Monoubiquitinated Protein Deubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Protein K29-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin System, Endolysosome, Autophagy, Signaling
GO Term: Proline Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Nf-Kappab P50/P65 Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Retrograde Transport, Plasma Membrane To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Nadh Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Carbohydrate Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: 8-Oxo-7,8-Dihydrodeoxyguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Determination Of Left/Right Asymmetry In Nervous System -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Intracellular Signal Transduction -> Biodomain: Cell Signaling, Signal Transduction, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Kidney Size -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Regulation Of Pronephros Size -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Vasculature, Apoptosis
GO Term: Regulation Of Metanephros Size -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Vasculature
GO Term: Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: N-Terminal Peptidyl-Serine Dimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: N-Terminal Peptidyl-Serine Trimethylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Histone H4K20 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Azurophil Granule Membrane -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Azurophil Granule Lumen -> Biodomain: Endolysosome, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Specific Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Specific Granule Lumen -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Sequestering Of Extracellular Ligand From Receptor -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Sequestering Of Bmp In Extracellular Matrix -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Sequestering Of Tgfbeta In Extracellular Matrix -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Signaling Adaptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Establishment Of Protein Localization To Extracellular Region -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, APP Metabolism
GO Term: Ganglioside Binding -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Methylthiotransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Trna-2-Methylthio-N(6)-Dimethylallyladenosine(37) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Trna (N(6)-L-Threonylcarbamoyladenosine(37)-C(2))-Methylthiotransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Trna Methylthiolation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Immune Response, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Peptidyl-Cysteine S-Nitrosylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Immune Response, Apoptosis
GO Term: Peptidyl-Cysteine S-Trans-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Nitric Oxide Signaling, Metal Binding and Homeostasis, Apoptosis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Orbitofrontal Cortex Development -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Protein Deglutamylation -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Cell Cycle
GO Term: C-Terminal Protein Deglutamylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Side Chain Deglutamylation -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Protein Branching Point Deglutamylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ap-2 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Rna Stem-Loop Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Clathrin Adaptor Activity -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Myelination
GO Term: Stress Granule Disassembly -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Er To Golgi Ceramide Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Intrahepatic Bile Duct Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Renal D-Glucose Absorption -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: Ceramide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Cd40 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Prohibitin Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Maintenance Of Blood-Brain Barrier -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Response To Stilbenoid -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Purine Ribonucleoside Triphosphate Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Exploration Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Locomotory Exploration Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Histone H3R17 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis
GO Term: L-Dopa Receptor Activity -> Biodomain: Neurotransmission, Neurotransmitter Metabolism, Signal Transduction, GPCR Signaling, Cellular Response
GO Term: Phosphoanandamide Dephosphorylation -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Enteric Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Endosome To Melanosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Ap-1 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Ap-3 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Clathrin-Coated Vesicle Cargo Loading, Ap-3-Mediated -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Erf1 Methyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Protein Modification, RNA Processing, Translation
GO Term: Mon1-Ccz1 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Toll-Like Receptor 4 Binding -> Biodomain: Immune Response, Pathogen Response, Cell Surface Receptor, Signal Transduction, Inflammation
GO Term: Toll-Like Receptor 2 Binding -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tirap-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Trif-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Trif-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Tram-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Oligopeptide Transmembrane Transport -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Oligopeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tricarboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Posterior Lateral Line Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Memory T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Helper T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Helper T Cell Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Sperm Fibrous Sheath -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Chemokine (C-C Motif) Ligand 5 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Macrophage Migration Inhibitory Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Nos2-Cd74 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Protein Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitophagy By Internal Vacuole Formation -> Biodomain: Autophagy, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
