Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Extracellular Matrix, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Endolysosome
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Glycosaminoglycan Metabolism, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism, Immune Response
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, APP Metabolism
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Hyaluronan Metabolic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Cell Cycle
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Erythrocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Platelet Formation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Endolysosome, Lipid Metabolism
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Vasculature
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Unknown, Structural Stabilization
GO Term: Male Sex Determination -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, RNA Spliceosome
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Mitochondrial Metabolism, Cell Cycle
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Polysaccharide Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Cell Cycle
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Growth Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Endolysosome
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Unknown
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lim Domain Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Lrr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Unknown
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Unknown
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Skin, Extracellular Matrix, Cell Adhesion, Keratinization
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Unknown
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Synapse, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Deoxynucleotide Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Immune Response, Vasculature, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Unknown, Unknown, Unknown
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Melanocyte Differentiation -> Biodomain: Epigenetic, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Stabilization Of Membrane Potential -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Respiratory Tube Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Lung Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Unknown
GO Term: Adrenal Gland Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Cell Cycle, Apoptosis
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Vasculature
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Myelination
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Molybdopterin Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Vasculature, Unknown, Structural Stabilization, Apoptosis
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Unknown
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Lactose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Unknown, Cell Cycle, DNA Repair
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Defecation -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Proteostasis
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Site Of Polarized Growth -> Biodomain: Cell Cycle, Synapse, Myelination, Tau Homeostasis, Structural Stabilization
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy, Apoptosis
GO Term: Sleep -> Biodomain: Synapse, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Peristalsis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Unknown
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Unknown, Proteostasis
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Hemoglobin Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Structural Stabilization, Cellular Energy Production
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Apoptosis, Proteostasis
GO Term: Inorganic Diphosphate Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, DNA Repair, Mitochondrial Metabolism, Endolysosome
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Bmp Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Immune Response
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Adult Behavior -> Biodomain: Synapse, Myelination, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Male Genitalia Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Epigenetic, Unknown
GO Term: Female Genitalia Development -> Biodomain: Unknown, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Structural Stabilization
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Unknown, Oxidative Stress
GO Term: Cyclic Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Vasculature
GO Term: Camp Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cgmp Binding -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Pml Body Organization -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Apoptosis, Unknown
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
