Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Proteostasis, Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Structural Stabilization, Vasculature
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Apoptosis, Proteostasis
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Myelination
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Vasculature
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Autophagy
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Vasculature, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Autophagy
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Vasculature, Immune Response
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Vasculature
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Endolysosome, Autophagy, Synapse, Vasculature, Immune Response
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Apoptosis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Sodium Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Metal Binding and Homeostasis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Apoptosis
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Transport, Neurotransmitter Metabolism, Proteostasis, Structural Stabilization
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Myelination, Vasculature
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse
GO Term: Oxygen Carrier Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Vasculature, Autophagy
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Myelination, Oxidative Stress
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Structural Stabilization, Myelination
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Proteostasis
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Endolysosome, Synapse, Oxidative Stress
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Proteostasis
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Myelination, Mitochondrial Metabolism, Autophagy
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Structural Stabilization, Autophagy
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response, Epigenetic
GO Term: Androgen Binding -> Biodomain: Hormone Signaling, Steroid Metabolism, Protein Binding, Transcription Regulation, Receptor Activity
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Cell Cycle, Proteostasis
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Small Molecule Binding, Proteostasis, Synapse, Oxidative Stress
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Calcium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Apoptosis
GO Term: Detection Of Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, APP Metabolism, Epigenetic
GO Term: Calmodulin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Immune Response
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Gtp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: Macrolide Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Fk506 Binding -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Galactose Binding -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Proteostasis, Synapse
GO Term: D-Mannose Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Glycosaminoglycan Binding -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Hyaluronic Acid Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Folic Acid Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Endolysosome, Synapse
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Synapse
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Autophagy, Vasculature
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pheromone Binding -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Cellular Component -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Synapse, Structural Stabilization
GO Term: Extracellular Region -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix, Vasculature, Proteostasis, Immune Response
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix, Cell Adhesion, Basement Membrane
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix Organization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization  
Vasculature  
Proteostasis  
Lipid Metabolism  
Cell Cycle
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix, Proteostasis, Lipid Metabolism
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Synapse
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Laminin-2 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Cell Adhesion, Vasculature, Connective Tissue, Lipid Metabolism
GO Term: Extracellular Space -> Biodomain: Immune Response, Vasculature, Synapse, APP Metabolism, Oxidative Stress
GO Term: Nucleus -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis
GO Term: Nuclear Envelope -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Nuclear Inner Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Nuclear Outer Membrane -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Annulate Lamellae -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Nuclear Pore -> Biodomain: Structural Stabilization  
Proteostasis  
Endolysosome  
Cell Cycle  
Autophagy
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Autophagy
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
