Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Elastin Catabolic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Elastin Catabolic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Oxidative Stress
GO Term: Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Vasculature, Oxidative Stress
GO Term: Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Definitive Erythrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Primitive Erythrocyte Differentiation -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Head Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Head Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Face Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Face Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cytoplasmic Actin-Based Contraction Involved In Cell Motility -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Synapse, Apoptosis
GO Term: Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, APP Metabolism
GO Term: Photoreceptor Inner Segment Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Spleen Trabecula Formation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Bone Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Heart Trabecula Formation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Vasculature
GO Term: Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Regulation Of Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cranial Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Frontal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Lambdoid Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Sagittal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Susceptibility To T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis
GO Term: Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Brood Size -> Biodomain: Unknown, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Axonogenesis Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Synapse Assembly Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Regulation Of Smad Protein Signal Transduction -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Smad Protein Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: Smad Protein Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Growth Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Immune Response
GO Term: Growth Hormone Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Signal Transduction, Receptor Signaling, Transcriptional Regulation, Hormone Activity, Cell Cycle
GO Term: Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Autophagy, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Immune Response, Endolysosome
GO Term: Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Immune Response, Vasculature
GO Term: Axonemal Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Penile Erection -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Unknown, Immune Response, Apoptosis
GO Term: Regulation Of Acetylcholine Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Cardiac Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Unknown
GO Term: Ventricular Septum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Atrial Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Response To Growth Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Heart Growth -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Heart Growth -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Peptidyl-Dipeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Vasculature, Endolysosome, Autophagy
GO Term: Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Unknown
GO Term: Lung Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Lung Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Lung Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Lung Saccule Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Unknown
GO Term: Primary Lung Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Endolysosome
GO Term: Bronchus Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Bronchus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Bronchiole Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Bronchiole Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Lung Growth -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Trachea Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Trachea Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Trachea Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Mammary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Unknown, Lipid Metabolism, Proteostasis
GO Term: Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Bud Outgrowth Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Lung Branching -> Biodomain: Vasculature, Structural Stabilization, Unknown, Autophagy, Lipid Metabolism
GO Term: Bud Elongation Involved In Lung Branching -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Hindgut Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Unknown
GO Term: Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Gastric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Gastric Acid Secretion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Positive Regulation Of Digestive System Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Right Lung Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Autophagy
GO Term: Left Lung Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Left Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Epigenetic
GO Term: Right Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Unknown
GO Term: Lung Lobe Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Activation Of Meiosis Involved In Egg Activation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Prevention Of Polyspermy -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Unknown
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Egg Activation -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Cortical Granule Exocytosis -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Cortical Granule -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Flagellated Sperm Motility Involved In Capacitation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Acrosomal Vesicle Exocytosis -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Lung Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Vasculature, Epigenetic, Autophagy
GO Term: Lobar Bronchus Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Lobar Bronchus Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Lung-Associated Mesenchyme Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Club Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Lung Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Orthogonal Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Unknown
GO Term: Planar Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Lateral Sprouting Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Regulation Of Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Lung Induction -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Autophagy
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Lung Development -> Biodomain: Vasculature, Immune Response, Epigenetic, Cell Cycle, Unknown
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Structural Stabilization, Unknown
GO Term: Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Bud Dilation Involved In Lung Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Unknown
GO Term: Smoothened Signaling Pathway Involved In Lung Development -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Type I Pneumocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Type Ii Pneumocyte Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Prostatic Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Prostate Induction -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Primary Prostatic Bud Elongation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Epigenetic, Proteostasis
GO Term: Epithelial Cell Proliferation Involved In Prostatic Bud Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Prostate Epithelial Cord Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Prostate Epithelial Cord Arborization Involved In Prostate Glandular Acinus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Unknown, Epigenetic, Cell Cycle
GO Term: Secretory Columnal Luminar Epithelial Cell Differentiation Involved In Prostate Glandular Acinus Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Squamous Basal Epithelial Stem Cell Differentiation Involved In Prostate Gland Acinus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Unknown, Endolysosome
GO Term: Bronchus Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Unknown
GO Term: Trachea Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Trachea Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Skeletal Muscle Organ Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Diaphragm Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Vasculature
GO Term: Respiratory System Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Necroptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Developmental Growth Involved In Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Unknown
GO Term: Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Synapse, Vasculature
GO Term: Epithelial Tube Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome, Apoptosis
GO Term: Positive Regulation Of Termination Of Dna-Templated Transcription -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Morphogenesis Of An Epithelial Fold -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Endolysosome
GO Term: Intestinal Epithelial Cell Maturation -> Biodomain: Epithelial Function, Developmental Biology, Organismal Systems, Cell Differentiation, Cell Growth and Proliferation
GO Term: Intestinal Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Intestinal Epithelial Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Pulmonary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Superior Vena Cava Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Ventral Spinal Cord Interneuron Fate Commitment -> Biodomain: Epigenetic, Synapse, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Fate Determination -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, Unknown
GO Term: Multicellular Organismal-Level Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Negative Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Nucleoside-Triphosphatase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Atpase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Chondroblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Mammary Gland Formation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Mammary Gland Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Unknown
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Mammary Gland Specification -> Biodomain: Developmental Biology, Receptor Signaling, Cell Communication, Organ Development, Growth Factor Signaling
GO Term: Mammary Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Lateral Sprouting Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Lateral Sprouting From An Epithelium -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Branch Elongation Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Endolysosome
GO Term: Tube Closure -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Mammary Gland Fat Development -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Immune Response, Endolysosome
GO Term: Adipose Tissue Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Fat Pad Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Mammary Gland Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Unknown, Immune Response
GO Term: Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Myelination, Structural Stabilization
