Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Female Meiosis Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Chromosome Organization, DNA Repair, Epigenetic, Proteostasis
GO Term: Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Mitotic Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Mitotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Mitotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Mitotic Nuclear Membrane Reassembly -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, DNA Repair, Proteostasis
GO Term: Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Traversing Start Control Point Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Metaphase/Anaphase Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Mitotic G2 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Nuclear Migration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Male Meiosis Cytokinesis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Endomitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Autophagy
GO Term: Homologous Chromosome Pairing At Meiosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Synaptonemal Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Male Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Male Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Female Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Meiotic Recombination Nodule Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Female Meiosis Ii -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Cell Communication -> Biodomain: Synapse, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Neuron Cell-Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, APP Metabolism
GO Term: Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Cell Cycle
GO Term: Calcium-Independent Cell-Matrix Adhesion -> Biodomain: Cell Adhesion, Structural Stabilization, Extracellular Matrix Organization, Cellular Migration, Cell-Matrix Junction
GO Term: Negative Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Signal Transduction -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Synapse, Cell Cycle
GO Term: Enzyme-Linked Receptor Protein Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Signal Complex Assembly -> Biodomain: Signal Transduction, Cellular Signaling, Protein Complex Assembly, Molecular Assembly, Intracellular Signaling
GO Term: Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Epidermal Growth Factor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Endolysosome
GO Term: Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Structural Stabilization, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Complex Assembly -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cell Surface Receptor Protein Tyrosine Phosphatase Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Immune Response, Cell Cycle, Proteostasis
GO Term: G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Signal Transduction, Neurotransmission, Vasculature, Synapse, Immune Response
GO Term: Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: GPCR Signaling, Signal Transduction, cAMP Signaling, Cellular Metabolism, Enzyme Activity
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Activation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Adenylate Cyclase-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: G Protein-Coupled Receptor Signaling Pathway Coupled To Cgmp Nucleotide Second Messenger -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Apoptosis, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Phospholipase C-Activating G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phospholipase C-Activating G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Epigenetic, Proteostasis
GO Term: Phospholipase C-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: G Protein-Coupled Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Autophagy, Epigenetic, Vasculature
GO Term: G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Gamma-Aminobutyric Acid Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Immune Response
GO Term: Tachykinin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Neuropeptide Signaling Pathway -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Notch Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Notch Receptor Processing -> Biodomain: Proteostasis, Cell Cycle, APP Metabolism, Apoptosis, Autophagy
GO Term: Positive Regulation Of Transcription Of Notch Receptor Target -> Biodomain: Developmental Biology, Transcription Factors, Cell Communication, Gene Expression Regulation, Cellular Processes
GO Term: Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Vasculature, Synapse
GO Term: Patched Ligand Maturation -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Integrin-Mediated Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Osmosensory Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Proteostasis, Apoptosis
GO Term: Activation Of Nf-Kappab-Inducing Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: I-Kappab Phosphorylation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Jnk Cascade -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Jun Phosphorylation -> Biodomain: Apoptosis, Oxidative Stress, Cell Cycle, Immune Response, Proteostasis
GO Term: Cell Surface Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Nitric Oxide Mediated Signal Transduction -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Small Gtpase-Mediated Signal Transduction -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Ras Protein Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Cell-Cell Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neurotransmitter Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neuron-Neuron Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Multicellular Organism Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Gamete Generation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Germ Cell Development -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Spermatogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Spermatogonial Cell Division -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Spermatid Development -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Sperm Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Spermatid Nucleus Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Spermatid Nucleus Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Sperm Individualization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Female Gamete Generation -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Vitellogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Oocyte Axis Specification -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Insemination -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Vasculature, DNA Repair
GO Term: Sperm Displacement -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Peptide Pheromone Maturation -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Single Fertilization -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Binding Of Sperm To Zona Pellucida -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Acrosome Reaction -> Biodomain: Apoptosis, Proteostasis, Synapse, Cell Cycle, Structural Stabilization
GO Term: Penetration Of Zona Pellucida -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Fusion Of Sperm To Egg Plasma Membrane Involved In Single Fertilization -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis
GO Term: Egg Activation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Pronuclear Fusion -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Zygotic Specification Of Dorsal/Ventral Axis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Zygotic Determination Of Anterior/Posterior Axis, Embryo -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Thorax And Anterior Abdomen Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Determination Of Left/Right Symmetry -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Ventral Midline Determination -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Segment Specification -> Biodomain: Developmental Biology, Morphogenesis, Gene Expression Regulation, Cell Differentiation, Embryogenesis
GO Term: Compartment Pattern Specification -> Biodomain: Developmental Biology, Cell Differentiation, Cell Morphogenesis, Pattern Specification, Anatomical Structure Morphogenesis
GO Term: Anterior Compartment Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Posterior Compartment Specification -> Biodomain: Developmental Biology, Cell Fate, Morphogenesis, Embryogenesis, Pattern Specification
GO Term: Pattern Specification Process -> Biodomain: Epigenetic, Vasculature, Autophagy, Apoptosis, Structural Stabilization
GO Term: Ectoderm Development -> Biodomain: Synapse, Myelination, Epigenetic, Cell Cycle, Tau Homeostasis
GO Term: Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Neuroblast Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Glial Cell Fate Determination -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Neuroblast Proliferation -> Biodomain: Cell Cycle, Synapse, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Axonogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Tau Homeostasis, Proteostasis
GO Term: Axon Target Recognition -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Axonal Fasciculation -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Myelination
GO Term: Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Central Nervous System Development -> Biodomain: Synapse, Myelination, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Ventral Midline Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Brain Development -> Biodomain: Synapse, Myelination, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Peripheral Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Sensory Organ Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Salivary Gland Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Foregut Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Hindgut Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Endoderm Development -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Endodermal Cell Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Midgut Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Visceral Mesoderm-Endoderm Interaction Involved In Midgut Development -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Posterior Midgut Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Mesoderm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Ectoderm And Mesoderm Interaction -> Biodomain: Developmental Biology, Morphogenesis, Cell Signaling, Neural Development, Vasculature Development
GO Term: Mesodermal Cell Fate Determination -> Biodomain: Developmental Biology, Cell Differentiation, Stem Cell Biology, Signal Transduction, Transcription Regulation
GO Term: Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Gonadal Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Heart Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mesoderm Migration Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Adult Heart Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Myoblast Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Myoblast Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Muscle Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Visceral Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Somatic Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Establishment Of Synaptic Specificity At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, DNA Repair
GO Term: Primary Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, RNA Spliceosome
GO Term: Sex Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Immune Response, Structural Stabilization
GO Term: Sex-Chromosome Dosage Compensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Female Pregnancy -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Embryo Implantation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Parturition -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Respiratory Gaseous Exchange By Respiratory System -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Body Fluid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Lactation -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Blood Coagulation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Blood Coagulation, Intrinsic Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Blood Coagulation, Extrinsic Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Hemostasis -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Sensory Perception -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Visual Perception -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Phototransduction -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Phototransduction, Visible Light -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Phototransduction, Uv -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Sensory Perception Of Sound -> Biodomain: Synapse, Sensory, Cognition, Neuronal Processes, Vasculature
GO Term: Sensory Perception Of Chemical Stimulus -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
