Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Intramolecular Hydroxytransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hyaluronan Synthase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Autophagy, Endolysosome
GO Term: Glucuronosyl-N-Acetylglucosaminyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycan Metabolism, Structural Stabilization, Carbohydrate Metabolism, Proteostasis, Unknown
GO Term: N-Acetylglucosaminyl-Proteoglycan 4-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Unknown, Vasculature, Immune Response
GO Term: N-Acetylgalactosaminyl-Proteoglycan 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Lactosylceramide 4-Alpha-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Vasculature, Unknown
GO Term: Acyloxyacyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Arachidonate Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Aspartate-Trna(Asn) Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Glutamate-Trna(Gln) Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Unknown
GO Term: Glutaminyl-Trna Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Unknown
GO Term: Protein-Glutamine Glutaminase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: 1,5-Anhydro-D-Fructose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Gdp-L-Fucose Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: 4-Hydroxymandelate Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Quinine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methylarsonate Reductase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Apoptosis
GO Term: Delta14-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Delta24-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Proteostasis, Autophagy
GO Term: Propionyl-Coa C2-Trimethyltridecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Acetyl-Coa C-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: 5-Oxo-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: 5-Hydroxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 5(S)-Hydroxyperoxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Testosterone 6-Beta-Hydroxylase Activity -> Biodomain: Steroid Metabolism, Hormone Metabolism, Oxidation-Reduction, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Synapse
GO Term: Dermatan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Glycosylation, Proteoglycan Metabolism, Extracellular Matrix Organization, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Synapse, Autophagy
GO Term: Dermatan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Immune Response
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Rna Transport -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylgalactosamine 4-Sulfate 6-O-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Flavin Adenine Dinucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Homocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Homocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Tissue Regeneration, Immune Response, Vasculature
GO Term: Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Vasculature
GO Term: Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Immune Response, Autophagy
GO Term: Positive Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Epithelial Cell Proliferation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Nuclear Androgen Receptor Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Af-2 Domain Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Af-1 Domain Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Regulation Of Mrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Signal Transduction, Apoptosis
GO Term: Dna Binding Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Lbd Domain Binding -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Galactose 3-O-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Proteoglycan Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Ww Domain Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Card Domain Binding -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Immune Response, Unknown
GO Term: Regulation Of Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Vasculature, Immune Response
GO Term: Negative Regulation Of Protein Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Synapse
GO Term: Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Cell Cycle, Immune Response, Synapse, Vasculature, Epigenetic
GO Term: Negative Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Rs Domain Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Phagocytosis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Neurogenesis -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Axonogenesis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Axon Guidance, Neurogenesis
GO Term: Negative Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Myelination
GO Term: Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Negative Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immune Response -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Rna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: Cocaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Advanced Glycation End-Product Receptor Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Rage Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Endolysosome
GO Term: Detoxification Of Mercury Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Developmental Process -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Immune Response
GO Term: Regulation Of Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Immune Response, Lipid Metabolism
GO Term: Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Endolysosome
GO Term: Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Regulation Of Synapse Structure Or Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gaba Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Regulation Of Acyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Phosphoserine Residue Binding -> Biodomain: Proteostasis, Signal Transduction, Epigenetic, Cell Cycle, Apoptosis
GO Term: Phosphothreonine Residue Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Coagulation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Protein Stabilization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Tau Homeostasis, Structural Stabilization
GO Term: Peptide Antigen Stabilization -> Biodomain: Proteostasis, Immune Response, Endolysosome, Structural Stabilization, Autophagy
GO Term: Defense Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Defense Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Defense Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Autophagy
GO Term: Pyruvate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Cell Adhesion Molecule Binding -> Biodomain: Structural Stabilization, Immune Response, Synapse, Vasculature, Myelination
GO Term: Extracellular Matrix Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Progesterone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Negative Regulation Of Calcium-Mediated Signaling -> Biodomain: Calcium Homeostasis, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Calcium-Mediated Signaling -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Synapse, Apoptosis, Proteostasis
GO Term: T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Positive Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cell Activation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: White Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Nervous System Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Body Fluid Levels -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Musculoskeletal Movement -> Biodomain: Structural Stabilization, Synapse, Myelination, Mitochondrial Metabolism, Vasculature
GO Term: Voluntary Musculoskeletal Movement -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Musculoskeletal Movement, Spinal Reflex Action -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Neuromuscular Process Controlling Posture -> Biodomain: Synapse, Structural Stabilization, Muscle System, Proteostasis, Vasculature
GO Term: Neuromuscular Process Controlling Balance -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Vasculature
GO Term: Cognition -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Multicellular Organismal-Level Water Homeostasis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Intestinal Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Endolysosome
GO Term: Sensory Processing -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Determination Of Affect -> Biodomain: Synapse, Epigenetic, Immune Response, Oxidative Stress, Unknown
GO Term: Cobalt Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Leukocyte Adhesive Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Neuromuscular Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Detection Of Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Unknown
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Detection Of Light Stimulus Involved In Visual Perception -> Biodomain: Synapse, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Sensory Perception Of Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Cell Cycle, Unknown
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Vasculature
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Endolysosome, Vasculature
GO Term: Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Sensory Perception Of Salty Taste -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Immune Response
GO Term: Sensory Perception Of Sour Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Sensory Perception Of Umami Taste -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Induction Of Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Unknown
GO Term: Induction Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Pigment Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Pigment Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Sensory Perception Of Temperature Stimulus -> Biodomain: Synapse, Myelination, Vasculature, Oxidative Stress, Proteostasis
GO Term: Sensory Perception Of Light Stimulus -> Biodomain: Synapse, Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Sensory Perception Of Mechanical Stimulus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Thermoception -> Biodomain: Sensory Perception, Signal Transduction, Neuronal Signaling, Membrane Transport, Ion Homeostasis
GO Term: Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Detection Of Temperature Stimulus Involved In Thermoception -> Biodomain: Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
