Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Epigenetic, Endolysosome
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Apoptosis
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Synapse, Proteostasis, Autophagy
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome  
Proteostasis  
Epigenetic  
Autophagy  
DNA Repair
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Autophagy
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Epithelial Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Synapse
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Apoptosis
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Cell Communication, Structural Stabilization, Proteostasis, Ion Homeostasis
GO Term: Regulation Of Cell Communication -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Myelination
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ectodermal Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetyltransferase Activator Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization  
Extracellular Matrix Organization  
Vasculature  
Cell Adhesion  
Proteostasis
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Vasculature, Immune Response
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Developmental Process, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Immune Response
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Vasculature, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Protein Kinase A Signaling -> Biodomain: Signal Transduction, Transcriptional Regulation, Metabolic Pathways, Cellular Response, Cell Communication
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Signal Transduction, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress, Vasculature
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Autophagy, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Cell Cycle, Epigenetic, Immune Response
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Autophagy, Apoptosis
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Proteostasis  
Immune Response  
Vasculature  
Apoptosis  
Lipid Metabolism
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Fibroblast Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Epigenetic
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Autophagy, Apoptosis
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Response to Stress, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Neuropeptide Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Substance P Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Apoptosis
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of Hormone Levels -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Vasculature
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Chemokine Signaling, Cytokine Signaling, Cell Motility and Migration, Immune Cell Trafficking
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Cell Migration, Cell Motility, Response to Stimulus, Locomotion
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Vasculature, Autophagy
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle  
Apoptosis  
Proteostasis  
Structural Stabilization  
Autophagy
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Epigenetic, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Circadian, Behavior, Regulation, Rhythmic Process, Multicellular
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Reproductive Process, Structural Stabilization
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Cell Cycle
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature, Endolysosome
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis  
Structural Stabilization  
Proteostasis  
Autophagy  
Apoptosis
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Calcium Signaling, Metal Binding and Homeostasis, Vasculature, Muscle Function, Proteostasis
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Structural Stabilization, Endolysosome
