Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Tau Homeostasis, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Autophagy, Immune Response, Apoptosis
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Immune Response, Apoptosis
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Tau Homeostasis, Oxidative Stress
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Immune Response
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Synapse
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, DNA Repair
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Aspartoacylase Activity -> Biodomain: Myelination, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Polyamine Binding -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Putrescine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oxygen Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Tau Homeostasis, APP Metabolism
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cytolysis -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Growth Factor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Vasculature, Proteostasis
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Vitamin Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Rrna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Iga Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Synapse
GO Term: Ige Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Igg Binding -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Kinesin Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Tau Homeostasis
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Extrinsic Component Of Membrane -> Biodomain: APP Metabolism, Proteostasis, Synapse, Lipid Metabolism, Immune Response
GO Term: Enzyme Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Kinase Binding -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Protein Kinase Binding -> Biodomain: Tau Homeostasis, APP Metabolism, Immune Response, Synapse, Oxidative Stress
GO Term: Phosphatase Binding -> Biodomain: Tau Homeostasis, Apoptosis, Autophagy, Immune Response, Oxidative Stress
GO Term: Protein Phosphatase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Protein Domain Specific Binding -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis, Epigenetic
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Tau Homeostasis, Apoptosis, Proteostasis, Epigenetic
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism, Immune Response
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Tau Homeostasis, APP Metabolism, Synapse
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Vasculature, Oxidative Stress, Apoptosis, Immune Response
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Sexual Reproduction -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Chemokine Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Synapse
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, APP Metabolism
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, APP Metabolism, Oxidative Stress
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Ciliary Pocket Membrane -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Hemoglobin Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Prechordal Plate Formation -> Biodomain: Nervous System, Morphogenesis, Developmental Biology, Cell Adhesion and Migration, Proteostasis
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Epigenetic
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Cell Cycle
GO Term: Spinal Cord Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Proteostasis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Immune Response
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Apoptosis, Tau Homeostasis, Structural Stabilization
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Proteostasis
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Tau Homeostasis, Apoptosis, Synapse, Cell Cycle, Structural Stabilization
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Immune Response
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Telencephalon Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Subthalamus Development -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Endolysosome, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, APP Metabolism
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Rhombomere Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Tau Homeostasis
GO Term: Pons Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Optic Nerve Development -> Biodomain: APP Metabolism, Synapse, Structural Stabilization, Nervous System Development, Tau Homeostasis
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Central Nervous System Formation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Apoptosis, Proteostasis
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Trigeminal Nerve Development -> Biodomain: Nervous System Development,Synapse,Structural Stabilization,Proteostasis,Autophagy
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Apoptosis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Myelination, Structural Stabilization, Synapse, Autophagy, Proteostasis
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Nervous System Development, Autonomic Nervous System, Immune Response, Structural Stabilization
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Rhombomere 3 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Immune Response, Apoptosis
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Brain Fluid Clearance, Neurodegeneration, Immune Response, Vasculature
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Synapse
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Tau Homeostasis, Proteostasis
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Cell Growth and Survival, Axon Guidance
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Endolysosome
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Autophagy, Endolysosome
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Anatomical Structure Morphogenesis, System Development
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Proteostasis
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Myelination, Endolysosome
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Myelination
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Trochlear Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Cell Cycle
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Immune Response, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Myelination, Tau Homeostasis
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Endolysosome
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Autophagy
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Endolysosome
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Tau Homeostasis
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Brain Physiology, Vasculature, Immune Response, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Nerve Maturation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Autophagy
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Cerebellum Development, Nervous System Development, Developmental Process
GO Term: Developmental Maturation -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Tau Homeostasis
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Locus Ceruleus Development -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Hypoglossal Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Autophagy
GO Term: Cochlear Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Endolysosome
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Facial Nucleus Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Endolysosome
GO Term: Striatum Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism, Proteostasis
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Immune Response
