Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Apoptosis, Oxidative Stress
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Synapse, Lipid Metabolism
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Epigenetic
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Synapse, Tau Homeostasis
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, APP Metabolism
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Ammonium Channel Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Synapse, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, APP Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Taste Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: APP Metabolism, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Immune Response, Apoptosis
GO Term: Visual Learning -> Biodomain: Cognition, Learning or Memory, Behavior, Nervous System Process, Synapse
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Autophagy
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Tau Homeostasis, Proteostasis
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, APP Metabolism, Tau Homeostasis, Proteostasis, Synapse
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Immune Response, Proteostasis
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Male Gonad Development -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Female Gonad Development -> Biodomain: Epigenetic,Cell Cycle,Autophagy,Apoptosis,Immune Response
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Structural Stabilization, DNA Repair
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Autophagy
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Proteostasis, APP Metabolism, Autophagy
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Proteostasis
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Epigenetic
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Synapse, Proteostasis, Endolysosome
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Autophagy, Endolysosome
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Tau Homeostasis, Immune Response, Mitochondrial Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Lipid Metabolism, Synapse, Proteostasis, Immune Response
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Methionine Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: 4-Phytase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Synapse
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Endolysosome, Proteostasis
GO Term: Agmatinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Arginine Decarboxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Vasculature, Proteostasis
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Immune Response, Synapse, DNA Repair, Apoptosis, Epigenetic
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Tau Homeostasis
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Choline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Datp Diphosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Autophagy
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Glutamate Racemase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Vasculature
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Phosphopentomutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, APP Metabolism, Synapse
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Ribonuclease E Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Epigenetic, APP Metabolism
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Immune Response, Proteostasis
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Thymidine Phosphorylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Immune Response
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Tau Homeostasis
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Methionine Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Glycoprotein Metabolic Process -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Immune Response, Synapse
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
