Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Gtp Cyclohydrolase I Regulator Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Elastin Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Immune Response
GO Term: Negative Regulation Of Elastin Catabolic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Extracellular Matrix Organization, Lipid Metabolism
GO Term: Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Endolysosome
GO Term: Definitive Erythrocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Head Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Head Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Face Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Face Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Cytoplasmic Actin-Based Contraction Involved In Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Signal Transduction, Cellular Stress Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Photoreceptor Inner Segment Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Spleen Trabecula Formation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Bone Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Heart Trabecula Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Bone Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature
GO Term: Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Synapse
GO Term: Positive Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cranial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Frontal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Lambdoid Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Vasculature
GO Term: Sagittal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Susceptibility To T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Mast Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Brood Size -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Immune Response
GO Term: Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Axonogenesis Involved In Innervation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Synapse Assembly Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: Positive Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Epigenetic
GO Term: Negative Regulation Of Smad Protein Signal Transduction -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Smad Protein Signal Transduction -> Biodomain: Signal Transduction, Transcription Regulation, Growth Factor Signaling, Intracellular Signaling, Gene Expression
GO Term: Growth Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Growth Hormone Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Immune Response, Autophagy, Proteostasis
GO Term: Positive Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Axonemal Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Acetylcholine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Vasculature
GO Term: Cardiac Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Ventricular Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Atrial Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Response To Growth Hormone -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Regulation Of Heart Growth -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Heart Growth -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Peptidyl-Dipeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Lung Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Lung Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Lung Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Lung Saccule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Primary Lung Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Bronchus Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Bronchus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Bronchiole Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Bronchiole Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Lung Growth -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Trachea Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Trachea Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Trachea Formation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Mammary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Vasculature
GO Term: Bud Outgrowth Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Bud Elongation Involved In Lung Branching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Hindgut Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Gastric Acid Secretion -> Biodomain: Hormone Signaling, Cell Signaling, Ion Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Gastric Acid Secretion -> Biodomain: Gastrointestinal Function, Secretory Processes, Cell Signaling, Metabolism, Electrolyte Homeostasis
GO Term: Positive Regulation Of Digestive System Process -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Synapse, Metal Binding and Homeostasis
GO Term: Right Lung Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Left Lung Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Left Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Right Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Lung Lobe Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Activation Of Meiosis Involved In Egg Activation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Prevention Of Polyspermy -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Egg Activation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Cortical Granule Exocytosis -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Cortical Granule -> Biodomain: Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Flagellated Sperm Motility Involved In Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Acrosomal Vesicle Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Lung Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism, RNA Spliceosome
GO Term: Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Lobar Bronchus Epithelium Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Lobar Bronchus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Lung-Associated Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Mesenchyme Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Club Cell Differentiation -> Biodomain: Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Lung Epithelial Cell Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Orthogonal Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Planar Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Lateral Sprouting Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Lung Induction -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Lung Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Autophagy, Apoptosis
GO Term: Bud Dilation Involved In Lung Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Smoothened Signaling Pathway Involved In Lung Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Vasculature
GO Term: Type I Pneumocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Type Ii Pneumocyte Differentiation -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Epigenetic
GO Term: Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Prostatic Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Endolysosome
GO Term: Prostate Induction -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Endolysosome
GO Term: Primary Prostatic Bud Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Epithelial Cell Proliferation Involved In Prostatic Bud Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Prostate Epithelial Cord Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Prostate Epithelial Cord Arborization Involved In Prostate Glandular Acinus Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Secretory Columnal Luminar Epithelial Cell Differentiation Involved In Prostate Glandular Acinus Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Squamous Basal Epithelial Stem Cell Differentiation Involved In Prostate Gland Acinus Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Bronchus Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Trachea Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Trachea Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Muscle Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Skeletal Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Diaphragm Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Autophagy
GO Term: Respiratory System Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Developmental Growth Involved In Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Epithelial Tube Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Positive Regulation Of Termination Of Dna-Templated Transcription -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Morphogenesis Of An Epithelial Fold -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Intestinal Epithelial Cell Maturation -> Biodomain: Epithelial Function, Developmental Biology, Cell Differentiation, Tissue Development, Homeostasis
GO Term: Intestinal Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Intestinal Epithelial Cell Development -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Pulmonary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Superior Vena Cava Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Structural Stabilization
GO Term: Ventral Spinal Cord Interneuron Fate Determination -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Multicellular Organismal-Level Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Negative Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Nucleoside-Triphosphatase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Atpase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Chondroblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Mammary Gland Formation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Mammary Gland Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Lipid Metabolism, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Mammary Gland Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Proteostasis
GO Term: Mammary Placode Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Lateral Sprouting Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Lateral Sprouting From An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Branch Elongation Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Tube Closure -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Synapse, Epigenetic
GO Term: Mammary Gland Fat Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
