Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Autophagy
GO Term: Response To Transition Metal Nanoparticle -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Gold Nanoparticle -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii C-Terminal Domain Phosphoserine Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor-Ligand Complex -> Biodomain: Growth Factor, Receptor Signaling, Signal Transduction, Cell Proliferation, Developmental Biology
GO Term: Anti-Mullerian Hormone Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Preribosome Binding -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Rna 5'-Gamma-Phosphate Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Rna Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Renal Amino Acid Absorption -> Biodomain: Amino Acid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Bub1-Bub3 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Cellular Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Atg1/Ulk1 Kinase Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Collagen Type Xxvi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Autophagy
GO Term: Ire1 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Gap Junction-Mediated Intercellular Transport -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Glucose Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Transporter Complex -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Terminal Web -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Butanol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: K48-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Ubiquitin-Specific Protease Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Hyaloid Vascular Plexus Regression -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Mitotic Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Protein K33-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Epigenetic
GO Term: Dna Repair Complex -> Biodomain: DNA Repair, DNA Damage Response, Protein Complex Assembly, Genomic Instability, Transcription Machinery
GO Term: 3M Complex -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Mitochondrial Ribosomal Large Subunit Rrna Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Embryonic Lung Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Embryonic Liver Development -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism
GO Term: Embryonic Brain Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Nad+-Protein Mono-Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Protein Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cgrp Receptor Complex -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Calcitonin Gene-Related Peptide Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Calcitonin Gene-Related Peptide Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Structural Stabilization
GO Term: Adrenomedullin Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Adrenomedullin Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Replication-Born Double-Strand Break Repair Via Sister Chromatid Exchange -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Cellular Response To Brain-Derived Neurotrophic Factor Stimulus -> Biodomain: Synapse, Autophagy, Tau Homeostasis, Proteostasis, Myelination
GO Term: Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Glyoxalase (Glycolic Acid-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rzz Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Ryanodine Receptor Complex -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Mitotic Recombination-Dependent Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Stereocilia Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Mirna Transport -> Biodomain: RNA Spliceosome, Endolysosome, Vasculature, Autophagy, Epigenetic
GO Term: Peroxisomal Importomer Complex -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Extracellular Matrix Protein Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Prirna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Sirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Upper Tip-Link Density -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Synapse, Lipid Metabolism
GO Term: U6 2'-O-Snrna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Map Kinase Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Nitrosative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Peptidyl-Threonine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: F-Box Domain Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: U1 Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: U2 Snrnp Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Exon-Exon Junction Complex Binding -> Biodomain: RNA Spliceosome, RNA Metabolism, mRNA Surveillance, RNA Binding, Epigenetic
GO Term: Linear Polyubiquitin Binding -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Parkin-Fbxw7-Cul1 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, DNA Repair
GO Term: L-Type Voltage-Gated Calcium Channel Complex -> Biodomain: Vasculature, Metal Binding and Homeostasis, Synapse, Cell Cycle, Structural Stabilization
GO Term: Mitochondrion-Endoplasmic Reticulum Membrane Tethering -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Transferrin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Leptin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Omegasome -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Protein Autosumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Mtrec Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Ultrasound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna Pseudouridine Synthesis -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Metal Binding and Homeostasis
GO Term: Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Exon-Exon Junction Subcomplex Mago-Y14 -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Dense Core Granule Maturation -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mitotic Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Ckm Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Cry-Per Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Clock-Bmal Transcription Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Single-Stranded 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Pyrimidine Nucleotide Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Bone Regeneration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Glycosylphosphatidylinositol-Mannosyltransferase I Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Phospholipid-Translocating Atpase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dom34-Hbs1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Neuron Projection Maintenance -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fructose Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Manganese Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Mitochondrial S-Adenosyl-L-Methionine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Mitochondrial Atp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrial Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Alpha-Ketoglutarate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Mitochondrial Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Hsp90-Cdc37 Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: I(Kach) Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Udp-N-Acetylglucosamine Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Gdp-Mannose Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tert-Rmrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Potassium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Immune Response
GO Term: Mitochondrial L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Perinuclear Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Phospholipase D Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cardiac Troponin Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Atf4-Creb1 Transcription Factor Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Atf1-Atf4 Transcription Factor Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein K69-Linked Ufmylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Mast Cell Secretagogue Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Vasculature, Apoptosis
GO Term: Aip1-Ire1 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: 3' Overhang Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dark Adaptation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Ire1-Traf2-Ask1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Glutamate-Cysteine Ligase Regulator Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Cytoplasmic Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Chop-Atf4 Complex -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Anpr-A Receptor Complex -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Chop-Atf3 Complex -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Mitochondrial Outer Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Mitochondrial Inner Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Phospholamban Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Ire1-Rack1-Pp2A Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Proximal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis
GO Term: Response To Iron Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: C/Ebp Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, Proteostasis
GO Term: Calprotectin Complex -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: S100A8 Complex -> Biodomain: Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: S100A9 Complex -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Nkx-2.5 Complex -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Apoptosis, DNA Repair
GO Term: Anxa2-P11 Complex -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Pcsk9-Ldlr Complex -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Vasculature
GO Term: Pcsk9-Anxa2 Complex -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Golgi Cis Cisterna Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Golgi Medial Cisterna Membrane -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Golgi Trans Cisterna Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Response To Melanocyte-Stimulating Hormone -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Csf1-Csf1R Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Synapse
GO Term: Dna Double-Strand Break Attachment To Nuclear Envelope -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Ush2 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Protein Depalmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Palmitoleoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Palmitoleyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Nucleolar Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response
GO Term: Mad1 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Apoptosis
GO Term: Conditioned Place Preference -> Biodomain: Synapse, Epigenetic, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Presynaptic Active Zone Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Beta-Catenin-Icat Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Hfe-Transferrin Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Survivin Complex -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Mrna Cds Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Axonemal Central Apparatus -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Axonemal Central Pair Projection -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Dapk1-Calmodulin Complex -> Biodomain: Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cytoplasmic Periphery Of The Nuclear Pore Complex -> Biodomain: Structural Stabilization, RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic
GO Term: Galectin Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Lsm1-7-Pat1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Mitotic Spindle Assembly Checkpoint Mad1-Mad2 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Vcp-Nsfl1C Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Titin-Telethonin Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Response To Manganese-Induced Endoplasmic Reticulum Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Pseudouridine 5'-Phosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Immune Response, Vasculature
GO Term: Microvesicle -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Synapse
GO Term: Protein Sialylation -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Endolysosome, Synapse
GO Term: Earp Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, Structural Stabilization, Immune Response
GO Term: Cellular Detoxification -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Microtubule End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Mitotic Spindle Microtubule Depolymerization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Ubiquitin-Like Ligase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Apoptosis
GO Term: Ubiquitin Ligase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Mitotic Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Osmolarity-Sensing Monoatomic Cation Channel Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Growth Cone Lamellipodium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Arrestin Family Protein Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Vasculature, Immune Response
GO Term: Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Proximal Neuron Projection -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Small Intestine Smooth Muscle Contraction -> Biodomain: Muscle Function, Digestive System, Neurophysiology, Cellular Signaling, Physiological Processes
GO Term: Clathrin-Dependent Extracellular Exosome Endocytosis -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Autophagy
GO Term: Response To Angiotensin -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Glycoprotein Ib-Ix-V Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Cytoplasmic Side Of Dendritic Spine Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Protein Tyrosine Kinase Binding -> Biodomain: Proteostasis, Signal Transduction, Cell Cycle, Apoptosis, Immune Response
GO Term: Response To Water-Immersion Restraint Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Dsdna -> Biodomain: Immune Response, Apoptosis, DNA Repair, Autophagy, Epigenetic
GO Term: Negative Regulation Of Hh Target Transcription Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, DNA Repair
GO Term: Gli-Sufu Complex -> Biodomain: Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Apoptosis, Myelination, Endolysosome
GO Term: Dorsal Root Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cellular Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Basolateral Part Of Cell -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Ligand-Gated Ion Channel Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum Tubular Network Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Mwp Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
